ax(g);ay(g);az(g);accRMS(g);time(s)
0.0035;-0.0277;0.9386;0.9390;30.9943
0.0044;-0.0284;0.9377;0.9382;31.2464
0.0045;-0.0278;0.9379;0.9383;31.5038
0.0035;-0.0282;0.9369;0.9373;31.7559
0.0049;-0.0284;0.9377;0.9382;32.0079
0.0048;-0.0281;0.9362;0.9366;32.2599
0.0046;-0.0284;0.9360;0.9365;32.5119
0.0050;-0.0287;0.9370;0.9375;32.7639
0.0042;-0.0291;0.9395;0.9399;33.0163
0.0050;-0.0288;0.9379;0.9383;33.2684
0.0049;-0.0281;0.9370;0.9374;33.5204
0.0039;-0.0280;0.9380;0.9384;33.7724
0.0049;-0.0273;0.9371;0.9375;34.0244
0.0038;-0.0286;0.9374;0.9378;34.2764
0.0044;-0.0292;0.9362;0.9366;34.5284
0.0043;-0.0287;0.9366;0.9371;34.7804
0.0040;-0.0286;0.9355;0.9360;35.0325
0.0039;-0.0281;0.9368;0.9372;35.2845
0.0048;-0.0278;0.9380;0.9384;35.5365
0.0049;-0.0288;0.9360;0.9365;35.7885
0.0044;-0.0276;0.9381;0.9385;36.0405
0.0046;-0.0276;0.9381;0.9385;36.2925
0.0043;-0.0286;0.9373;0.9377;36.5553
0.0045;-0.0288;0.9368;0.9372;36.8073
0.0038;-0.0276;0.9369;0.9373;37.0593
0.0049;-0.0282;0.9371;0.9376;37.3113
0.0051;-0.0283;0.9381;0.9386;37.5634
0.0046;-0.0277;0.9365;0.9369;37.8154
0.0042;-0.0288;0.9363;0.9367;38.0674
0.0044;-0.0280;0.9375;0.9379;38.3193
0.0039;-0.0286;0.9373;0.9377;38.5714
0.0042;-0.0284;0.9377;0.9382;38.8233
0.0035;-0.0284;0.9369;0.9373;39.0755
0.0033;-0.0287;0.9377;0.9382;39.3275
0.0038;-0.0286;0.9382;0.9387;39.5796
0.0051;-0.0288;0.9358;0.9362;39.8315
0.0048;-0.0291;0.9364;0.9369;40.0835
0.0040;-0.0289;0.9379;0.9383;40.3355
0.0038;-0.0284;0.9373;0.9377;40.5876
0.0042;-0.0276;0.9371;0.9375;40.8396
0.0045;-0.0283;0.9374;0.9378;41.0916
0.0040;-0.0289;0.9380;0.9384;41.3435
0.0040;-0.0294;0.9375;0.9380;41.6026
0.0043;-0.0284;0.9377;0.9382;41.8548
0.0045;-0.0283;0.9377;0.9382;42.1069
0.0051;-0.0282;0.9357;0.9361;42.3589
