ax(g);ay(g);az(g);accRMS(g);time(s)
0.0000;-0.0001;0.0001;0.0002;0.0000
0.0001;0.0000;0.0005;0.0005;0.0032
0.0002;0.0000;0.0005;0.0005;0.0072
-0.0001;0.0002;0.0005;0.0006;0.0087
-0.0001;0.0001;0.0005;0.0005;0.0103
0.0000;0.0000;0.0004;0.0004;0.0119
0.0001;0.0001;0.0004;0.0004;0.0135
0.0002;0.0002;0.0005;0.0006;0.0150
0.0001;0.0004;0.0002;0.0005;0.0166
0.0004;0.0004;-0.0001;0.0005;0.0195
0.0001;0.0004;-0.0002;0.0005;0.0211
0.0001;0.0002;-0.0002;0.0004;0.0226
0.0002;0.0005;-0.0002;0.0006;0.0242
0.0002;0.0005;-0.0004;0.0007;0.0256
0.0004;0.0004;-0.0005;0.0007;0.0284
0.0004;0.0002;-0.0001;0.0005;0.0302
0.0005;0.0002;-0.0004;0.0007;0.0317
0.0005;0.0004;-0.0005;0.0008;0.0355
0.0007;0.0005;-0.0004;0.0010;0.0371
0.0007;0.0004;-0.0006;0.0010;0.0388
0.0007;0.0004;-0.0005;0.0010;0.0404
0.0007;0.0006;-0.0001;0.0010;0.0420
0.0002;0.0005;-0.0002;0.0006;0.0448
0.0002;0.0005;-0.0007;0.0009;0.0465
0.0005;0.0006;-0.0012;0.0014;0.0484
0.0005;0.0009;-0.0012;0.0016;0.0517
0.0005;0.0010;-0.0012;0.0016;0.0533
0.0004;0.0009;-0.0009;0.0013;0.0548
0.0004;0.0007;-0.0006;0.0010;0.0562
0.0004;0.0007;-0.0005;0.0010;0.0575
0.0006;0.0007;-0.0006;0.0011;0.0587
0.0006;0.0006;-0.0009;0.0012;0.0600
0.0005;0.0005;-0.0010;0.0012;0.0613
0.0002;0.0005;-0.0011;0.0012;0.0625
0.0004;0.0005;-0.0009;0.0011;0.0638
0.0004;0.0004;-0.0010;0.0011;0.0651
0.0005;0.0004;-0.0012;0.0014;0.0663
0.0005;0.0004;-0.0015;0.0016;0.0676
0.0004;0.0005;-0.0016;0.0017;0.0689
0.0004;0.0005;-0.0015;0.0016;0.0702
0.0005;0.0002;-0.0015;0.0016;0.0725
0.0004;0.0002;-0.0016;0.0016;0.0737
0.0001;0.0004;-0.0015;0.0015;0.0761
0.0001;0.0004;-0.0017;0.0018;0.0773
0.0001;0.0004;-0.0020;0.0020;0.0786
0.0001;0.0005;-0.0021;0.0021;0.0798
0.0000;0.0005;-0.0020;0.0020;0.0811
-0.0002;0.0005;-0.0021;0.0021;0.0824
-0.0004;0.0005;-0.0021;0.0022;0.0836
-0.0004;0.0002;-0.0016;0.0016;0.0849
-0.0005;0.0000;-0.0016;0.0017;0.0862
-0.0006;-0.0001;-0.0016;0.0017;0.0874
-0.0007;-0.0001;-0.0016;0.0018;0.0887
-0.0009;-0.0001;-0.0015;0.0017;0.0900
-0.0007;-0.0001;-0.0012;0.0014;0.0912
-0.0006;0.0000;-0.0011;0.0013;0.0925
-0.0007;0.0000;-0.0012;0.0014;0.0938
-0.0007;-0.0001;-0.0012;0.0014;0.0950
-0.0006;-0.0002;-0.0012;0.0014;0.0963
-0.0005;-0.0001;-0.0012;0.0013;0.0982
-0.0005;0.0000;-0.0012;0.0013;0.0993
-0.0005;0.0001;-0.0013;0.0014;0.1003
-0.0005;0.0000;-0.0010;0.0011;0.1031
-0.0005;-0.0002;-0.0007;0.0009;0.1041
-0.0005;-0.0002;-0.0006;0.0008;0.1051
-0.0005;-0.0001;-0.0007;0.0009;0.1062
-0.0005;0.0000;-0.0006;0.0008;0.1072
-0.0005;0.0000;-0.0005;0.0007;0.1082
-0.0006;-0.0001;-0.0004;0.0007;0.1093
-0.0007;-0.0001;-0.0004;0.0008;0.1103
-0.0007;-0.0001;-0.0005;0.0009;0.1122
-0.0006;-0.0001;-0.0005;0.0008;0.1132
-0.0006;-0.0001;-0.0004;0.0007;0.1152
-0.0005;-0.0004;-0.0005;0.0008;0.1171
-0.0004;-0.0004;-0.0006;0.0008;0.1181
-0.0004;-0.0002;-0.0005;0.0007;0.1192
-0.0004;-0.0004;-0.0004;0.0006;0.1202
-0.0005;-0.0004;-0.0004;0.0007;0.1221
-0.0005;-0.0005;-0.0004;0.0008;0.1240
-0.0005;-0.0006;-0.0004;0.0009;0.1251
-0.0006;-0.0006;-0.0004;0.0009;0.1261
-0.0006;-0.0004;-0.0002;0.0008;0.1280
-0.0006;-0.0002;-0.0002;0.0007;0.1290
-0.0007;-0.0004;-0.0001;0.0008;0.1301
-0.0009;-0.0005;-0.0001;0.0010;0.1311
-0.0010;-0.0005;0.0000;0.0011;0.1321
-0.0011;-0.0006;0.0001;0.0013;0.1331
-0.0011;-0.0005;0.0001;0.0012;0.1341
-0.0010;-0.0004;0.0002;0.0011;0.1351
-0.0010;-0.0004;0.0004;0.0011;0.1362
-0.0011;-0.0002;0.0004;0.0012;0.1372
-0.0010;-0.0002;0.0002;0.0010;0.1392
-0.0009;-0.0002;0.0002;0.0009;0.1402
-0.0007;-0.0004;0.0001;0.0008;0.1412
-0.0007;-0.0002;0.0000;0.0008;0.1422
-0.0007;-0.0001;-0.0001;0.0008;0.1433
-0.0007;0.0000;-0.0002;0.0008;0.1443
-0.0005;0.0001;-0.0004;0.0006;0.1462
-0.0002;0.0002;-0.0007;0.0008;0.1472
-0.0002;0.0004;-0.0009;0.0010;0.1483
-0.0002;0.0004;-0.0007;0.0009;0.1494
-0.0002;0.0005;-0.0009;0.0010;0.1504
-0.0001;0.0004;-0.0009;0.0009;0.1514
0.0000;0.0004;-0.0009;0.0009;0.1524
0.0000;0.0004;-0.0007;0.0008;0.1535
0.0001;0.0004;-0.0005;0.0006;0.1545
0.0001;0.0005;-0.0002;0.0006;0.1555
0.0002;0.0005;0.0000;0.0005;0.1574
0.0001;0.0004;0.0000;0.0004;0.1584
0.0000;0.0002;-0.0001;0.0003;0.1604
0.0001;0.0001;-0.0001;0.0002;0.1614
0.0001;0.0002;-0.0001;0.0003;0.1625
0.0001;0.0004;-0.0001;0.0004;0.1635
0.0001;0.0005;-0.0001;0.0005;0.1645
0.0001;0.0005;0.0000;0.0005;0.1655
-0.0001;0.0005;0.0002;0.0006;0.1665
-0.0002;0.0005;0.0005;0.0007;0.1676
-0.0002;0.0004;0.0006;0.0008;0.1686
-0.0002;0.0005;0.0005;0.0007;0.1705
-0.0002;0.0005;0.0002;0.0006;0.1715
-0.0002;0.0005;0.0001;0.0006;0.1725
-0.0004;0.0004;0.0002;0.0006;0.1735
-0.0004;0.0005;0.0002;0.0007;0.1746
-0.0005;0.0004;0.0005;0.0008;0.1756
-0.0005;0.0004;0.0006;0.0009;0.1766
-0.0005;0.0004;0.0007;0.0010;0.1776
-0.0005;0.0005;0.0006;0.0009;0.1786
-0.0007;0.0004;0.0007;0.0011;0.1797
-0.0009;0.0002;0.0011;0.0014;0.1807
-0.0009;0.0002;0.0012;0.0015;0.1817
-0.0009;0.0001;0.0012;0.0015;0.1827
-0.0009;0.0000;0.0011;0.0014;0.1837
-0.0010;0.0000;0.0010;0.0014;0.1847
-0.0010;0.0000;0.0012;0.0016;0.1867
-0.0010;0.0000;0.0015;0.0018;0.1877
-0.0007;-0.0001;0.0012;0.0014;0.1909
-0.0009;-0.0002;0.0011;0.0014;0.1922
-0.0009;-0.0001;0.0011;0.0014;0.1936
-0.0010;0.0000;0.0010;0.0014;0.1961
-0.0010;0.0000;0.0007;0.0012;0.1973
-0.0010;0.0000;0.0006;0.0012;0.1985
-0.0010;0.0000;0.0005;0.0011;0.2007
-0.0011;-0.0004;0.0004;0.0012;0.2024
-0.0013;-0.0007;0.0002;0.0015;0.2041
-0.0013;-0.0006;0.0001;0.0015;0.2055
-0.0015;-0.0005;0.0002;0.0016;0.2067
-0.0016;-0.0005;0.0002;0.0017;0.2078
-0.0015;-0.0004;0.0004;0.0016;0.2090
-0.0013;-0.0002;0.0006;0.0015;0.2101
-0.0013;-0.0001;0.0009;0.0016;0.2112
-0.0012;-0.0001;0.0010;0.0016;0.2123
-0.0013;-0.0002;0.0010;0.0017;0.2134
-0.0012;-0.0002;0.0010;0.0016;0.2145
-0.0011;-0.0002;0.0012;0.0017;0.2156
-0.0011;0.0000;0.0016;0.0019;0.2176
-0.0010;0.0000;0.0015;0.0018;0.2194
-0.0010;0.0001;0.0015;0.0018;0.2205
-0.0009;0.0000;0.0016;0.0018;0.2216
-0.0009;-0.0001;0.0016;0.0018;0.2228
-0.0011;-0.0001;0.0016;0.0019;0.2240
