ax(g);ay(g);az(g);accRMS(g);time(s)
0.1437;0.1864;0.9197;0.9493;0.0000
0.1442;0.1865;0.9199;0.9496;0.5031
0.1437;0.1877;0.9219;0.9517;0.7549
0.1442;0.1869;0.9213;0.9510;1.0070
0.1437;0.1865;0.9215;0.9511;1.2590
0.1440;0.1870;0.9224;0.9521;1.5110
0.1436;0.1874;0.9214;0.9511;1.7631
0.1429;0.1873;0.9205;0.9502;2.0151
0.1440;0.1869;0.9211;0.9509;2.2670
0.1442;0.1875;0.9205;0.9504;2.5190
0.1434;0.1870;0.9205;0.9502;2.7711
0.1444;0.1875;0.9211;0.9511;3.0230
0.1434;0.1873;0.9213;0.9510;3.2750
0.1432;0.1865;0.9215;0.9510;3.5269
0.1436;0.1877;0.9191;0.9490;3.7789
0.1432;0.1876;0.9197;0.9495;4.0310
0.1440;0.1870;0.9208;0.9506;4.2830
0.1428;0.1869;0.9211;0.9507;4.5351
0.1428;0.1869;0.9188;0.9485;4.7870
0.1434;0.1873;0.9198;0.9496;5.0391
0.1438;0.1874;0.9209;0.9507;5.2914
0.1431;0.1870;0.9222;0.9518;5.5434
0.1425;0.1873;0.9200;0.9497;5.7955
0.1433;0.1869;0.9208;0.9504;6.0475
0.1436;0.1864;0.9208;0.9504;6.2995
0.1426;0.1875;0.9197;0.9494;6.5515
0.1431;0.1875;0.9221;0.9518;6.8034
0.1434;0.1870;0.9199;0.9496;7.0555
0.1432;0.1865;0.9205;0.9501;7.3076
0.1433;0.1875;0.9197;0.9495;7.5595
0.1444;0.1882;0.9186;0.9487;7.8115
0.1438;0.1863;0.9211;0.9507;8.0635
0.1429;0.1864;0.9188;0.9484;8.3154
0.1445;0.1873;0.9200;0.9500;8.5673
0.1432;0.1876;0.9200;0.9498;8.8189
0.1429;0.1879;0.9204;0.9502;9.0706
0.1438;0.1874;0.9216;0.9514;9.3224
0.1434;0.1881;0.9200;0.9500;9.5744
0.1438;0.1870;0.9204;0.9502;9.8264
0.1436;0.1876;0.9209;0.9507;10.0784
0.1442;0.1870;0.9187;0.9486;10.3354
0.1436;0.1876;0.9196;0.9494;10.5875
0.1429;0.1879;0.9187;0.9485;10.8394
0.1432;0.1870;0.9198;0.9495;11.0914
0.1439;0.1870;0.9205;0.9503;11.3434
0.1429;0.1869;0.9196;0.9492;11.5954
0.1437;0.1863;0.9185;0.9481;11.8475
0.1412;0.1880;0.9207;0.9502;12.0995
0.1445;0.1870;0.9207;0.9505;12.3515
0.1443;0.1858;0.9208;0.9504;12.6034
0.1428;0.1880;0.9189;0.9488;12.8554
0.1448;0.1862;0.9207;0.9504;13.1074
0.1432;0.1875;0.9204;0.9502;13.3594
0.1433;0.1873;0.9205;0.9503;13.6114
0.1437;0.1879;0.9200;0.9500;13.8633
0.1417;0.1881;0.9199;0.9496;14.1153
0.1442;0.1868;0.9214;0.9511;14.3677
0.1431;0.1892;0.9196;0.9497;14.6197
0.1427;0.1875;0.9187;0.9484;14.8717
0.1434;0.1864;0.9202;0.9497;15.1237
0.1428;0.1876;0.9199;0.9497;15.3802
0.1422;0.1882;0.9202;0.9499;15.6323
0.1429;0.1884;0.9188;0.9488;15.8842
0.1434;0.1874;0.9202;0.9499;16.1363
0.1429;0.1874;0.9187;0.9484;16.3883
0.1428;0.1873;0.9205;0.9502;16.6402
0.1440;0.1881;0.9193;0.9494;16.8922
0.1433;0.1877;0.9198;0.9496;17.1442
0.1433;0.1881;0.9208;0.9507;17.3960
0.1429;0.1870;0.9193;0.9490;17.6480
0.1439;0.1871;0.9196;0.9494;17.9001
0.1425;0.1874;0.9193;0.9490;18.1532
0.1434;0.1873;0.9207;0.9504;18.4052
0.1440;0.1868;0.9197;0.9494;18.6572
0.1427;0.1873;0.9220;0.9516;18.9092
0.1434;0.1875;0.9203;0.9501;19.1612
0.1423;0.1873;0.9188;0.9485;19.4132
0.1438;0.1880;0.9207;0.9506;19.6652
0.1427;0.1865;0.9213;0.9507;19.9172
0.1437;0.1876;0.9193;0.9492;20.1692
0.1439;0.1876;0.9170;0.9470;20.4258
0.1433;0.1876;0.9207;0.9504;20.6780
0.1431;0.1873;0.9199;0.9496;20.9300
0.1436;0.1866;0.9186;0.9483;21.1820
0.1436;0.1870;0.9202;0.9499;21.4340
0.1436;0.1873;0.9192;0.9490;21.6859
0.1436;0.1863;0.9196;0.9492;21.9380
0.1442;0.1869;0.9188;0.9487;22.1899
0.1440;0.1873;0.9211;0.9510;22.4419
0.1437;0.1876;0.9208;0.9506;22.6940
0.1432;0.1871;0.9218;0.9514;22.9460
0.1447;0.1875;0.9191;0.9491;23.1981
