ax(g);ay(g);az(g);accRMS(g);time(s)
0.1437;0.1876;0.9187;0.9486;0.0000
0.1429;0.1877;0.9192;0.9490;0.5037
0.1438;0.1882;0.9214;0.9513;0.7556
0.1433;0.1875;0.9174;0.9472;1.0077
0.1429;0.1873;0.9200;0.9497;1.2597
0.1438;0.1880;0.9193;0.9493;1.5117
0.1428;0.1871;0.9203;0.9499;1.7638
0.1425;0.1875;0.9183;0.9480;2.0158
0.1434;0.1871;0.9200;0.9498;2.2678
0.1438;0.1876;0.9189;0.9489;2.5198
0.1439;0.1875;0.9186;0.9485;2.7717
0.1423;0.1877;0.9185;0.9482;3.0234
0.1436;0.1869;0.9193;0.9490;3.2751
0.1432;0.1864;0.9211;0.9507;3.5269
0.1447;0.1875;0.9193;0.9493;3.7789
0.1440;0.1879;0.9187;0.9487;4.0308
0.1434;0.1875;0.9203;0.9501;4.2829
0.1438;0.1874;0.9194;0.9493;4.5350
0.1436;0.1876;0.9188;0.9487;4.7871
0.1432;0.1875;0.9187;0.9485;5.0392
0.1434;0.1879;0.9186;0.9485;5.2912
0.1436;0.1874;0.9204;0.9502;5.5433
0.1437;0.1877;0.9203;0.9502;5.7952
0.1442;0.1876;0.9182;0.9482;6.0472
0.1431;0.1874;0.9197;0.9494;6.2992
0.1432;0.1877;0.9191;0.9489;6.5512
0.1440;0.1877;0.9186;0.9486;6.8032
0.1444;0.1877;0.9200;0.9500;7.0552
0.1429;0.1877;0.9188;0.9486;7.3072
0.1437;0.1874;0.9174;0.9473;7.5592
0.1431;0.1873;0.9197;0.9494;7.8113
0.1432;0.1882;0.9194;0.9494;8.0633
0.1433;0.1873;0.9189;0.9487;8.3153
0.1442;0.1874;0.9189;0.9489;8.5673
0.1438;0.1874;0.9191;0.9489;8.8193
0.1429;0.1874;0.9196;0.9493;9.0712
0.1433;0.1870;0.9210;0.9507;9.3229
0.1436;0.1873;0.9194;0.9492;9.5746
0.1433;0.1880;0.9203;0.9502;9.8263
0.1437;0.1870;0.9196;0.9493;10.0783
0.1432;0.1881;0.9180;0.9479;10.3307
0.1442;0.1863;0.9186;0.9483;10.5861
0.1439;0.1890;0.9211;0.9513;10.8381
0.1439;0.1880;0.9197;0.9497;11.0901
0.1437;0.1875;0.9205;0.9504;11.3422
0.1439;0.1871;0.9192;0.9490;11.5943
0.1432;0.1866;0.9191;0.9487;11.8466
0.1433;0.1866;0.9193;0.9490;12.0987
0.1428;0.1879;0.9199;0.9497;12.3508
0.1431;0.1875;0.9186;0.9484;12.6029
0.1429;0.1875;0.9191;0.9488;12.8549
0.1442;0.1875;0.9196;0.9495;13.1069
0.1439;0.1871;0.9192;0.9490;13.3590
0.1440;0.1885;0.9188;0.9490;13.6110
0.1432;0.1865;0.9188;0.9484;13.8630
0.1442;0.1876;0.9183;0.9483;14.1150
0.1429;0.1870;0.9196;0.9492;14.3671
0.1438;0.1874;0.9191;0.9489;14.6190
0.1443;0.1874;0.9194;0.9494;14.8706
0.1436;0.1884;0.9189;0.9490;15.1226
0.1443;0.1875;0.9197;0.9496;15.3749
0.1444;0.1879;0.9187;0.9488;15.6270
0.1434;0.1875;0.9187;0.9485;15.8790
0.1432;0.1882;0.9208;0.9507;16.1310
0.1429;0.1885;0.9187;0.9487;16.3832
0.1436;0.1874;0.9197;0.9495;16.6353
0.1436;0.1871;0.9196;0.9493;16.8874
0.1447;0.1873;0.9198;0.9497;17.1395
0.1438;0.1873;0.9185;0.9483;17.3915
0.1436;0.1866;0.9196;0.9492;17.6436
0.1449;0.1879;0.9207;0.9507;17.8956
0.1438;0.1874;0.9197;0.9495;18.1476
0.1442;0.1874;0.9194;0.9493;18.3993
0.1442;0.1871;0.9194;0.9493;18.6510
0.1438;0.1873;0.9194;0.9493;18.9027
0.1429;0.1874;0.9187;0.9484;19.1547
0.1433;0.1876;0.9200;0.9499;19.4069
0.1432;0.1873;0.9189;0.9487;19.6594
0.1429;0.1877;0.9177;0.9476;19.9110
0.1428;0.1870;0.9192;0.9488;20.1632
0.1433;0.1873;0.9183;0.9481;20.4153
0.1433;0.1875;0.9194;0.9492;20.6673
0.1434;0.1874;0.9189;0.9488;20.9194
0.1432;0.1869;0.9176;0.9473;21.1713
0.1438;0.1871;0.9182;0.9481;21.4232
0.1437;0.1875;0.9192;0.9491;21.6752
0.1433;0.1884;0.9186;0.9486;21.9270
0.1434;0.1875;0.9188;0.9487;22.1841
0.1438;0.1875;0.9200;0.9499;22.4362
0.1442;0.1877;0.9192;0.9492;22.6882
0.1429;0.1881;0.9188;0.9487;22.9400
0.1436;0.1874;0.9199;0.9497;23.1918
0.1437;0.1879;0.9186;0.9485;23.4437
0.1428;0.1876;0.9202;0.9499;23.6956
0.1438;0.1877;0.9189;0.9489;23.9475
0.1444;0.1875;0.9207;0.9506;24.1995
0.1436;0.1875;0.9191;0.9489;24.4513
0.1431;0.1865;0.9183;0.9479;24.7031
0.1444;0.1866;0.9182;0.9481;24.9548
0.1437;0.1864;0.9194;0.9491;25.2066
0.1440;0.1873;0.9199;0.9498;25.4585
