ax(g);ay(g);az(g);accRMS(g);time(s)
0.0452;0.1760;0.9353;0.9528;0.0000
0.0469;0.1768;0.9299;0.9477;0.0032
0.0483;0.1741;0.9351;0.9524;0.0051
0.0498;0.1768;0.9414;0.9592;0.0070
0.0486;0.1724;0.9246;0.9417;0.0092
0.0498;0.1792;0.9348;0.9531;0.0113
0.0493;0.1729;0.9404;0.9575;0.0131
0.0557;0.1777;0.9358;0.9541;0.0149
0.0513;0.1746;0.9224;0.9401;0.0168
0.0503;0.1763;0.9346;0.9524;0.0187
0.0520;0.1763;0.9373;0.9551;0.0206
0.0491;0.1699;0.9385;0.9550;0.0225
0.0471;0.1731;0.9409;0.9579;0.0247
0.0469;0.1738;0.9355;0.9527;0.0270
0.0532;0.1746;0.9407;0.9582;0.0290
0.0510;0.1802;0.9282;0.9469;0.0309
0.0479;0.1792;0.9302;0.9485;0.0327
0.0508;0.1787;0.9426;0.9608;0.0346
0.0466;0.1753;0.9312;0.9487;0.0365
0.0452;0.1790;0.9353;0.9533;0.0384
0.0442;0.1750;0.9348;0.9521;0.0406
0.0532;0.1721;0.9319;0.9491;0.0425
0.0498;0.1697;0.9365;0.9531;0.0444
0.0447;0.1736;0.9304;0.9475;0.0463
0.0476;0.1736;0.9370;0.9541;0.0482
0.0503;0.1760;0.9404;0.9581;0.0500
0.0488;0.1755;0.9341;0.9517;0.0519
0.0505;0.1753;0.9368;0.9544;0.0537
0.0435;0.1719;0.9348;0.9515;0.0561
0.0552;0.1797;0.9421;0.9607;0.0580
0.0542;0.1777;0.9380;0.9562;0.0599
0.0513;0.1738;0.9333;0.9508;0.0617
0.0547;0.1733;0.9375;0.9550;0.0635
0.0508;0.1760;0.9290;0.9468;0.0654
0.0447;0.1719;0.9309;0.9477;0.0673
0.0498;0.1770;0.9348;0.9527;0.0696
0.0508;0.1755;0.9346;0.9523;0.0717
0.0500;0.1697;0.9368;0.9533;0.0736
0.0532;0.1829;0.9312;0.9504;0.0754
0.0527;0.1755;0.9353;0.9531;0.0773
0.0532;0.1780;0.9304;0.9488;0.0792
0.0474;0.1753;0.9402;0.9576;0.0811
0.0481;0.1763;0.9409;0.9585;0.0831
0.0522;0.1736;0.9351;0.9525;0.0855
0.0513;0.1753;0.9290;0.9467;0.0875
0.0439;0.1777;0.9348;0.9526;0.0894
0.0515;0.1755;0.9438;0.9614;0.0912
0.0515;0.1765;0.9377;0.9556;0.0931
0.0505;0.1748;0.9377;0.9552;0.0950
0.0525;0.1750;0.9329;0.9506;0.0969
0.0554;0.1729;0.9409;0.9583;0.0992
0.0549;0.1763;0.9285;0.9466;0.1012
0.0498;0.1782;0.9312;0.9494;0.1030
0.0505;0.1797;0.9319;0.9504;0.1048
0.0576;0.1746;0.9324;0.9503;0.1067
0.0527;0.1760;0.9385;0.9563;0.1086
0.0500;0.1721;0.9287;0.9459;0.1105
0.0557;0.1726;0.9382;0.9556;0.1125
0.0559;0.1741;0.9309;0.9487;0.1149
0.0522;0.1760;0.9419;0.9596;0.1168
0.0520;0.1714;0.9333;0.9504;0.1187
0.0522;0.1707;0.9304;0.9474;0.1206
0.0525;0.1748;0.9355;0.9532;0.1225
0.0488;0.1704;0.9346;0.9512;0.1244
0.0540;0.1790;0.9321;0.9507;0.1263
0.0549;0.1731;0.9355;0.9530;0.1285
0.0500;0.1729;0.9395;0.9565;0.1305
0.0479;0.1724;0.9290;0.9460;0.1324
0.0459;0.1746;0.9368;0.9540;0.1342
0.0491;0.1770;0.9346;0.9524;0.1361
0.0503;0.1741;0.9353;0.9527;0.1380
0.0449;0.1738;0.9380;0.9550;0.1399
0.0491;0.1770;0.9360;0.9539;0.1420
0.0547;0.1831;0.9314;0.9508;0.1442
0.0542;0.1777;0.9348;0.9531;0.1463
0.0493;0.1768;0.9333;0.9512;0.1481
0.0564;0.1763;0.9346;0.9527;0.1499
0.0525;0.1763;0.9314;0.9494;0.1518
0.0493;0.1753;0.9336;0.9512;0.1537
0.0481;0.1736;0.9321;0.9494;0.1556
0.0532;0.1772;0.9285;0.9467;0.1579
0.0503;0.1821;0.9387;0.9575;0.1599
0.0557;0.1780;0.9292;0.9477;0.1617
0.0498;0.1724;0.9321;0.9492;0.1636
0.0505;0.1787;0.9358;0.9540;0.1655
0.0476;0.1821;0.9368;0.9555;0.1674
0.0483;0.1782;0.9360;0.9541;0.1696
0.0479;0.1736;0.9338;0.9510;0.1813
0.0474;0.1775;0.9382;0.9560;0.1832
0.0466;0.1755;0.9272;0.9449;0.1852
0.0530;0.1790;0.9302;0.9487;0.1870
0.0588;0.1787;0.9302;0.9490;0.1886
0.0518;0.1731;0.9331;0.9504;0.1903
0.0505;0.1726;0.9297;0.9469;0.1919
0.0508;0.1758;0.9351;0.9528;0.1936
0.0518;0.1768;0.9353;0.9533;0.1953
0.0515;0.1824;0.9346;0.9536;0.1971
0.0559;0.1770;0.9377;0.9559;0.1990
0.0508;0.1772;0.9365;0.9545;0.2010
0.0479;0.1787;0.9387;0.9568;0.2028
0.0461;0.1787;0.9319;0.9500;0.2046
0.0466;0.1716;0.9382;0.9549;0.2065
0.0420;0.1721;0.9321;0.9488;0.2084
0.0518;0.1736;0.9414;0.9587;0.2102
0.0481;0.1731;0.9373;0.9543;0.2121
0.0479;0.1772;0.9248;0.9429;0.2144
0.0498;0.1809;0.9341;0.9527;0.2163
0.0510;0.1738;0.9458;0.9630;0.2181
0.0510;0.1782;0.9365;0.9547;0.2200
0.0442;0.1802;0.9431;0.9612;0.2219
0.0491;0.1755;0.9370;0.9546;0.2238
0.0547;0.1758;0.9353;0.9532;0.2256
0.0508;0.1743;0.9397;0.9571;0.2279
0.0459;0.1724;0.9292;0.9462;0.2304
0.0537;0.1765;0.9304;0.9485;0.2326
0.0505;0.1831;0.9265;0.9458;0.2346
0.0496;0.1733;0.9395;0.9566;0.2368
0.0493;0.1692;0.9438;0.9602;0.2387
0.0508;0.1753;0.9336;0.9513;0.2406
0.0483;0.1802;0.9424;0.9607;0.2425
0.0474;0.1746;0.9353;0.9526;0.2448
0.0479;0.1733;0.9414;0.9584;0.2467
0.0483;0.1685;0.9241;0.9405;0.2485
0.0530;0.1797;0.9331;0.9517;0.2504
0.0530;0.1760;0.9290;0.9470;0.2523
0.0503;0.1748;0.9338;0.9514;0.2542
0.0500;0.1721;0.9329;0.9499;0.2561
