gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
-0.0153;0.1374;-0.1221;-14.3759;-19.3321;2.4434
0.0153;0.0916;-0.0916;13.2343;-47.1039;2.4454
0.0458;0.0458;-0.0305;-10.0682;-78.2364;2.4475
-0.1374;0.0458;-0.0458;-13.1530;-75.2613;2.4497
-0.1832;0.0763;-0.0305;-6.6086;-78.0255;2.4520
-0.1374;0.0763;-0.0153;-15.7383;-38.3152;2.4542
-0.0763;0.1527;-0.0763;-39.4941;12.2396;2.4563
0.0153;0.0916;-0.0458;-5.7682;8.0887;2.4585
-0.0305;0.0153;0.0916;-9.8990;4.2252;2.4606
-0.0153;0.1527;0.0763;-2.6580;-21.7768;2.4632
-0.1069;0.2443;-0.0458;0.0000;12.5288;2.4654
-0.0763;0.0916;0.0153;-26.5204;-3.1996;2.4677
-0.1221;0.1069;0.0153;-18.8391;-14.0155;2.4700
-0.1527;0.1832;0.0305;-32.1845;-30.2024;2.4724
-0.1069;0.1374;0.0305;-64.0843;-22.0098;2.4746
-0.1527;0.0305;-0.0763;-39.7567;12.9344;2.4772
-0.1221;0.0611;-0.1069;-57.0615;-16.2454;2.4795
-0.0916;0.0916;-0.1374;-57.2246;1.7208;2.4818
-0.0763;0.0763;-0.0763;-49.2797;8.4352;2.4843
-0.1527;0.0611;-0.0153;-68.3974;-15.0898;2.4866
-0.0611;0.0916;-0.0611;-37.1688;-44.3917;2.4892
-0.0611;-0.0458;-0.0763;-68.1001;-21.7856;2.4915
-0.1221;0.0611;-0.1679;-73.3985;-14.8062;2.4939
-0.1374;0.0763;-0.1069;-11.8269;-28.5699;2.4962
-0.0916;0.0305;-0.0763;-67.8754;-19.6857;2.4985
0.0153;0.0916;-0.0458;-56.1046;-16.0625;2.5007
0.0458;0.1221;-0.0305;-36.1870;-15.9099;2.5031
-0.0153;0.1679;-0.0611;-36.8893;-8.3311;2.5054
-0.0916;0.1527;0.0000;-44.3723;-37.9810;2.5077
-0.0458;0.0916;0.0153;-58.4590;-26.6514;2.5101
-0.0305;-0.0305;0.0153;-56.3099;-0.0000;2.5158
-0.1069;-0.0305;0.0458;-32.3115;-28.7553;2.5179
-0.0611;0.1069;0.1374;5.6243;-66.1660;2.5201
-0.1221;0.0305;0.1374;-1.9665;-34.4853;2.5225
-0.0458;0.0305;-0.0458;5.9366;-16.8340;2.5248
-0.0611;0.0916;0.0000;0.0000;-32.7352;2.5272
0.0153;0.2137;-0.0305;6.6307;-35.2644;2.5299
-0.0305;0.1374;-0.0458;0.0000;38.6598;2.5324
-0.1527;0.1069;-0.0458;-9.7315;30.4704;2.5347
-0.1069;0.0763;-0.0611;8.1713;-20.8139;2.5369
-0.1527;0.0458;-0.1221;-10.5994;-3.5152;2.5391
0.0000;0.1069;0.0153;-21.5321;-8.7965;2.5414
0.0153;0.1069;0.0611;-27.7347;-5.9360;2.5439
-0.0763;0.0763;0.1374;-23.1228;-4.5047;2.5462
0.0305;0.1374;0.0458;-29.4706;-20.5737;2.5486
0.1221;0.0153;-0.0305;-6.6984;-49.3036;2.5514
0.0305;0.0305;0.0153;-34.0028;-10.7434;2.5537
-0.0153;-0.1527;0.0153;-17.8440;3.5136;2.5560
-0.0153;-0.0305;-0.0611;-44.0766;1.2858;2.5584
-0.0458;0.0305;0.0458;-44.6890;-5.9803;2.5608
-0.1069;0.0458;-0.0916;-76.3521;-13.3779;2.5632
-0.0763;-0.0153;-0.0763;-70.5600;-0.0000;2.5656
0.0305;-0.0763;-0.1374;-3.1996;-26.5204;2.5679
0.0000;-0.0763;-0.1374;0.0000;-27.6460;2.5705
-0.0458;-0.0153;-0.0458;-2.0136;-79.6791;2.5733
-0.1374;-0.0763;-0.0763;-10.4909;-51.2917;2.5756
-0.0305;0.0458;-0.0763;6.3251;-11.6527;2.5778
0.0000;0.0000;-0.1069;5.9714;-15.6929;2.5800
-0.0305;0.0611;-0.0916;-33.3968;22.5141;2.5824
-0.0763;0.1221;-0.0153;-25.3748;10.8061;2.5847
-0.0153;0.0611;0.0000;-39.9499;-8.0242;2.5870
-0.1069;0.0153;-0.0153;-61.7580;-28.2103;2.5893
-0.1374;0.1679;0.0611;-57.2661;-32.3645;2.5918
-0.0305;0.1832;0.0153;-53.5005;-26.0063;2.5945
-0.0153;0.0000;-0.0153;-20.8139;-8.1713;2.5968
-0.1985;0.1374;-0.0153;57.2813;-26.2831;2.5991
-0.1985;0.0305;0.0305;17.9477;-20.2836;2.6014
-0.1069;0.1679;0.0458;-25.7088;-20.7889;2.6038
-0.0916;0.1832;0.0305;-49.7622;-14.7414;2.6062
-0.0916;-0.1069;0.0763;-35.0553;-30.1702;2.6087
0.0916;0.0611;0.0153;3.2772;-76.3670;2.6110
0.1679;0.2137;0.0000;12.0854;-70.4180;2.6132
0.1527;0.2137;0.0458;-48.3110;-41.5897;2.6153
0.0000;0.2290;0.0763;-52.4651;-23.3590;2.6173
0.0611;0.1832;0.0153;-47.1918;-30.5240;2.6193
0.1069;0.1069;0.0458;6.5330;-75.2613;2.6214
-0.0916;0.1374;0.0305;-17.8056;-14.7631;2.6239
-0.0458;0.0916;-0.0305;-44.5342;7.3260;2.6263
-0.0153;0.0458;-0.0763;-4.6640;11.7288;2.6286
0.1069;0.0916;-0.0153;-5.0123;51.8442;2.6310
0.0153;0.1221;-0.0305;-4.5739;16.2070;2.6333
-0.0611;0.0763;-0.0611;26.5990;13.9510;2.6356
-0.2137;0.1221;0.0153;13.6913;2.7133;2.6380
-0.0916;0.1221;0.0611;6.3794;26.3878;2.6405
-0.0916;0.1985;0.0916;2.5866;18.4155;2.6426
-0.1832;0.0611;-0.0458;-13.1747;-19.9916;2.6446
-0.2595;0.0000;-0.0763;16.7428;-6.6169;2.6466
-0.2748;0.0763;-0.0305;21.1836;-4.4411;2.6486
-0.1069;0.0000;-0.0916;29.4766;-39.7686;2.6505
0.0305;0.1221;-0.0305;35.5974;-50.9061;2.6529
-0.1374;0.2443;-0.0763;24.6573;-37.5706;2.6551
-0.0916;0.2595;-0.0458;28.0990;-52.6369;2.6571
-0.0305;0.2748;0.0611;36.8222;-34.4744;2.6592
0.0305;0.2290;0.0611;49.2968;-22.2748;2.6612
0.0458;0.0458;0.0458;33.6361;-20.7632;2.6634
0.0763;-0.0458;-0.0153;11.9743;-18.7017;2.6654
0.1679;-0.2290;0.0153;9.3185;-25.1535;2.6675
0.0763;-0.2443;0.0611;0.0000;-58.4957;2.6695
0.1221;-0.1679;0.0153;-10.8230;-65.1731;2.6715
0.0916;-0.0916;0.0153;-37.6335;-35.2178;2.6735
0.0000;-0.0458;0.0763;-34.8517;-17.7447;2.6755
-0.0763;-0.0305;0.1069;-48.6404;-33.6952;2.6775
-0.0611;0.0000;-0.0611;-30.8407;-12.6919;2.6796
-0.0458;0.1527;-0.0611;-34.8386;-23.8690;2.6818
0.0153;0.1832;0.0000;-60.0129;-26.5539;2.6837
0.0305;0.1221;0.0000;-49.6409;-28.8554;2.6857
-0.0458;0.1069;0.0305;-51.1102;-14.1597;2.6876
-0.0763;0.1069;0.0000;-36.6569;-5.7106;2.6895
0.0611;0.1679;0.0458;-31.9580;-7.6039;2.6915
0.1374;0.1679;0.0763;56.9417;-24.7751;2.6937
0.0611;0.0611;-0.0153;31.5010;-37.0779;2.6960
-0.0611;0.0153;0.0000;7.8997;-38.9246;2.6981
-0.1069;0.0611;0.0763;-28.6105;-61.3895;2.7003
-0.1985;0.0916;0.0916;-35.2475;-43.8309;2.7025
-0.1374;0.1069;0.0305;-26.5414;-43.6759;2.7047
-0.0916;0.1374;0.0458;-13.1090;-59.5258;2.7068
-0.0305;0.1527;0.0305;53.3008;-15.5014;2.7089
0.0000;0.1221;0.0611;-37.6589;-42.7534;2.7110
0.0763;0.1069;0.0763;-47.2991;-36.6632;2.7131
0.0611;0.1221;0.0153;-67.7510;-0.0000;2.7152
0.0458;0.1985;-0.0763;-69.8115;-9.6483;2.7173
0.0916;0.1069;-0.0458;-59.5345;-17.7108;2.7194
0.1069;0.1069;0.0611;-60.9454;-0.0000;2.7216
0.0763;0.2137;0.0305;-33.1062;22.9630;2.7238
0.1221;0.2137;0.0763;-14.0129;-16.4093;2.7259
0.0611;0.2137;0.0153;-8.7208;4.3478;2.7281
-0.0458;0.1527;-0.0611;-35.8986;14.2933;2.7303
-0.0458;0.1985;-0.0611;-41.9727;-7.3186;2.7326
0.0000;0.0916;-0.0611;-46.4095;-15.7599;2.7348
0.0763;0.1374;-0.0458;30.7372;35.0989;2.7371
0.1374;0.0916;-0.0763;0.0000;10.6197;2.7394
0.0763;-0.0153;-0.0458;-14.6167;-18.3874;2.7415
-0.0153;0.0000;0.0153;-18.4019;-43.1550;2.7437
0.0458;0.1221;0.0305;-1.1711;-40.8450;2.7459
0.0000;0.0611;-0.0458;7.1683;-32.7333;2.7480
0.0305;-0.0458;-0.0763;-22.3957;-62.7480;2.7502
-0.0763;-0.0916;-0.1069;-59.7994;3.8120;2.7523
-0.1679;-0.1374;-0.1679;-36.2538;40.1750;2.7545
-0.1679;-0.0611;-0.1374;-30.4223;41.1689;2.7566
0.0153;-0.0153;-0.0305;-4.1352;6.2096;2.7589
-0.0611;0.0153;-0.0611;2.4893;-0.8295;2.7612
-0.0916;0.1069;-0.1069;34.8877;-11.4753;2.7633
-0.0153;0.1679;-0.0916;51.3893;-37.8764;2.7655
0.0763;0.1374;0.0153;0.0000;21.8014;2.7677
0.0458;0.1527;0.0611;-76.3521;13.3779;2.7697
-0.0611;0.1374;0.0763;-47.4896;-0.0000;2.7720
-0.0305;0.0305;0.0305;-26.3440;-19.4400;2.7742
-0.0153;0.0763;0.0458;27.9235;-27.9235;2.7765
0.0153;0.0611;-0.0763;21.0914;41.2798;2.7788
-0.1221;-0.0458;0.0000;-33.5708;4.5308;2.7810
-0.1069;-0.0763;0.0458;-61.8811;-1.6847;2.7832
-0.0458;0.0000;-0.0305;-27.4376;-29.1030;2.7853
-0.1069;0.1374;-0.1527;-26.2831;-29.1494;2.7873
-0.1527;-0.0458;-0.1221;-23.2425;-35.0294;2.7895
-0.0916;-0.0916;0.0153;-31.4601;-25.4551;2.7919
0.0000;-0.0458;0.0611;-17.7492;-7.9650;2.7940
-0.0305;0.0916;0.0153;-5.2646;-10.5743;2.7962
-0.0916;0.0458;0.0153;-56.3725;-6.2350;2.7985
-0.0458;0.0763;0.0611;-59.5013;7.0706;2.8006
-0.1374;0.1069;0.0153;-19.9229;-19.9229;2.8028
-0.0458;-0.0611;0.0153;-13.4663;-16.2273;2.8049
0.0305;0.0000;0.0305;-18.4085;-18.4085;2.8071
-0.1374;0.1069;0.0000;-9.7597;-3.8880;2.8091
-0.1679;0.1527;0.0305;-42.4857;1.7593;2.8113
-0.0763;0.1374;0.0916;-37.1468;3.6444;2.8134
0.0000;0.2443;0.0916;-13.6330;-13.6330;2.8156
-0.0916;0.1221;0.0153;-30.9573;-25.6006;2.8180
-0.1679;0.1221;-0.0153;-37.6942;-37.6942;2.8201
-0.0763;0.0458;-0.0305;-29.4461;-17.1553;2.8223
0.0305;0.0458;-0.0305;-18.7083;-8.1132;2.8244
0.0305;0.0763;-0.0916;-3.8135;-0.9527;2.8264
-0.0916;0.0763;-0.1374;-15.8239;-20.5234;2.8285
-0.1527;0.1374;0.0305;-24.5497;-16.7168;2.8306
-0.0916;0.0458;-0.0611;-4.0170;-16.2727;2.8328
0.0458;0.0763;-0.1221;-5.0166;-20.4738;2.8347
0.1069;0.1985;-0.1832;-31.3421;-24.9022;2.8368
0.0611;0.0763;-0.0916;-41.9931;-13.8965;2.8389
0.0153;0.0763;-0.0305;-51.4171;-13.3923;2.8409
-0.0153;0.1679;-0.0153;-30.5591;-17.4020;2.8428
0.0305;0.1221;-0.0153;-9.1847;-13.8527;2.8448
-0.0763;0.0000;0.1221;-15.7932;7.8212;2.8468
-0.1527;0.0000;0.0916;-33.0557;54.9032;2.8488
-0.1374;-0.0305;0.0611;-12.9005;12.9005;2.8507
-0.1374;0.1221;0.0000;9.6879;39.1280;2.8528
-0.0763;0.0763;0.0458;36.1352;29.9319;2.8549
-0.1374;0.1374;0.0611;-13.1747;65.7392;2.8569
-0.0916;0.1374;0.1069;-71.3982;17.2280;2.8590
-0.1221;0.0916;0.1221;-75.1863;2.4090;2.8612
-0.2137;0.0153;0.0458;-47.9019;-12.2396;2.8634
-0.0458;0.0458;0.1527;-10.1184;-34.2069;2.8655
-0.1069;-0.0611;0.1374;-55.1402;-3.6189;2.8674
-0.0916;-0.1679;0.0153;-59.5345;-0.0000;2.8693
-0.1832;-0.0611;0.0305;-29.8716;18.1368;2.8713
-0.0153;-0.0305;0.0153;-15.6422;-15.6422;2.8736
-0.0916;0.0458;0.0458;-27.6460;-0.0000;2.8763
-0.0458;0.1069;0.0611;-26.6828;-18.7083;2.8784
-0.0763;0.0611;0.0305;-30.6526;-46.2415;2.8805
-0.0305;0.1374;0.0305;-14.6661;-74.1757;2.8827
0.0000;-0.0458;-0.0153;-27.3915;-43.6382;2.8847
-0.0153;-0.0305;-0.0153;-28.1782;-45.0986;2.8868
-0.0305;0.0916;-0.0305;-29.1216;-54.2042;2.8890
0.0763;0.0153;-0.0153;-43.2943;-46.3726;2.8910
0.0153;0.0458;0.0153;-49.0251;-35.2644;2.8933
0.0000;0.0000;-0.0153;-60.8662;-27.2285;2.8955
-0.0153;0.0611;-0.0916;-44.4996;-21.9511;2.8976
-0.0458;0.0611;-0.0305;-47.3354;-36.9872;2.8997
0.0000;-0.1221;-0.0153;-42.4117;-33.4923;2.9020
-0.0916;-0.1527;-0.0153;-30.8815;17.0553;2.9041
-0.0916;-0.0153;-0.1221;-75.5799;10.1421;2.9062
-0.1221;0.0000;-0.1069;-81.0274;-0.0000;2.9089
-0.0763;-0.0153;-0.0763;-44.1489;36.6569;2.9113
0.0153;0.0763;0.0000;9.3359;9.3359;2.9134
0.1221;0.0611;-0.0458;-38.1129;-50.4903;2.9156
0.1527;0.1221;0.0305;7.4947;-51.5000;2.9178
0.0000;0.0458;0.0305;9.4480;-68.4658;2.9201
-0.0458;-0.0153;-0.0153;12.1551;-65.8421;2.9225
-0.0458;0.0763;-0.0611;-3.3110;-50.3616;2.9247
-0.0458;0.1069;0.0000;-6.8508;-54.2070;2.9268
0.0763;0.0458;-0.0153;-4.2480;-58.4137;2.9286
0.0305;0.1069;-0.0611;-12.5438;-55.6197;2.9304
-0.1374;0.1985;-0.0153;-17.7155;-58.4313;2.9321
-0.0763;0.1985;-0.0458;-15.7599;-39.3274;2.9339
-0.0763;0.0611;-0.0916;-14.2902;-5.1497;2.9356
-0.0611;0.0916;-0.0916;0.0000;6.8428;2.9375
-0.0763;0.1527;-0.0458;-1.2120;6.0711;2.9392
-0.0305;0.1527;-0.0458;-16.5626;-11.7485;2.9410
0.0763;0.1069;-0.1069;-39.7081;-35.0989;2.9428
0.0763;0.0458;-0.1069;-51.2434;2.9800;2.9446
-0.0611;-0.0153;-0.0305;-33.1229;13.3017;2.9463
-0.1527;0.0916;-0.0153;-30.5977;2.0117;2.9480
-0.1221;0.0763;-0.0153;-27.0598;-14.8265;2.9498
-0.0611;0.1069;-0.0305;-13.6952;-45.2569;2.9516
-0.1527;0.1527;-0.0153;-58.4236;-19.9242;2.9534
-0.1679;0.2137;-0.0611;-58.2646;-7.3294;2.9553
-0.0153;0.1527;-0.1221;-48.7036;32.8615;2.9574
-0.0763;0.1374;-0.1221;-32.1333;38.3555;2.9593
-0.0458;0.1527;-0.1527;-54.3204;19.5405;2.9611
0.0305;0.1374;-0.1527;-19.9075;4.8833;2.9629
-0.0458;0.1527;-0.1221;2.5110;15.2401;2.9647
-0.0916;0.0916;-0.1069;-29.4962;-59.5013;2.9665
-0.0763;0.1374;-0.1069;-28.0219;-7.7142;2.9682
-0.1374;0.1374;-0.0611;-44.7779;20.6207;2.9700
-0.1679;-0.0458;0.0000;-2.8273;20.1992;2.9718
-0.1069;-0.1221;-0.0458;0.0000;12.9946;2.9735
-0.0763;-0.0611;-0.0153;18.2008;8.9849;2.9753
-0.0763;-0.0305;-0.0611;0.0000;29.7449;2.9770
0.0000;0.0305;-0.0153;-28.2573;-6.2723;2.9787
-0.0153;0.1679;0.0000;-26.5068;-3.6555;2.9805
-0.0458;0.0916;0.0458;32.9089;44.3096;2.9825
-0.0305;0.0763;0.0763;42.0238;25.2144;2.9843
-0.0305;0.1374;0.0611;-2.1817;40.3292;2.9860
0.0305;0.0611;0.0458;-29.8784;37.8155;2.9878
0.0458;-0.1069;0.0611;-3.1749;70.3123;2.9895
0.0458;-0.0763;0.0458;21.7541;54.6244;2.9913
0.0763;-0.0305;-0.0763;7.4488;76.4842;2.9931
0.0916;-0.0611;-0.1221;-17.8526;66.8836;2.9948
0.0611;-0.1221;-0.1374;-32.2326;6.5627;2.9966
-0.0458;-0.0763;-0.1527;-37.9514;-11.8294;2.9984
-0.0916;-0.0611;-0.1069;-23.4832;-9.1716;3.0002
-0.1374;-0.0458;-0.0305;-8.0739;6.7214;3.0020
-0.0763;0.0305;0.0611;-7.1189;-2.3675;3.0037
-0.0611;-0.0763;-0.0458;-14.4208;-0.0000;3.0055
0.0611;-0.0305;-0.0458;-11.9761;-0.0000;3.0072
0.0763;-0.0458;0.0153;-24.8075;14.1670;3.0089
-0.0305;0.0916;0.0000;-13.9809;5.0401;3.0107
-0.0305;0.0153;-0.0611;-31.0083;-8.2936;3.0125
0.0153;0.0916;0.0153;-43.2943;4.3698;3.0146
0.2595;0.1374;0.0916;-52.0346;-35.3203;3.0167
0.1832;0.1374;0.0763;-35.1607;-44.7361;3.0184
0.1069;0.1069;0.0611;-56.8989;-32.9912;3.0202
0.0611;0.1069;0.0611;-60.9724;-24.2976;3.0220
0.0153;0.0916;0.0153;-36.9940;-24.7460;3.0237
-0.0458;0.0153;0.1069;-43.3007;-32.0026;3.0255
-0.0458;-0.0611;0.1832;-54.4024;-33.8037;3.0272
0.0153;0.0458;0.1832;-3.8746;-61.4570;3.0290
0.0305;0.1985;0.0000;28.8409;-21.6464;3.0307
0.0305;0.1832;-0.1374;25.3713;-5.8555;3.0325
0.0611;0.2290;-0.0153;23.4986;-0.0000;3.0343
0.0000;0.2748;0.0000;-3.9429;-1.9703;3.0360
-0.0763;0.1985;-0.0458;-54.4623;-20.4104;3.0377
-0.0611;0.1221;-0.0458;-31.5294;-16.3546;3.0395
-0.1221;0.1527;-0.0458;-28.0834;-12.3557;3.0412
-0.0763;0.1374;-0.0458;-65.5560;-19.3321;3.0430
0.0458;-0.0153;-0.0611;-66.9785;4.3987;3.0447
0.1527;-0.0305;0.0153;-48.7537;5.7536;3.0465
0.1374;-0.0458;0.0305;-32.4336;-5.7714;3.0483
0.1679;-0.0916;0.0305;-9.6634;4.1254;3.0500
0.1679;-0.0458;-0.0458;-3.1689;4.7563;3.0519
0.0153;-0.0305;0.0153;-4.3572;-17.6917;3.0537
-0.0611;0.0611;0.0153;20.2327;-43.7623;3.0555
-0.1221;0.0000;0.0611;3.6781;-44.8821;3.0572
-0.1374;0.0153;0.1069;-3.0086;3.0086;3.0591
-0.1374;0.0763;0.0916;-25.0873;18.5420;3.0609
-0.1832;0.0000;0.0305;0.0000;-84.2894;3.0627
-0.0611;0.0916;0.0458;2.5606;-26.5364;3.0644
-0.0458;0.0916;0.1221;2.0599;-52.2579;3.0662
-0.0153;0.0611;0.1527;-15.1717;-38.9107;3.0679
0.0305;-0.0153;0.0916;9.7315;-57.6885;3.0696
-0.0305;0.0305;0.0305;21.8014;-47.9689;3.0714
-0.0763;-0.0153;0.0000;-48.1458;-41.4591;3.0732
-0.0153;-0.0611;-0.0458;22.3425;-8.7462;3.0750
0.0763;0.0153;0.0305;38.6598;51.3402;3.0768
0.1221;0.1527;0.0763;-2.3818;16.9124;3.0785
0.0763;0.1832;0.0458;-14.0277;-1.9844;3.0803
0.1679;0.1527;0.0153;-45.7308;-5.8714;3.0823
0.1679;0.1985;0.0153;-60.9454;-0.0000;3.0841
0.1221;0.1832;-0.0611;-43.7725;-17.9065;3.0858
0.1221;0.0305;-0.0305;-54.7731;-31.0590;3.0876
0.0153;-0.1374;-0.0763;-56.4907;-13.5010;3.0893
0.0000;-0.1679;-0.1069;-41.2036;-8.9166;3.0910
-0.0611;0.0000;-0.0611;-21.6026;-26.5551;3.0928
-0.1832;-0.0458;0.0153;-5.7617;-42.0111;3.0946
-0.2595;0.0000;-0.0305;-19.1208;-51.8268;3.0963
-0.2443;0.0611;-0.0305;-66.6733;-22.0647;3.0981
-0.0153;0.0458;0.0916;-65.9052;-21.4167;3.0999
-0.0305;0.1374;0.1069;-30.8182;-14.8422;3.1018
0.0305;0.2443;0.0458;-33.5646;-10.0550;3.1035
0.0763;0.2137;-0.0458;-26.3771;-20.4307;3.1053
0.0763;0.1985;-0.0305;-44.5612;-16.3001;3.1070
0.0611;0.1069;0.0611;-29.8716;-18.1368;3.1088
0.0000;-0.0763;-0.0153;32.1529;-50.2378;3.1105
-0.0153;-0.0305;0.0458;26.5298;-48.1108;3.1123
0.0153;0.0153;0.0611;-25.5875;-52.3538;3.1140
-0.0305;-0.0458;0.0305;-60.2551;-0.0000;3.1158
-0.0611;0.1374;-0.0153;-11.3099;36.0399;3.1175
-0.0916;0.2137;-0.0763;-27.0716;52.7907;3.1193
-0.1527;0.1985;0.0611;-24.2457;32.2657;3.1211
-0.1527;0.1374;0.0611;-25.7303;-25.7303;3.1230
-0.1832;0.0458;0.0763;-49.0105;6.1904;3.1248
-0.2290;-0.0305;0.0153;4.1880;-23.6822;3.1265
-0.1527;0.0763;0.0000;-13.0885;-34.4814;3.1283
-0.1374;0.1527;0.0305;-22.2762;-18.9606;3.1300
-0.1221;0.1221;0.0611;10.2634;-5.1111;3.1318
-0.0458;0.0916;0.0611;11.1747;-19.8252;3.1336
0.0763;0.1832;0.0458;-13.0885;-52.4286;3.1353
0.0611;0.2137;0.0305;3.1749;-85.5076;3.1371
-0.0153;0.1374;0.0305;-2.1196;-87.0017;3.1388
-0.0611;0.1374;0.0000;-10.8155;-42.4952;3.1405
-0.1221;0.2443;0.0305;-19.2391;-27.4720;3.1423
-0.1221;0.2595;-0.0153;-26.3474;-15.8497;3.1441
-0.1069;0.2290;-0.0305;-12.0888;-42.0799;3.1458
-0.0153;0.1985;0.0305;10.0127;-46.9066;3.1476
0.0153;0.1527;0.0000;2.1881;-43.4123;3.1493
-0.0153;0.0763;0.0000;-23.6838;-42.0272;3.1511
-0.0611;0.1221;0.0763;-6.8212;-81.7933;3.1529
-0.0305;0.2901;0.1679;-25.2321;-38.5381;3.1546
0.0611;0.1069;0.0458;-21.4899;-37.6302;3.1564
0.0916;0.0611;0.0458;-23.3052;-19.2500;3.1581
0.0305;0.0458;0.0153;-1.6584;-22.0997;3.1599
0.0153;0.0611;0.0763;6.6391;-8.3094;3.1617
-0.0153;0.0153;0.0763;4.3987;-0.0000;3.1634
-0.0916;-0.0305;0.0458;-44.8242;-44.8242;3.1652
-0.0916;-0.0305;0.0000;-36.1352;-39.4239;3.1669
-0.0153;-0.0305;-0.0611;5.4602;-30.4967;3.1687
-0.0458;-0.0458;-0.0916;14.3015;-31.9608;3.1704
-0.0153;-0.0153;-0.0458;-1.7486;-12.3333;3.1722
0.0611;0.0458;-0.0153;6.7587;-31.1866;3.1739
0.0305;0.1221;-0.0763;13.9207;-36.9735;3.1757
0.0763;0.1069;0.0153;24.9856;-19.1794;3.1774
0.0916;0.1069;0.0763;45.8186;-21.0123;3.1791
0.0000;0.0763;0.0611;41.7315;-29.9491;3.1809
0.0458;0.0305;0.0305;-16.9153;8.3650;3.1829
0.0458;0.0611;0.0458;-18.3298;6.0173;3.1846
-0.0305;-0.0305;0.0000;-15.4134;1.9039;3.1864
-0.0611;-0.0916;0.0305;-10.7724;2.6782;3.1881
-0.1221;0.0763;0.0458;3.9452;-0.0000;3.1899
-0.1527;0.0458;-0.0305;-10.5982;10.5982;3.1917
-0.1832;-0.0305;-0.0305;-34.6931;-7.0057;3.1935
-0.0916;0.0458;-0.0153;-11.4789;-23.4541;3.1953
-0.1221;0.1679;-0.0305;-3.5746;1.7864;3.1975
-0.1679;0.0916;0.0763;-24.6822;-56.6335;3.1993
-0.1679;0.0611;0.1221;-36.4434;-53.4835;3.2010
-0.0763;0.0000;0.0916;-68.9974;-20.8329;3.2029
0.0458;-0.0611;0.0305;-81.9505;5.6824;3.2046
0.0763;-0.0458;0.1069;-21.8014;-68.1986;3.2064
0.0611;-0.0916;0.1221;7.1772;-60.9945;3.2081
-0.0153;-0.0458;0.1069;3.7762;-50.2059;3.2099
-0.0611;-0.0305;0.2137;33.5986;-56.1046;3.2117
-0.1069;0.0611;0.1221;45.4490;-42.3019;3.2134
-0.0916;0.0916;0.0916;42.2382;-46.3793;3.2152
-0.0153;-0.0153;0.0153;52.4286;-34.4814;3.2169
-0.1069;-0.0458;-0.0458;31.9552;-57.8664;3.2186
-0.0916;-0.0305;0.0000;9.4302;-79.4446;3.2204
-0.0763;-0.0153;0.0458;-50.6909;-26.6125;3.2221
0.0000;0.0153;0.0153;-59.6465;-9.1953;3.2239
0.0000;-0.0611;-0.0611;-55.5256;5.5656;3.2256
-0.0916;-0.1221;-0.0611;-50.6337;-2.6856;3.2276
-0.1221;0.1069;-0.1221;-30.9534;1.4035;3.2293
-0.1374;0.0763;-0.1374;-4.2865;12.9576;3.2311
-0.0611;0.0916;-0.1527;-13.4853;2.2274;3.2329
-0.0763;0.1679;-0.0611;-11.5974;-8.4071;3.2347
-0.1985;0.1069;-0.0305;-12.9614;-9.2191;3.2364
-0.1679;0.1069;0.0305;-13.0433;-2.4253;3.2382
-0.0916;0.0458;0.0305;-18.1132;10.5375;3.2400
0.0000;-0.0153;0.0000;-21.9632;20.6103;3.2418
0.0305;0.1679;0.0000;-14.0572;11.4626;3.2436
0.0611;0.1527;-0.0153;-3.0621;3.0621;3.2453
0.1069;0.1069;-0.0611;-8.1858;-9.3650;3.2471
0.1221;0.1832;0.0000;10.7369;-5.3448;3.2488
0.0305;0.1527;-0.0458;14.6541;10.9374;3.2510
-0.0305;0.1374;0.0153;25.3769;16.6015;3.2539
0.0458;0.0916;-0.0763;-40.2529;-30.1702;3.2565
0.0153;0.1221;-0.0458;-49.7622;-36.4223;3.2588
0.0611;0.1679;0.0458;-8.1097;-80.9254;3.2610
-0.1832;-0.0305;0.0305;-31.1197;-54.3073;3.2641
-0.1374;0.0763;-0.0305;-32.4712;-57.5288;3.2666
-0.1221;0.0916;-0.0611;-35.2228;-37.5027;3.2689
-0.0611;-0.0458;-0.0916;-35.6673;-54.0793;3.2712
-0.0305;-0.0611;0.0611;-52.2704;-24.8453;3.2734
-0.0305;-0.0305;0.0763;-51.1947;-25.1546;3.2756
-0.0153;0.0611;0.0153;-59.0324;-23.9641;3.2778
-0.1221;0.1374;0.0611;-35.4659;-53.4540;3.2800
-0.1679;0.0000;-0.0458;-12.5672;-36.1986;3.2828
0.0000;0.1069;0.0458;-19.5391;-25.7716;3.2857
0.0611;0.1221;0.0916;-25.2202;-37.7717;3.2881
0.0611;0.2290;0.0458;-29.8355;-26.2464;3.2903
0.0763;0.1221;0.0153;-7.1216;-14.3563;3.2929
0.0763;0.0153;0.0000;-35.6768;-16.9541;3.2956
0.1069;0.0000;-0.0458;-72.3235;-3.4139;3.2978
0.0763;-0.0458;0.0611;-29.1216;18.9318;3.3000
-0.1221;0.2595;0.1374;-69.1846;-20.5194;3.3026
-0.1374;0.1832;-0.0305;-70.6828;-9.4462;3.3053
-0.1527;0.1985;0.0153;-5.1627;-18.3575;3.3077
-0.1679;0.1374;0.0305;-17.9372;-35.5722;3.3099
-0.0458;0.0458;0.0305;-56.9435;-6.5627;3.3122
