gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
0.0305;0.2137;0.0458;-52.5946;-34.1058;0.3041
0.1221;0.1374;0.0763;-18.5420;-57.9946;0.3066
0.0000;0.0611;0.1069;-27.9365;-53.4300;0.3092
0.0916;0.0916;0.2290;5.0076;-60.7941;0.3122
0.0763;0.0763;0.1832;-2.9138;-74.9775;0.3149
0.0305;0.0153;0.1221;-16.8868;-37.3996;0.3173
0.0153;0.1374;0.1221;-26.5742;-17.7102;0.3197
-0.0153;0.2290;0.0153;-29.1733;-13.0016;0.3222
0.0000;0.1679;0.0305;-32.9032;-8.7488;0.3247
0.0763;0.1832;0.0153;-58.0051;-15.8192;0.3271
0.0153;0.0763;0.0458;-41.4699;-6.7111;0.3295
0.0305;0.0305;0.0305;-67.8754;9.6966;0.3320
0.0153;0.1221;0.0305;-34.5478;-16.4720;0.3346
-0.1374;0.1527;0.0611;-17.3240;-26.5298;0.3371
-0.0611;0.0305;0.0153;-5.5161;-33.0052;0.3395
0.0000;-0.0305;0.0611;1.5754;-31.4910;0.3421
0.0763;-0.0153;0.0458;-4.4650;-38.5208;0.3449
0.0763;0.0153;-0.0458;-42.0238;-37.4869;0.3474
0.0916;0.0305;-0.0458;-59.4754;-15.6161;0.3496
-0.0763;0.1374;-0.1069;-79.4446;4.6991;0.3520
-0.0763;0.1679;-0.0305;-46.0548;19.4090;0.3546
-0.0305;0.1221;-0.0916;-10.8855;-0.0000;0.3569
0.0458;0.1221;-0.0916;-34.9920;-29.4418;0.3592
-0.0153;0.0611;-0.0763;0.0000;-45.0000;0.3614
-0.0458;0.1069;-0.0305;-23.4667;-27.0716;0.3637
-0.1069;0.0305;0.0153;-14.8511;43.1167;0.3661
-0.0916;0.1374;-0.0153;-36.6043;17.3461;0.3683
-0.1832;0.2137;-0.0153;-9.2001;-63.5523;0.3706
-0.1221;0.1832;0.0000;-18.6191;-52.9575;0.3728
-0.0458;0.0763;-0.1069;-19.8200;-40.6964;0.3750
-0.1374;-0.0305;0.0305;-27.7259;-62.1238;0.3775
0.0916;0.0458;0.0611;-68.9974;-20.8329;0.3797
0.0458;0.0153;0.0916;-65.9052;-21.4167;0.3820
-0.0305;0.0763;0.1221;-29.8784;-37.8155;0.3842
0.0305;0.0611;0.1527;-22.1246;-55.9519;0.3864
0.0153;0.0458;0.2290;-19.2259;-50.2059;0.3886
0.0611;0.0611;0.1069;-11.3099;-78.6901;0.3908
-0.1069;-0.0458;0.0458;-41.1859;-0.0000;0.3931
0.0611;-0.0611;0.0305;-43.1384;27.1191;0.3953
0.1069;0.0458;0.0153;-7.0706;-7.0706;0.3975
0.0153;0.0458;0.0000;23.5470;-26.7077;0.3997
0.0763;-0.0611;0.0458;24.9682;3.4572;0.4020
0.1069;-0.0916;0.0153;-39.9062;6.6984;0.4043
0.0611;-0.1069;0.0000;-34.4499;-45.0000;0.4068
0.0000;0.0000;0.0153;-64.7606;17.5484;0.4095
-0.0611;-0.0153;0.0916;-16.3096;63.9811;0.4118
