ax(g);ay(g);az(g);accRMS(g);time(s)
0.0009;0.0083;0.0011;0.0084;31.4364
0.0010;0.0078;0.0027;0.0083;31.4376
0.0015;0.0079;0.0023;0.0084;31.4390
0.0005;0.0081;0.0021;0.0083;31.4403
-0.0011;0.0082;0.0020;0.0085;31.4416
-0.0013;0.0083;0.0023;0.0087;31.4428
0.0011;0.0068;0.0034;0.0077;31.4441
0.0021;0.0059;0.0033;0.0070;31.4454
0.0021;0.0061;0.0027;0.0070;31.4468
-0.0005;0.0055;0.0029;0.0062;31.4499
0.0011;0.0065;0.0035;0.0075;31.4515
0.0009;0.0073;0.0026;0.0078;31.4529
0.0027;0.0068;0.0021;0.0076;31.4546
0.0023;0.0078;0.0021;0.0084;31.4561
0.0022;0.0078;0.0020;0.0083;31.4576
0.0017;0.0084;0.0027;0.0090;31.4590
0.0004;0.0083;0.0031;0.0089;31.4605
0.0038;0.0050;0.0029;0.0069;31.4773
0.0035;0.0049;0.0027;0.0066;31.4789
0.0017;0.0051;0.0006;0.0054;31.4803
0.0007;0.0059;-0.0005;0.0059;31.4818
0.0000;0.0050;-0.0009;0.0051;31.4833
-0.0001;0.0051;0.0007;0.0052;31.4847
-0.0009;0.0078;0.0005;0.0079;31.4862
-0.0018;0.0077;0.0000;0.0079;31.4877
-0.0022;0.0070;0.0004;0.0073;31.4893
-0.0023;0.0066;0.0005;0.0070;31.4907
-0.0017;0.0050;0.0027;0.0059;31.4922
-0.0016;0.0050;0.0020;0.0056;31.4936
-0.0002;0.0051;0.0033;0.0061;31.4950
0.0002;0.0048;0.0026;0.0054;31.4965
-0.0010;0.0048;0.0004;0.0049;31.4981
-0.0007;0.0057;0.0002;0.0058;31.4996
0.0010;0.0071;-0.0004;0.0072;31.5012
0.0012;0.0068;0.0005;0.0070;31.5027
0.0009;0.0077;-0.0001;0.0077;31.5047
0.0020;0.0079;-0.0007;0.0082;31.5061
0.0020;0.0084;-0.0020;0.0089;31.5074
0.0021;0.0089;-0.0032;0.0097;31.5088
0.0015;0.0104;-0.0042;0.0113;31.5101
0.0017;0.0099;-0.0026;0.0104;31.5113
0.0023;0.0087;-0.0007;0.0090;31.5127
0.0022;0.0068;-0.0001;0.0072;31.5140
0.0012;0.0071;-0.0020;0.0074;31.5153
0.0006;0.0079;-0.0015;0.0081;31.5166
0.0000;0.0090;-0.0001;0.0090;31.5179
-0.0005;0.0087;-0.0005;0.0087;31.5192
-0.0006;0.0081;-0.0002;0.0081;31.5205
-0.0017;0.0077;0.0015;0.0080;31.5217
-0.0020;0.0068;0.0038;0.0081;31.5230
0.0001;0.0078;0.0029;0.0083;31.5244
-0.0005;0.0088;0.0021;0.0090;31.5257
-0.0013;0.0079;0.0023;0.0084;31.5269
-0.0026;0.0066;0.0023;0.0074;31.5284
-0.0028;0.0063;0.0015;0.0071;31.5298
-0.0022;0.0061;0.0004;0.0065;31.5311
-0.0016;0.0061;-0.0010;0.0064;31.5325
-0.0002;0.0065;-0.0015;0.0066;31.5337
0.0011;0.0066;-0.0011;0.0068;31.5350
0.0015;0.0077;0.0006;0.0079;31.5362
0.0009;0.0074;0.0022;0.0078;31.5375
0.0011;0.0066;0.0032;0.0074;31.5389
0.0020;0.0072;0.0043;0.0086;31.5401
0.0020;0.0084;0.0021;0.0089;31.5414
0.0022;0.0078;0.0001;0.0081;31.5427
0.0028;0.0068;0.0004;0.0074;31.5440
0.0028;0.0068;0.0001;0.0074;31.5453
0.0020;0.0068;0.0000;0.0071;31.5466
0.0007;0.0062;0.0002;0.0063;31.5480
0.0004;0.0063;0.0023;0.0068;31.5550
0.0009;0.0060;0.0024;0.0065;31.5566
0.0005;0.0071;0.0037;0.0080;31.5583
0.0009;0.0071;0.0024;0.0075;31.5599
-0.0001;0.0063;0.0009;0.0064;31.5616
-0.0001;0.0071;-0.0010;0.0071;31.5636
-0.0005;0.0061;-0.0009;0.0062;31.5649
-0.0009;0.0051;0.0002;0.0052;31.5665
-0.0005;0.0044;0.0006;0.0045;31.5681
-0.0004;0.0039;0.0006;0.0040;31.5697
-0.0006;0.0035;0.0000;0.0036;31.5775
-0.0024;0.0039;0.0012;0.0048;31.5791
-0.0024;0.0038;0.0020;0.0049;31.5805
-0.0013;0.0034;0.0029;0.0047;31.5819
-0.0006;0.0061;0.0013;0.0063;31.5839
-0.0001;0.0059;-0.0010;0.0059;31.5853
0.0002;0.0054;0.0007;0.0054;31.5866
0.0006;0.0051;0.0021;0.0056;31.5879
-0.0001;0.0048;0.0016;0.0050;31.5892
-0.0006;0.0056;0.0004;0.0057;31.5904
-0.0006;0.0067;0.0002;0.0067;31.5917
-0.0001;0.0071;0.0000;0.0071;31.5930
-0.0002;0.0060;0.0004;0.0060;31.5943
0.0002;0.0054;-0.0002;0.0054;31.5956
0.0009;0.0054;0.0006;0.0055;31.5969
-0.0006;0.0057;0.0031;0.0065;31.5983
0.0001;0.0062;0.0038;0.0073;31.5996
0.0006;0.0070;0.0039;0.0080;31.6009
-0.0004;0.0081;0.0018;0.0083;31.6022
-0.0010;0.0077;0.0001;0.0078;31.6035
-0.0007;0.0079;-0.0007;0.0080;31.6048
-0.0001;0.0085;-0.0011;0.0086;31.6061
-0.0009;0.0070;0.0009;0.0071;31.6074
-0.0009;0.0072;0.0024;0.0077;31.6088
-0.0002;0.0072;0.0024;0.0076;31.6101
0.0000;0.0067;0.0023;0.0071;31.6113
-0.0012;0.0074;0.0021;0.0078;31.6126
-0.0026;0.0074;0.0017;0.0081;31.6139
-0.0033;0.0077;0.0027;0.0088;31.6152
-0.0027;0.0083;0.0034;0.0094;31.6165
-0.0021;0.0076;0.0024;0.0082;31.6179
-0.0017;0.0061;0.0004;0.0063;31.6193
-0.0017;0.0056;0.0004;0.0059;31.6206
-0.0018;0.0057;-0.0002;0.0060;31.6219
-0.0022;0.0067;-0.0010;0.0071;31.6232
-0.0017;0.0070;-0.0011;0.0072;31.6248
-0.0018;0.0073;0.0010;0.0076;31.6262
-0.0016;0.0070;0.0018;0.0074;31.6276
-0.0016;0.0059;0.0023;0.0065;31.6290
-0.0011;0.0051;0.0032;0.0061;31.6303
-0.0009;0.0054;0.0040;0.0068;31.6315
-0.0005;0.0060;0.0040;0.0072;31.6328
0.0009;0.0065;0.0017;0.0067;31.6342
0.0006;0.0068;0.0007;0.0069;31.6354
0.0004;0.0071;-0.0004;0.0071;31.6367
0.0012;0.0077;0.0006;0.0078;31.6381
0.0007;0.0082;0.0013;0.0083;31.6395
0.0000;0.0087;0.0006;0.0087;31.6407
-0.0005;0.0087;0.0009;0.0087;31.6420
-0.0017;0.0079;0.0012;0.0082;31.6433
-0.0006;0.0078;0.0013;0.0080;31.6445
0.0010;0.0078;0.0016;0.0080;31.6458
0.0009;0.0078;0.0013;0.0080;31.6470
0.0010;0.0085;-0.0006;0.0086;31.6484
0.0011;0.0089;-0.0016;0.0091;31.6500
0.0010;0.0081;-0.0020;0.0083;31.6513
0.0011;0.0071;-0.0021;0.0075;31.6526
0.0016;0.0062;-0.0016;0.0066;31.6539
-0.0004;0.0076;0.0004;0.0076;31.6553
-0.0013;0.0078;0.0020;0.0082;31.6566
-0.0017;0.0078;0.0032;0.0086;31.6580
-0.0005;0.0079;0.0046;0.0092;31.6594
-0.0010;0.0081;0.0059;0.0100;31.6606
-0.0006;0.0088;0.0057;0.0105;31.6618
0.0001;0.0094;0.0051;0.0107;31.6631
0.0000;0.0088;0.0050;0.0101;31.6644
0.0004;0.0076;0.0039;0.0085;31.6657
0.0011;0.0066;0.0029;0.0073;31.6670
0.0012;0.0055;0.0022;0.0060;31.6684
0.0006;0.0054;0.0010;0.0055;31.6697
0.0001;0.0060;0.0005;0.0060;31.6710
-0.0009;0.0072;0.0010;0.0073;31.6722
-0.0009;0.0074;0.0022;0.0078;31.6736
-0.0004;0.0067;0.0032;0.0074;31.6748
0.0000;0.0062;0.0024;0.0067;31.6761
-0.0002;0.0070;0.0004;0.0070;31.6776
0.0000;0.0068;0.0002;0.0068;31.6791
0.0002;0.0078;-0.0017;0.0080;31.6804
-0.0004;0.0079;-0.0010;0.0080;31.6817
-0.0012;0.0073;0.0006;0.0075;31.6830
-0.0020;0.0065;0.0028;0.0073;31.6843
-0.0011;0.0076;0.0039;0.0086;31.6856
-0.0006;0.0083;0.0046;0.0095;31.6869
-0.0021;0.0084;0.0045;0.0098;31.6883
-0.0032;0.0083;0.0032;0.0094;31.6896
-0.0032;0.0084;0.0013;0.0091;31.6909
-0.0020;0.0063;0.0005;0.0067;31.6922
-0.0015;0.0062;0.0017;0.0066;31.6935
-0.0013;0.0067;0.0012;0.0070;31.6948
-0.0015;0.0066;-0.0011;0.0068;31.6961
-0.0007;0.0056;-0.0001;0.0057;31.6974
-0.0009;0.0057;-0.0002;0.0058;31.6988
-0.0012;0.0055;-0.0001;0.0056;31.7001
-0.0007;0.0051;0.0011;0.0053;31.7014
-0.0009;0.0051;0.0002;0.0052;31.7027
-0.0002;0.0060;-0.0007;0.0060;31.7039
0.0002;0.0068;0.0006;0.0069;31.7052
-0.0006;0.0071;0.0013;0.0072;31.7065
-0.0010;0.0073;0.0024;0.0078;31.7078
-0.0007;0.0070;0.0024;0.0074;31.7092
-0.0013;0.0066;0.0012;0.0068;31.7105
-0.0013;0.0063;0.0009;0.0065;31.7118
-0.0026;0.0072;0.0010;0.0077;31.7132
-0.0032;0.0081;0.0009;0.0087;31.7145
-0.0027;0.0090;-0.0005;0.0094;31.7158
-0.0016;0.0088;-0.0018;0.0091;31.7171
-0.0001;0.0081;0.0004;0.0081;31.7190
0.0012;0.0085;0.0000;0.0086;31.7203
0.0017;0.0095;-0.0004;0.0097;31.7216
0.0017;0.0099;0.0007;0.0101;31.7228
0.0011;0.0088;0.0022;0.0091;31.7241
0.0001;0.0074;0.0021;0.0077;31.7254
-0.0002;0.0071;0.0018;0.0073;31.7267
-0.0004;0.0065;0.0000;0.0065;31.7281
0.0006;0.0067;-0.0029;0.0074;31.7294
0.0015;0.0065;-0.0023;0.0070;31.7308
0.0013;0.0070;-0.0010;0.0072;31.7321
-0.0016;0.0083;0.0024;0.0088;31.7333
-0.0028;0.0072;0.0011;0.0078;31.7346
-0.0018;0.0065;-0.0005;0.0067;31.7359
-0.0015;0.0055;0.0011;0.0058;31.7373
-0.0013;0.0052;0.0017;0.0057;31.7387
-0.0013;0.0063;0.0016;0.0067;31.7400
-0.0016;0.0083;-0.0004;0.0085;31.7413
-0.0006;0.0084;-0.0013;0.0086;31.7425
-0.0001;0.0085;-0.0012;0.0086;31.7438
-0.0005;0.0092;0.0009;0.0092;31.7451
-0.0022;0.0088;0.0032;0.0096;31.7464
-0.0018;0.0083;0.0038;0.0093;31.7477
-0.0002;0.0057;0.0037;0.0068;31.7495
0.0001;0.0043;0.0037;0.0056;31.7509
0.0002;0.0044;0.0044;0.0062;31.7522
-0.0023;0.0050;0.0054;0.0077;31.7535
-0.0029;0.0051;0.0046;0.0075;31.7551
-0.0022;0.0040;0.0034;0.0057;31.7564
-0.0016;0.0045;0.0033;0.0058;31.7577
-0.0018;0.0046;0.0023;0.0055;31.7591
-0.0017;0.0043;0.0023;0.0052;31.7603
-0.0018;0.0043;0.0026;0.0053;31.7616
-0.0016;0.0049;0.0024;0.0057;31.7629
-0.0009;0.0059;0.0012;0.0060;31.7642
-0.0012;0.0044;0.0009;0.0046;31.7654
-0.0012;0.0032;0.0018;0.0039;31.7667
-0.0006;0.0033;0.0021;0.0039;31.7681
0.0004;0.0032;0.0032;0.0045;31.7695
0.0010;0.0034;0.0020;0.0041;31.7707
0.0020;0.0045;0.0018;0.0053;31.7720
-0.0015;0.0070;0.0020;0.0074;31.7733
-0.0028;0.0072;0.0021;0.0080;31.7745
-0.0032;0.0072;0.0028;0.0084;31.7758
-0.0013;0.0078;0.0011;0.0080;31.7772
-0.0016;0.0079;0.0010;0.0082;31.7787
-0.0023;0.0076;-0.0006;0.0079;31.7801
-0.0012;0.0073;-0.0013;0.0075;31.7814
-0.0005;0.0068;-0.0007;0.0069;31.7827
-0.0002;0.0062;-0.0002;0.0062;31.7840
0.0000;0.0054;0.0022;0.0058;31.7853
0.0004;0.0061;0.0032;0.0069;31.7866
0.0004;0.0065;0.0033;0.0073;31.7880
-0.0015;0.0066;0.0023;0.0071;31.7892
-0.0021;0.0073;0.0020;0.0079;31.7905
-0.0026;0.0073;0.0012;0.0079;31.7918
-0.0023;0.0063;0.0002;0.0068;31.7931
-0.0009;0.0074;-0.0002;0.0075;31.7944
-0.0013;0.0083;-0.0005;0.0084;31.7956
-0.0020;0.0085;-0.0009;0.0088;31.7969
-0.0015;0.0083;-0.0027;0.0088;31.7983
-0.0020;0.0079;-0.0018;0.0084;31.7996
-0.0018;0.0077;-0.0013;0.0080;31.8008
-0.0020;0.0078;-0.0017;0.0082;31.8021
-0.0021;0.0077;-0.0017;0.0081;31.8034
