ax(g);ay(g);az(g);accRMS(g);time(s)
0.0050;-0.0299;0.9373;0.9377;0.0000
0.0056;-0.0287;0.9364;0.9369;0.5033
0.0049;-0.0297;0.9360;0.9365;0.7550
0.0055;-0.0291;0.9373;0.9377;1.0070
0.0063;-0.0284;0.9366;0.9371;1.2589
0.0044;-0.0284;0.9385;0.9389;1.5108
0.0043;-0.0292;0.9354;0.9359;1.7627
0.0055;-0.0293;0.9366;0.9371;2.0146
0.0051;-0.0293;0.9355;0.9360;2.2665
0.0052;-0.0295;0.9365;0.9370;2.5185
0.0046;-0.0283;0.9370;0.9375;2.7704
0.0045;-0.0286;0.9359;0.9364;3.0223
0.0046;-0.0288;0.9369;0.9373;3.2742
0.0063;-0.0288;0.9358;0.9363;3.5262
0.0051;-0.0287;0.9359;0.9364;3.7782
0.0060;-0.0272;0.9360;0.9365;4.0301
0.0050;-0.0293;0.9379;0.9383;4.2821
0.0050;-0.0287;0.9362;0.9366;4.5341
0.0045;-0.0284;0.9360;0.9365;4.7861
0.0060;-0.0295;0.9385;0.9390;5.0380
0.0052;-0.0291;0.9369;0.9374;5.2901
0.0048;-0.0293;0.9371;0.9376;5.5420
0.0045;-0.0283;0.9369;0.9373;5.7940
0.0038;-0.0288;0.9371;0.9376;6.0460
0.0050;-0.0288;0.9373;0.9377;6.2980
0.0046;-0.0298;0.9366;0.9371;6.5499
0.0056;-0.0289;0.9364;0.9369;6.8019
0.0046;-0.0295;0.9373;0.9377;7.0539
0.0039;-0.0295;0.9368;0.9372;7.3058
0.0051;-0.0291;0.9377;0.9382;7.5578
0.0050;-0.0286;0.9375;0.9379;7.8097
0.0049;-0.0295;0.9370;0.9375;8.0617
0.0051;-0.0293;0.9374;0.9378;8.3137
0.0054;-0.0288;0.9359;0.9364;8.5657
0.0045;-0.0288;0.9364;0.9369;8.8176
0.0055;-0.0287;0.9369;0.9373;9.0696
0.0049;-0.0288;0.9365;0.9370;9.3216
