ax(g);ay(g);az(g);accRMS(g);time(s)
0.0054;-0.0289;0.9371;0.9376;0.0000
0.0044;-0.0289;0.9377;0.9382;0.5032
0.0051;-0.0292;0.9366;0.9371;0.7550
0.0046;-0.0289;0.9360;0.9365;1.0069
0.0050;-0.0291;0.9363;0.9367;1.2590
0.0049;-0.0289;0.9349;0.9354;1.5110
0.0056;-0.0287;0.9373;0.9377;1.7630
0.0048;-0.0287;0.9363;0.9367;2.0150
0.0052;-0.0288;0.9358;0.9362;2.2671
0.0040;-0.0281;0.9369;0.9373;2.5191
0.0057;-0.0286;0.9360;0.9365;2.7711
0.0049;-0.0293;0.9353;0.9358;3.0229
0.0044;-0.0291;0.9379;0.9383;3.2749
0.0049;-0.0294;0.9379;0.9383;3.5268
0.0051;-0.0287;0.9353;0.9358;3.7789
0.0057;-0.0294;0.9364;0.9369;4.0309
0.0050;-0.0294;0.9357;0.9361;4.2829
0.0043;-0.0292;0.9362;0.9366;4.5350
0.0051;-0.0286;0.9364;0.9369;4.7870
0.0052;-0.0294;0.9377;0.9382;5.0391
0.0051;-0.0280;0.9362;0.9366;5.2911
0.0050;-0.0292;0.9366;0.9371;5.5431
0.0055;-0.0289;0.9365;0.9370;5.7951
0.0048;-0.0297;0.9358;0.9363;6.0469
0.0051;-0.0280;0.9364;0.9368;6.2989
0.0052;-0.0287;0.9375;0.9380;6.5508
0.0054;-0.0283;0.9362;0.9366;6.8028
0.0044;-0.0289;0.9371;0.9376;7.0549
0.0037;-0.0291;0.9365;0.9370;7.3069
0.0057;-0.0291;0.9374;0.9378;7.5589
0.0052;-0.0291;0.9371;0.9376;7.8109
0.0051;-0.0291;0.9358;0.9363;8.0630
0.0049;-0.0291;0.9355;0.9360;8.3151
0.0049;-0.0286;0.9377;0.9382;8.5677
0.0055;-0.0289;0.9375;0.9380;8.8197
0.0052;-0.0300;0.9359;0.9364;9.0717
0.0048;-0.0299;0.9373;0.9377;9.3237
0.0055;-0.0292;0.9375;0.9380;9.5759
0.0050;-0.0287;0.9360;0.9365;9.8279
0.0046;-0.0295;0.9359;0.9364;10.0796
0.0055;-0.0286;0.9377;0.9382;10.3315
0.0040;-0.0288;0.9374;0.9378;10.5835
0.0042;-0.0283;0.9360;0.9365;10.8356
0.0050;-0.0289;0.9365;0.9370;11.0876
0.0052;-0.0289;0.9364;0.9369;11.3397
0.0055;-0.0289;0.9366;0.9371;11.5917
0.0048;-0.0288;0.9357;0.9361;11.8437
0.0054;-0.0287;0.9373;0.9377;12.0957
0.0050;-0.0297;0.9376;0.9381;12.3478
0.0052;-0.0281;0.9369;0.9373;12.5998
0.0052;-0.0289;0.9369;0.9374;12.8516
0.0056;-0.0284;0.9353;0.9358;13.1034
0.0044;-0.0295;0.9380;0.9385;13.3555
0.0051;-0.0289;0.9375;0.9380;13.6076
0.0046;-0.0297;0.9359;0.9364;13.8597
0.0051;-0.0289;0.9362;0.9366;14.1118
0.0057;-0.0282;0.9374;0.9378;14.3639
0.0057;-0.0293;0.9355;0.9360;14.6159
0.0056;-0.0289;0.9370;0.9375;14.8680
0.0055;-0.0289;0.9371;0.9376;15.1201
0.0049;-0.0292;0.9368;0.9372;15.3722
0.0056;-0.0284;0.9364;0.9369;15.6242
0.0042;-0.0291;0.9379;0.9383;15.8763
0.0045;-0.0293;0.9360;0.9365;16.1283
0.0048;-0.0284;0.9364;0.9368;16.3803
0.0057;-0.0286;0.9373;0.9377;16.6323
0.0039;-0.0291;0.9365;0.9370;16.8842
0.0045;-0.0294;0.9364;0.9369;17.1362
0.0056;-0.0281;0.9346;0.9350;17.3882
0.0044;-0.0288;0.9366;0.9371;17.6402
0.0049;-0.0293;0.9364;0.9369;17.8921
0.0059;-0.0286;0.9365;0.9370;18.1441
0.0049;-0.0292;0.9366;0.9371;18.3961
0.0042;-0.0295;0.9364;0.9369;18.6481
0.0050;-0.0283;0.9364;0.9368;18.9001
0.0048;-0.0293;0.9371;0.9376;19.1522
0.0040;-0.0282;0.9362;0.9366;19.4041
0.0059;-0.0287;0.9376;0.9381;19.6560
0.0052;-0.0292;0.9380;0.9385;19.9080
0.0048;-0.0293;0.9369;0.9374;20.1600
0.0050;-0.0283;0.9384;0.9388;20.4120
0.0055;-0.0289;0.9362;0.9366;20.6640
0.0048;-0.0295;0.9370;0.9375;20.9160
0.0045;-0.0291;0.9375;0.9380;21.1681
0.0044;-0.0300;0.9358;0.9363;21.4201
0.0051;-0.0294;0.9371;0.9376;21.6722
0.0055;-0.0298;0.9354;0.9359;21.9242
0.0051;-0.0294;0.9363;0.9368;22.1763
0.0059;-0.0286;0.9365;0.9370;22.4283
0.0051;-0.0291;0.9376;0.9381;22.6801
0.0049;-0.0282;0.9364;0.9368;22.9317
0.0052;-0.0292;0.9366;0.9371;23.1833
0.0052;-0.0289;0.9363;0.9367;23.4351
0.0048;-0.0297;0.9368;0.9372;23.6871
0.0049;-0.0293;0.9366;0.9371;23.9391
0.0052;-0.0288;0.9354;0.9359;24.1912
0.0052;-0.0294;0.9358;0.9363;24.4433
0.0057;-0.0287;0.9374;0.9378;24.6954
0.0044;-0.0295;0.9377;0.9382;24.9474
0.0039;-0.0294;0.9362;0.9366;25.1992
0.0052;-0.0286;0.9368;0.9372;25.4508
0.0056;-0.0291;0.9375;0.9380;25.7024
0.0043;-0.0292;0.9366;0.9371;25.9541
0.0049;-0.0284;0.9370;0.9375;26.2058
0.0045;-0.0289;0.9359;0.9364;26.4575
0.0048;-0.0291;0.9370;0.9375;26.7093
0.0042;-0.0291;0.9364;0.9369;26.9612
0.0046;-0.0294;0.9353;0.9358;27.2133
0.0051;-0.0297;0.9362;0.9366;27.4653
0.0059;-0.0297;0.9363;0.9368;27.7171
0.0049;-0.0287;0.9373;0.9377;27.9688
0.0052;-0.0278;0.9374;0.9378;28.2207
0.0056;-0.0293;0.9375;0.9380;28.4726
0.0056;-0.0288;0.9370;0.9375;28.7246
0.0050;-0.0287;0.9363;0.9367;28.9764
0.0051;-0.0297;0.9363;0.9368;29.2281
0.0060;-0.0282;0.9364;0.9368;29.4799
0.0059;-0.0287;0.9366;0.9371;29.7318
0.0054;-0.0291;0.9370;0.9375;29.9836
0.0050;-0.0284;0.9360;0.9365;30.2352
0.0059;-0.0295;0.9362;0.9366;30.4869
0.0049;-0.0287;0.9364;0.9369;30.7386
0.0057;-0.0291;0.9373;0.9377;30.9903
0.0046;-0.0283;0.9375;0.9379;31.2423
0.0045;-0.0289;0.9369;0.9373;31.4942
0.0046;-0.0292;0.9351;0.9355;31.7461
0.0056;-0.0297;0.9377;0.9382;31.9979
0.0051;-0.0291;0.9375;0.9380;32.2495
0.0050;-0.0284;0.9375;0.9379;32.5012
0.0039;-0.0292;0.9370;0.9375;32.7528
0.0049;-0.0287;0.9359;0.9364;33.0045
0.0046;-0.0295;0.9363;0.9368;33.2562
0.0054;-0.0291;0.9364;0.9369;33.5079
0.0045;-0.0292;0.9366;0.9371;33.7599
0.0057;-0.0286;0.9362;0.9366;34.0119
0.0049;-0.0284;0.9363;0.9367;34.2639
0.0054;-0.0293;0.9382;0.9387;34.5158
0.0051;-0.0288;0.9374;0.9378;34.7677
0.0048;-0.0293;0.9371;0.9376;35.0198
0.0051;-0.0289;0.9351;0.9355;35.2718
0.0050;-0.0282;0.9374;0.9378;35.5239
0.0044;-0.0291;0.9363;0.9367;35.7759
0.0054;-0.0288;0.9365;0.9370;36.0279
0.0051;-0.0289;0.9385;0.9389;36.2798
0.0054;-0.0289;0.9386;0.9391;36.5319
0.0052;-0.0298;0.9363;0.9368;36.7838
0.0042;-0.0284;0.9365;0.9370;37.0357
0.0048;-0.0298;0.9370;0.9375;37.2874
0.0049;-0.0293;0.9358;0.9363;37.5391
0.0050;-0.0300;0.9362;0.9367;37.7908
0.0049;-0.0298;0.9385;0.9390;38.0426
0.0042;-0.0291;0.9355;0.9360;38.2943
0.0052;-0.0277;0.9358;0.9362;38.5461
0.0054;-0.0292;0.9354;0.9359;38.7981
0.0045;-0.0291;0.9364;0.9369;39.0500
0.0055;-0.0292;0.9368;0.9372;39.3021
0.0051;-0.0286;0.9353;0.9358;39.5540
0.0065;-0.0286;0.9373;0.9377;39.8060
0.0057;-0.0288;0.9364;0.9369;40.0581
0.0046;-0.0297;0.9374;0.9379;40.3102
0.0052;-0.0295;0.9370;0.9375;40.5622
0.0046;-0.0289;0.9362;0.9366;40.8142
0.0046;-0.0288;0.9373;0.9377;41.0661
0.0049;-0.0281;0.9364;0.9368;41.3181
0.0049;-0.0295;0.9373;0.9377;41.5701
0.0055;-0.0288;0.9376;0.9381;41.8220
0.0050;-0.0293;0.9364;0.9369;42.0736
0.0054;-0.0280;0.9376;0.9381;42.3254
0.0057;-0.0299;0.9363;0.9368;42.5772
0.0043;-0.0281;0.9377;0.9382;42.8293
0.0040;-0.0292;0.9382;0.9387;43.0814
