ax(g);ay(g);az(g);accRMS(g);time(s)
0.0088;-0.0282;0.9257;0.9261;0.0000
0.0098;-0.0286;0.9261;0.9266;0.5467
0.0099;-0.0269;0.9252;0.9256;0.8018
0.0100;-0.0284;0.9246;0.9251;1.0567
0.0089;-0.0283;0.9253;0.9258;1.3117
0.0098;-0.0286;0.9268;0.9272;1.5666
0.0087;-0.0276;0.9248;0.9253;1.8216
0.0112;-0.0293;0.9254;0.9259;2.0766
0.0098;-0.0277;0.9250;0.9255;2.3315
0.0116;-0.0269;0.9268;0.9272;2.5865
0.0100;-0.0281;0.9250;0.9255;2.8416
0.0101;-0.0273;0.9249;0.9254;3.1019
0.0089;-0.0276;0.9253;0.9257;3.3570
0.0098;-0.0286;0.9264;0.9269;3.6122
0.0065;-0.0251;0.9249;0.9253;3.8675
0.0087;-0.0284;0.9257;0.9261;4.1227
0.0090;-0.0255;0.9240;0.9243;4.3780
0.0096;-0.0266;0.9233;0.9238;4.6333
0.0100;-0.0271;0.9257;0.9261;4.8885
0.0105;-0.0278;0.9243;0.9248;5.1437
0.0098;-0.0282;0.9243;0.9248;5.3971
0.0112;-0.0293;0.9250;0.9256;5.6504
0.0104;-0.0284;0.9260;0.9265;5.9039
0.0088;-0.0278;0.9259;0.9264;6.1592
0.0107;-0.0277;0.9250;0.9255;6.4144
0.0120;-0.0266;0.9255;0.9260;6.6697
0.0109;-0.0275;0.9253;0.9258;6.9249
0.0107;-0.0272;0.9249;0.9254;7.1801
0.0098;-0.0275;0.9259;0.9264;7.4334
0.0099;-0.0282;0.9255;0.9260;7.6867
0.0088;-0.0266;0.9258;0.9262;7.9403
0.0103;-0.0270;0.9250;0.9255;8.1958
0.0110;-0.0272;0.9244;0.9249;8.4504
0.0105;-0.0291;0.9260;0.9265;8.7039
0.0103;-0.0294;0.9261;0.9267;8.9575
0.0098;-0.0270;0.9243;0.9248;9.2128
0.0096;-0.0267;0.9269;0.9273;9.4673
0.0094;-0.0278;0.9248;0.9253;9.7208
0.0098;-0.0275;0.9261;0.9266;9.9744
0.0107;-0.0261;0.9236;0.9240;10.2296
0.0106;-0.0281;0.9252;0.9257;10.4849
0.0117;-0.0277;0.9260;0.9265;10.7404
0.0093;-0.0275;0.9253;0.9257;10.9956
0.0088;-0.0273;0.9255;0.9260;11.2495
0.0098;-0.0283;0.9248;0.9253;11.5030
0.0089;-0.0282;0.9248;0.9253;11.7568
0.0107;-0.0277;0.9250;0.9255;12.0123
0.0100;-0.0280;0.9255;0.9260;12.2678
0.0104;-0.0277;0.9255;0.9260;12.5230
0.0089;-0.0277;0.9255;0.9260;12.7765
0.0095;-0.0282;0.9248;0.9253;13.0299
0.0090;-0.0291;0.9255;0.9260;13.2943
0.0101;-0.0277;0.9242;0.9247;13.5499
0.0089;-0.0275;0.9240;0.9244;13.8054
0.0095;-0.0278;0.9248;0.9253;14.0609
0.0103;-0.0270;0.9263;0.9267;14.3162
0.0101;-0.0273;0.9261;0.9266;14.5699
0.0100;-0.0284;0.9258;0.9263;14.8234
0.0087;-0.0282;0.9263;0.9267;15.0771
0.0101;-0.0286;0.9272;0.9277;15.3327
0.0107;-0.0287;0.9258;0.9263;15.5862
0.0099;-0.0276;0.9265;0.9270;15.8397
0.0100;-0.0270;0.9250;0.9255;16.0935
0.0101;-0.0272;0.9248;0.9253;16.3490
0.0106;-0.0277;0.9264;0.9269;16.6044
0.0099;-0.0277;0.9253;0.9258;16.8598
0.0094;-0.0281;0.9248;0.9253;17.1153
0.0110;-0.0291;0.9252;0.9257;17.3707
0.0115;-0.0278;0.9249;0.9254;17.6262
0.0101;-0.0270;0.9253;0.9257;17.8816
0.0094;-0.0272;0.9252;0.9256;18.1371
0.0096;-0.0280;0.9242;0.9247;18.3940
0.0094;-0.0272;0.9246;0.9250;18.6477
0.0093;-0.0283;0.9248;0.9253;18.9014
0.0109;-0.0293;0.9252;0.9257;19.1551
0.0098;-0.0280;0.9243;0.9248;19.4095
0.0085;-0.0278;0.9260;0.9265;19.6632
0.0096;-0.0283;0.9263;0.9268;19.9167
0.0084;-0.0280;0.9238;0.9243;20.1704
0.0093;-0.0267;0.9255;0.9260;20.4242
0.0098;-0.0271;0.9248;0.9253;20.6825
0.0094;-0.0276;0.9257;0.9261;20.9360
0.0100;-0.0283;0.9264;0.9269;21.1898
0.0098;-0.0297;0.9253;0.9258;21.4453
0.0096;-0.0271;0.9249;0.9254;21.7022
0.0104;-0.0265;0.9237;0.9241;21.9558
0.0094;-0.0282;0.9265;0.9270;22.2094
0.0099;-0.0272;0.9249;0.9254;22.4633
0.0090;-0.0284;0.9265;0.9270;22.7190
0.0085;-0.0277;0.9261;0.9266;22.9745
0.0092;-0.0280;0.9253;0.9258;23.2298
0.0093;-0.0277;0.9265;0.9270;23.4832
0.0109;-0.0281;0.9260;0.9265;23.7369
0.0094;-0.0276;0.9261;0.9266;23.9924
0.0104;-0.0275;0.9243;0.9248;24.2458
0.0092;-0.0271;0.9263;0.9267;24.4993
0.0095;-0.0281;0.9264;0.9269;24.7530
0.0101;-0.0284;0.9259;0.9264;25.0083
0.0092;-0.0283;0.9257;0.9261;25.2618
0.0104;-0.0288;0.9240;0.9245;25.5155
0.0107;-0.0281;0.9259;0.9264;25.7692
0.0090;-0.0281;0.9249;0.9254;26.0246
0.0098;-0.0280;0.9255;0.9260;26.2781
0.0101;-0.0281;0.9250;0.9255;26.5316
0.0093;-0.0269;0.9249;0.9254;26.7853
0.0105;-0.0282;0.9254;0.9259;27.0390
0.0098;-0.0276;0.9232;0.9237;27.2927
0.0095;-0.0281;0.9244;0.9249;27.5463
0.0103;-0.0280;0.9248;0.9253;27.8076
0.0101;-0.0276;0.9257;0.9261;28.0616
0.0092;-0.0280;0.9263;0.9267;28.3153
0.0099;-0.0283;0.9261;0.9266;28.6187
0.0082;-0.0272;0.9266;0.9271;28.8735
0.0092;-0.0286;0.9244;0.9249;29.1273
0.0103;-0.0272;0.9237;0.9242;29.3812
0.0100;-0.0281;0.9265;0.9270;29.6358
0.0098;-0.0283;0.9238;0.9243;29.8912
0.0112;-0.0282;0.9252;0.9257;30.1491
0.0107;-0.0283;0.9257;0.9262;30.4137
0.0092;-0.0291;0.9264;0.9269;30.6678
0.0092;-0.0275;0.9255;0.9260;30.9236
0.0090;-0.0277;0.9270;0.9275;31.1799
0.0093;-0.0271;0.9254;0.9259;31.4357
0.0096;-0.0281;0.9253;0.9258;31.6916
0.0090;-0.0271;0.9253;0.9257;31.9476
0.0100;-0.0270;0.9247;0.9251;32.2036
0.0100;-0.0278;0.9255;0.9260;32.4595
0.0106;-0.0286;0.9254;0.9259;32.7153
0.0085;-0.0289;0.9264;0.9269;32.9710
0.0089;-0.0277;0.9266;0.9271;33.2249
0.0096;-0.0275;0.9258;0.9262;33.4785
0.0095;-0.0275;0.9257;0.9261;33.7359
0.0089;-0.0266;0.9258;0.9262;34.2477
0.0095;-0.0281;0.9247;0.9252;34.5020
0.0093;-0.0278;0.9247;0.9251;34.7561
0.0096;-0.0288;0.9248;0.9253;35.0104
0.0107;-0.0293;0.9259;0.9264;35.2661
0.0093;-0.0282;0.9255;0.9260;35.5216
0.0089;-0.0277;0.9257;0.9261;35.7775
0.0104;-0.0265;0.9237;0.9241;36.0333
0.0093;-0.0273;0.9250;0.9255;36.2892
0.0106;-0.0266;0.9274;0.9278;36.5452
0.0092;-0.0271;0.9259;0.9263;36.8012
0.0087;-0.0277;0.9247;0.9251;37.0570
0.0105;-0.0273;0.9257;0.9261;37.3131
0.0099;-0.0276;0.9242;0.9247;37.5699
0.0099;-0.0283;0.9250;0.9255;37.8275
0.0103;-0.0281;0.9252;0.9257;38.0822
0.0098;-0.0275;0.9268;0.9272;38.3395
0.0087;-0.0275;0.9253;0.9257;38.5950
0.0093;-0.0287;0.9255;0.9260;38.8487
0.0095;-0.0291;0.9265;0.9270;39.1023
0.0104;-0.0283;0.9259;0.9264;39.3560
0.0095;-0.0286;0.9249;0.9254;39.6116
0.0104;-0.0292;0.9259;0.9264;40.0592
0.0099;-0.0280;0.9247;0.9252;40.3134
0.0094;-0.0287;0.9268;0.9272;40.8108
0.0096;-0.0276;0.9266;0.9271;41.0886
0.0104;-0.0267;0.9268;0.9272;41.5314
0.0087;-0.0266;0.9254;0.9258;42.0007
0.0095;-0.0272;0.9249;0.9254;42.4425
0.0098;-0.0272;0.9253;0.9257;42.8515
0.0089;-0.0275;0.9259;0.9264;43.1416
0.0095;-0.0278;0.9269;0.9273;43.4442
0.0098;-0.0276;0.9249;0.9254;43.6976
0.0090;-0.0283;0.9252;0.9256;43.9986
0.0101;-0.0286;0.9253;0.9258;44.2771
0.0093;-0.0277;0.9259;0.9264;44.6291
0.0100;-0.0278;0.9250;0.9255;44.9439
0.0103;-0.0294;0.9246;0.9251;45.1992
0.0092;-0.0280;0.9259;0.9264;45.4868
0.0101;-0.0264;0.9241;0.9245;45.7965
0.0092;-0.0276;0.9270;0.9275;46.0538
0.0093;-0.0270;0.9235;0.9239;46.3111
0.0099;-0.0272;0.9259;0.9264;46.5679
0.0084;-0.0305;0.9283;0.9289;46.8247
0.0117;-0.0271;0.9240;0.9244;47.0813
0.0100;-0.0299;0.9261;0.9267;47.3363
0.0092;-0.0278;0.9248;0.9253;47.5898
0.0104;-0.0262;0.9265;0.9269;47.8435
0.0095;-0.0255;0.9240;0.9244;48.0971
0.0105;-0.0253;0.9249;0.9253;48.3506
0.0101;-0.0272;0.9252;0.9256;48.6043
0.0111;-0.0262;0.9255;0.9260;48.8636
0.0103;-0.0269;0.9254;0.9259;49.1207
0.0093;-0.0272;0.9265;0.9270;49.3775
0.0107;-0.0286;0.9270;0.9275;49.6313
0.0101;-0.0293;0.9254;0.9259;49.8849
0.0106;-0.0284;0.9250;0.9255;50.1878
0.0104;-0.0278;0.9255;0.9260;50.4448
0.0118;-0.0276;0.9254;0.9259;50.6984
0.0104;-0.0262;0.9249;0.9254;50.9520
0.0092;-0.0286;0.9253;0.9258;51.2086
0.0099;-0.0295;0.9259;0.9264;51.4654
0.0105;-0.0275;0.9252;0.9256;51.7191
0.0109;-0.0284;0.9254;0.9259;51.9768
-0.0566;0.2036;0.9260;0.9498;52.3748
0.0031;0.0093;0.9296;0.9296;52.6429
0.2468;0.3726;0.9314;1.0331;52.9620
0.0438;-0.0275;0.9703;0.9717;53.2590
-0.1227;-0.6732;0.8954;1.1269;53.5417
-0.1146;-0.7074;0.9922;1.2239;53.8419
-0.0862;-0.0667;0.9557;0.9619;54.0986
0.1187;0.5767;0.9454;1.1138;54.3555
0.1608;0.6534;0.8918;1.1172;54.6151
0.1083;0.1460;1.0240;1.0401;54.8699
-0.0782;-0.3517;0.9484;1.0145;55.1586
-0.1556;-0.5178;0.9021;1.0517;55.4193
0.1295;0.1243;0.9281;0.9453;55.7779
0.1393;-0.3586;0.9364;1.0124;56.0389
-0.3120;-0.3325;0.9299;1.0357;56.3866
0.2480;0.3878;0.9391;1.0459;56.6467
-0.3014;-0.3336;0.9252;1.0286;57.0016
0.0193;0.3647;0.9346;1.0034;57.2597
0.0157;-0.0022;0.9268;0.9269;57.5677
0.0186;-0.0239;0.9247;0.9252;57.8601
0.0186;-0.0248;0.9259;0.9264;58.1139
0.0178;-0.0240;0.9261;0.9266;58.3676
0.0206;-0.0251;0.9263;0.9268;58.6213
0.0186;-0.0253;0.9263;0.9268;58.8748
0.0187;-0.0262;0.9274;0.9279;59.1285
0.0173;-0.0253;0.9249;0.9254;59.3823
0.0184;-0.0244;0.9261;0.9267;59.6359
0.0181;-0.0255;0.9248;0.9253;59.8898
