ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1102;-0.3976;9.8435;9.8522;131.2923
-0.1126;-0.4072;9.8543;9.8634;131.5459
-0.1066;-0.4012;9.8375;9.8463;131.7995
-0.1114;-0.3952;9.8495;9.8581;132.0621
-0.1126;-0.3904;9.8495;9.8579;132.3177
-0.0994;-0.3928;9.8471;9.8555;132.5737
-0.1114;-0.3976;9.8495;9.8582;132.8294
-0.1090;-0.4060;9.8543;9.8633;133.0849
-0.1018;-0.3976;9.8375;9.8461;133.3404
-0.0970;-0.3952;9.8627;9.8711;133.5957
-0.1006;-0.3952;9.8471;9.8556;133.8513
-0.0970;-0.3988;9.8435;9.8521;134.1068
-0.1102;-0.4000;9.8316;9.8403;134.3623
-0.1186;-0.3976;9.8555;9.8642;134.6178
-0.1126;-0.4036;9.8555;9.8644;134.8733
-0.1054;-0.3952;9.8399;9.8484;135.1288
-0.0934;-0.4024;9.8423;9.8510;135.3853
-0.1018;-0.3964;9.8435;9.8520;135.6436
-0.1102;-0.4000;9.8507;9.8594;135.8992
-0.1066;-0.3916;9.8399;9.8483;136.1549
-0.1006;-0.3892;9.8495;9.8577;136.4104
-0.1006;-0.3976;9.8459;9.8545;136.6661
-0.1006;-0.4048;9.8340;9.8428;136.9219
-0.1198;-0.3904;9.8435;9.8520;137.1778
-0.0982;-0.3976;9.8399;9.8485;137.4333
-0.1078;-0.3976;9.8543;9.8629;137.6888
-0.1090;-0.3952;9.8495;9.8580;137.9444
-0.1114;-0.3988;9.8555;9.8642;138.2000
-0.1114;-0.3952;9.8519;9.8605;138.4556
-0.1042;-0.4048;9.8543;9.8632;138.7112
-0.1054;-0.3988;9.8459;9.8546;138.9668
-0.0994;-0.3988;9.8399;9.8485;139.2223
-0.1030;-0.4036;9.8591;9.8679;139.4892
-0.1042;-0.4048;9.8459;9.8548;139.7447
-0.1054;-0.4072;9.8495;9.8585;140.0002
-0.1030;-0.4024;9.8567;9.8654;140.2555
-0.1126;-0.3928;9.8387;9.8472;140.5112
-0.1030;-0.4000;9.8555;9.8642;140.7679
-0.1006;-0.4036;9.8495;9.8583;141.0236
-0.1078;-0.3976;9.8531;9.8617;141.2792
-0.1042;-0.4024;9.8435;9.8523;141.5349
-0.1042;-0.4000;9.8411;9.8498;141.7906
-0.1066;-0.3892;9.8471;9.8554;142.0461
-0.1102;-0.3904;9.8567;9.8650;142.3014
-0.1066;-0.4012;9.8447;9.8535;142.5568
-0.1042;-0.4024;9.8423;9.8511;142.8124
-0.0970;-0.4048;9.8579;9.8667;143.0681
-0.1006;-0.3832;9.8459;9.8539;143.3253
-0.1018;-0.3940;9.8519;9.8603;143.5807
-0.1030;-0.4012;9.8411;9.8498;143.8361
-0.1054;-0.3892;9.8435;9.8518;144.0917
-0.0970;-0.4012;9.8495;9.8582;144.3474
-0.0970;-0.3940;9.8435;9.8519;144.6030
-0.1030;-0.3964;9.8531;9.8616;144.8586
-0.1102;-0.4036;9.8447;9.8536;145.1140
-0.0946;-0.3976;9.8340;9.8424;145.3696
-0.1006;-0.4024;9.8459;9.8547;145.6252
-0.1042;-0.4048;9.8399;9.8488;145.8806
-0.1066;-0.3928;9.8567;9.8651;146.1361
-0.1126;-0.4012;9.8363;9.8452;146.3918
-0.1054;-0.4000;9.8591;9.8678;146.6476
-0.1102;-0.4000;9.8459;9.8547;146.9031
-0.1066;-0.3928;9.8387;9.8472;147.1587
-0.1018;-0.4024;9.8399;9.8487;147.4145
-0.1078;-0.4000;9.8615;9.8702;147.6717
-0.0982;-0.4048;9.8567;9.8655;147.9299
-0.1126;-0.4000;9.8447;9.8535;148.1856
-0.1006;-0.3892;9.8256;9.8338;148.4414
-0.1078;-0.4060;9.8387;9.8477;148.6974
-0.1090;-0.4000;9.8447;9.8535;148.9532
-0.1042;-0.3988;9.8567;9.8653;149.2089
-0.1018;-0.3952;9.8555;9.8640;149.4644
-0.1078;-0.3952;9.8507;9.8592;149.7197
-0.1114;-0.3988;9.8447;9.8534;149.9754
-0.1018;-0.4048;9.8495;9.8584;150.2309
-0.1006;-0.4000;9.8495;9.8581;150.4863
-0.1042;-0.3916;9.8651;9.8734;150.7415
-0.1030;-0.4012;9.8363;9.8451;150.9952
-0.1078;-0.3976;9.8351;9.8438;151.2489
-0.0994;-0.4024;9.8459;9.8546;151.5045
-0.1126;-0.4024;9.8567;9.8656;151.7596
-0.0982;-0.3880;9.8483;9.8564;152.0136
-0.0946;-0.4000;9.8675;9.8760;152.2688
-0.1102;-0.3940;9.8435;9.8520;152.5223
-0.1090;-0.3928;9.8471;9.8556;152.7758
-0.1042;-0.4024;9.8375;9.8463;153.0294
-0.1102;-0.3988;9.8459;9.8546;153.2848
-0.1078;-0.4036;9.8435;9.8524;153.5403
-0.1162;-0.3988;9.8591;9.8678;153.7956
-0.1078;-0.3940;9.8375;9.8460;154.0509
-0.1042;-0.3964;9.8399;9.8485;154.3063
-0.0994;-0.4012;9.8531;9.8618;154.5616
-0.1138;-0.4000;9.8423;9.8511;154.8170
-0.0994;-0.3964;9.8387;9.8472;155.0723
-0.0946;-0.3988;9.8495;9.8580;155.3276
-0.0994;-0.3904;9.8627;9.8709;155.5829
-0.1102;-0.3988;9.8555;9.8642;155.8383
-0.1066;-0.3964;9.8555;9.8640;156.0936
-0.1174;-0.3976;9.8423;9.8511;156.3490
-0.1042;-0.3952;9.8411;9.8496;156.6044
-0.1054;-0.3952;9.8375;9.8460;156.8597
-0.1102;-0.3988;9.8519;9.8606;157.1150
-0.1042;-0.4024;9.8387;9.8475;157.3703
-0.1066;-0.4000;9.8507;9.8594;157.6258
-0.1042;-0.4036;9.8495;9.8583;157.8816
-0.1042;-0.4072;9.8531;9.8621;158.1350
-0.1042;-0.3904;9.8375;9.8458;158.3886
-0.1030;-0.3988;9.8363;9.8450;158.6440
-0.1042;-0.3976;9.8435;9.8521;159.1543
-0.1018;-0.3988;9.8423;9.8509;159.4096
-0.1114;-0.4000;9.8543;9.8631;159.6648
-0.0994;-0.3964;9.8495;9.8580;159.9203
-0.1054;-0.4048;9.8483;9.8572;160.1758
-0.1066;-0.3988;9.8447;9.8534;160.4292
-0.0970;-0.3940;9.8495;9.8579;160.6827
-0.1066;-0.4012;9.8519;9.8607;160.9363
-0.0982;-0.3988;9.8447;9.8533;161.1916
-0.1078;-0.4012;9.8411;9.8499;161.4471
-0.1018;-0.4024;9.8459;9.8547;161.7027
-0.1042;-0.3940;9.8483;9.8567;161.9581
-0.1066;-0.3988;9.8579;9.8665;162.2136
-0.1018;-0.3952;9.8519;9.8604;162.4690
-0.1030;-0.3916;9.8543;9.8626;162.7252
-0.1138;-0.3988;9.8555;9.8642;162.9789
-0.1006;-0.3964;9.8519;9.8604;163.2323
-0.1078;-0.4024;9.8591;9.8679;163.4858
-0.1054;-0.3976;9.8555;9.8641;163.7393
-0.1042;-0.3964;9.8567;9.8652;163.9931
-0.1006;-0.3940;9.8651;9.8735;164.2487
-0.1018;-0.3988;9.8591;9.8677;164.5044
-0.1030;-0.3952;9.8363;9.8448;164.7597
-0.1042;-0.3964;9.8411;9.8497;165.0152
-0.1102;-0.4000;9.8447;9.8535;165.2707
-0.1090;-0.3952;9.8411;9.8497;165.5260
-0.1078;-0.3928;9.8591;9.8675;165.7813
-0.1018;-0.3988;9.8447;9.8533;166.0365
-0.1054;-0.3976;9.8471;9.8557;166.2899
-0.0958;-0.4024;9.8507;9.8594;166.5433
-0.1030;-0.4012;9.8375;9.8463;166.7969
-0.1054;-0.3976;9.8591;9.8677;167.0523
-0.1030;-0.4072;9.8411;9.8501;167.3076
-0.0994;-0.3952;9.8471;9.8556;167.5629
-0.1006;-0.3964;9.8543;9.8628;167.8183
-0.1018;-0.3952;9.8567;9.8651;168.0734
-0.1078;-0.4048;9.8567;9.8656;168.3268
-0.0982;-0.4024;9.8423;9.8510;168.5802
-0.1066;-0.3952;9.8471;9.8556;168.8341
-0.0970;-0.4000;9.8471;9.8557;169.0899
-0.1114;-0.4012;9.8495;9.8583;169.3472
-0.1042;-0.3976;9.8459;9.8545;169.6024
-0.1078;-0.4012;9.8579;9.8666;169.8559
-0.0982;-0.4000;9.8375;9.8462;170.1093
-0.1054;-0.4012;9.8579;9.8666;170.3631
-0.1078;-0.4036;9.8423;9.8512;170.6187
-0.1030;-0.3964;9.8435;9.8520;170.8741
-0.1042;-0.4036;9.8651;9.8739;171.1297
-0.1030;-0.3952;9.8471;9.8556;171.3850
-0.1090;-0.4095;9.8567;9.8658;171.6404
-0.1018;-0.4024;9.8603;9.8690;171.8959
-0.1042;-0.3928;9.8399;9.8483;172.1513
-0.0982;-0.3916;9.8423;9.8506;172.4070
-0.1042;-0.3988;9.8519;9.8605;172.6611
-0.1042;-0.4000;9.8459;9.8546;172.9147
-0.1090;-0.4000;9.8483;9.8570;173.1684
-0.1006;-0.4012;9.8363;9.8450;173.4222
-0.1030;-0.4012;9.8555;9.8642;173.6762
-0.0982;-0.4012;9.8483;9.8570;173.9302
-0.0994;-0.3892;9.8543;9.8625;174.1838
-0.1006;-0.4024;9.8495;9.8582;174.4375
-0.1138;-0.4131;9.8495;9.8588;174.6927
-0.1042;-0.3964;9.8447;9.8533;174.9461
-0.1090;-0.3976;9.8375;9.8462;175.1996
-0.0982;-0.4119;9.8531;9.8622;175.4530
-0.1006;-0.4024;9.8411;9.8499;175.7065
-0.1018;-0.4072;9.8447;9.8537;175.9599
-0.0994;-0.4024;9.8471;9.8558;176.2135
-0.1078;-0.4036;9.8292;9.8380;176.4688
-0.1126;-0.4095;9.8543;9.8635;176.7241
-0.0982;-0.4012;9.8411;9.8498;176.9796
-0.1066;-0.4012;9.8471;9.8559;177.2351
-0.1018;-0.3904;9.8531;9.8614;177.4915
-0.1126;-0.4012;9.8435;9.8523;177.7485
-0.1078;-0.3988;9.8399;9.8486;178.0058
-0.1078;-0.4000;9.8639;9.8726;178.2630
-0.1090;-0.3988;9.8423;9.8510;178.5199
-0.1006;-0.3964;9.8423;9.8508;178.7733
-0.1030;-0.4048;9.8531;9.8620;179.0268
-0.1054;-0.3988;9.8555;9.8641;179.2808
-0.1114;-0.3976;9.8615;9.8701;179.5363
-0.1018;-0.4012;9.8567;9.8654;179.7897
-0.1078;-0.3964;9.8423;9.8509;180.0431
-0.1018;-0.3976;9.8423;9.8509;180.2968
-0.1102;-0.3976;9.8603;9.8689;180.5530
-0.0958;-0.3976;9.8543;9.8628;180.8092
-0.1090;-0.4000;9.8519;9.8606;181.0631
-0.1054;-0.3976;9.8459;9.8545;181.3165
-0.1030;-0.3940;9.8435;9.8519;181.5699
-0.1006;-0.3976;9.8387;9.8473;181.8234
-0.0946;-0.4048;9.8423;9.8511;182.0768
-0.1054;-0.3988;9.8340;9.8426;182.3309
-0.1054;-0.3964;9.8507;9.8593;182.5866
-0.1054;-0.4000;9.8471;9.8558;182.8422
-0.1066;-0.3976;9.8615;9.8701;183.0980
-0.1126;-0.4107;9.8447;9.8539;183.3556
-0.1090;-0.3976;9.8471;9.8557;183.6118
-0.1126;-0.4024;9.8507;9.8596;183.8675
-0.1102;-0.4036;9.8543;9.8632;184.1229
-0.1078;-0.3952;9.8304;9.8389;184.3784
-0.1090;-0.4131;9.8507;9.8600;184.6339
-0.1030;-0.3952;9.8579;9.8664;184.8893
-0.1102;-0.3916;9.8375;9.8459;185.1449
-0.1006;-0.3940;9.8579;9.8663;185.4002
-0.1054;-0.4012;9.8471;9.8559;185.6554
-0.1042;-0.3976;9.8555;9.8641;185.9088
-0.1066;-0.4012;9.8363;9.8451;186.1622
-0.1054;-0.4036;9.8591;9.8679;186.4159
-0.1006;-0.3904;9.8447;9.8530;186.6713
-0.1018;-0.3940;9.8579;9.8663;186.9292
-0.1006;-0.3976;9.8399;9.8485;187.1852
-0.1006;-0.3928;9.8471;9.8555;187.4406
-0.1102;-0.4095;9.8375;9.8467;187.6968
-0.1090;-0.4000;9.8507;9.8594;187.9524
-0.1018;-0.3952;9.8519;9.8604;188.2085
-0.1102;-0.3952;9.8519;9.8605;188.4651
-0.1006;-0.4000;9.8423;9.8510;188.7226
-0.1078;-0.3880;9.8471;9.8554;188.9762
-0.1114;-0.4024;9.8399;9.8488;189.2298
-0.1042;-0.4060;9.8495;9.8584;189.4833
-0.1006;-0.3976;9.8435;9.8521;189.7368
-0.1030;-0.3916;9.8375;9.8459;189.9903
-0.1006;-0.3964;9.8483;9.8568;190.2440
-0.1030;-0.4000;9.8519;9.8606;190.4975
-0.1054;-0.4036;9.8543;9.8631;190.7509
-0.1042;-0.3940;9.8387;9.8472;191.0046
-0.1006;-0.4012;9.8519;9.8606;191.2582
-0.1018;-0.3976;9.8399;9.8485;191.5117
-0.1006;-0.3904;9.8651;9.8733;191.7651
-0.1018;-0.4036;9.8567;9.8655;192.0185
-0.1078;-0.4024;9.8411;9.8499;192.2722
-0.1054;-0.3952;9.8531;9.8616;192.5390
-0.1030;-0.4000;9.8471;9.8558;192.7943
-0.1102;-0.4000;9.8387;9.8475;193.0478
-0.1102;-0.3976;9.8459;9.8546;193.3012
-0.0982;-0.4012;9.8507;9.8594;193.5547
-0.1078;-0.4024;9.8507;9.8595;193.8089
-0.1114;-0.4048;9.8459;9.8549;194.0625
-0.1054;-0.3988;9.8567;9.8653;194.3163
-0.0982;-0.4012;9.8495;9.8582;194.5697
-0.1066;-0.4060;9.8459;9.8549;194.8231
-0.1066;-0.4012;9.8495;9.8583;195.0766
-0.1090;-0.3952;9.8459;9.8545;195.3300
-0.1054;-0.4060;9.8435;9.8525;195.5833
-0.0994;-0.3952;9.8591;9.8675;195.8367
-0.1030;-0.3988;9.8615;9.8701;196.0903
-0.0982;-0.4072;9.8531;9.8620;196.3455
-0.1066;-0.3940;9.8435;9.8520;196.6010
-0.1054;-0.3952;9.8531;9.8616;196.8563
-0.1150;-0.3892;9.8639;9.8722;197.1115
-0.1006;-0.3892;9.8375;9.8458;197.3669
-0.0934;-0.4048;9.8447;9.8535;197.6222
-0.1126;-0.4000;9.8387;9.8475;197.8775
-0.1054;-0.3916;9.8567;9.8650;198.1329
-0.1030;-0.4048;9.8591;9.8679;198.3882
-0.1054;-0.4036;9.8555;9.8643;198.6435
-0.1078;-0.4072;9.8495;9.8585;198.8990
-0.1030;-0.4012;9.8579;9.8666;199.1544
-0.0934;-0.4060;9.8579;9.8667;199.4097
-0.1042;-0.3964;9.8531;9.8616;199.6651
-0.1090;-0.4000;9.8328;9.8415;199.9205
-0.1042;-0.3976;9.8591;9.8677;200.1766
-0.1006;-0.4084;9.8507;9.8597;200.4319
-0.1042;-0.3916;9.8471;9.8555;200.6875
-0.1114;-0.4000;9.8507;9.8595;200.9429
-0.1078;-0.3976;9.8627;9.8713;201.1982
-0.0994;-0.3976;9.8435;9.8521;201.4536
-0.0970;-0.3916;9.8459;9.8542;201.7093
-0.0970;-0.3940;9.8555;9.8639;201.9650
-0.1030;-0.4012;9.8447;9.8534;202.2210
-0.1042;-0.3952;9.8519;9.8604;202.4776
-0.1006;-0.4095;9.8543;9.8633;202.7332
-0.1042;-0.3976;9.8447;9.8533;202.9882
-0.1126;-0.3928;9.8375;9.8460;203.2415
-0.1066;-0.4048;9.8423;9.8512;203.4950
-0.1006;-0.4036;9.8459;9.8547;203.7495
-0.1090;-0.3976;9.8447;9.8534;204.0050
-0.0958;-0.3976;9.8411;9.8496;204.2584
-0.0982;-0.3964;9.8447;9.8532;204.5134
-0.1006;-0.3880;9.8387;9.8469;204.7689
-0.1030;-0.3952;9.8651;9.8735;205.0243
-0.1078;-0.4060;9.8351;9.8441;205.2797
-0.1066;-0.4024;9.8411;9.8499;205.5351
-0.0994;-0.4024;9.8471;9.8558;205.7903
-0.0946;-0.3988;9.8387;9.8473;206.0456
-0.0946;-0.4036;9.8483;9.8570;206.3010
-0.1030;-0.4036;9.8435;9.8523;206.5562
-0.1054;-0.4000;9.8555;9.8642;206.8117
-0.1150;-0.4048;9.8507;9.8597;207.0672
-0.1018;-0.3952;9.8375;9.8460;207.3225
-0.1066;-0.4048;9.8543;9.8632;207.5779
-0.0946;-0.4024;9.8459;9.8546;207.8337
-0.1042;-0.4084;9.8507;9.8597;208.0876
-0.0994;-0.3976;9.8471;9.8556;208.3410
-0.0982;-0.4012;9.8507;9.8594;208.5948
-0.1150;-0.4000;9.8411;9.8499;208.8502
-0.1054;-0.4095;9.8495;9.8586;209.1055
-0.1078;-0.3976;9.8483;9.8569;209.3608
-0.1066;-0.3976;9.8423;9.8509;209.6161
-0.1090;-0.4060;9.8543;9.8633;209.8714
-0.1054;-0.4048;9.8399;9.8488;210.1268
-0.0970;-0.4072;9.8459;9.8548;210.3821
-0.1078;-0.3964;9.8579;9.8665;210.6376
-0.0982;-0.3976;9.8543;9.8628;210.8930
-0.1078;-0.4048;9.8555;9.8644;211.1483
-0.0970;-0.3940;9.8375;9.8459;211.4037
-0.1078;-0.4000;9.8471;9.8558;211.6591
-0.1126;-0.4012;9.8447;9.8535;211.9146
-0.1030;-0.3940;9.8411;9.8496;212.1700
-0.0982;-0.4000;9.8340;9.8426;212.4253
-0.0994;-0.3976;9.8459;9.8545;212.6808
-0.1090;-0.3892;9.8447;9.8530;212.9361
-0.1150;-0.4048;9.8507;9.8597;213.1915
-0.1078;-0.3976;9.8495;9.8581;213.4449
-0.1042;-0.3964;9.8531;9.8616;213.6987
-0.1042;-0.3880;9.8555;9.8637;213.9551
-0.1030;-0.3976;9.8447;9.8533;214.2090
-0.1006;-0.3952;9.8531;9.8615;214.4643
-0.1018;-0.4000;9.8495;9.8582;214.7181
-0.1066;-0.4012;9.8435;9.8523;214.9717
-0.1126;-0.3976;9.8387;9.8474;215.2255
-0.1030;-0.4024;9.8543;9.8631;215.4821
-0.1078;-0.4012;9.8507;9.8595;215.7416
-0.1138;-0.3988;9.8483;9.8570;215.9950
-0.1042;-0.3988;9.8363;9.8450;216.2484
-0.0994;-0.4060;9.8459;9.8548;216.5019
-0.0946;-0.3988;9.8603;9.8688;216.7558
-0.0994;-0.4000;9.8435;9.8522;217.0114
-0.1018;-0.4048;9.8399;9.8488;217.2674
-0.0958;-0.4012;9.8411;9.8498;217.5232
-0.1090;-0.3988;9.8507;9.8594;217.7818
-0.1018;-0.4012;9.8411;9.8498;218.0358
-0.1018;-0.3940;9.8483;9.8567;218.2895
-0.1042;-0.3940;9.8375;9.8460;218.5431
-0.1030;-0.3952;9.8555;9.8640;218.7968
-0.1042;-0.3976;9.8507;9.8593;219.0504
-0.0970;-0.4012;9.8567;9.8653;219.3044
-0.1030;-0.3976;9.8495;9.8581;219.5581
-0.1102;-0.4000;9.8423;9.8511;219.8119
-0.1006;-0.3940;9.8519;9.8603;220.0654
-0.1018;-0.3976;9.8351;9.8437;220.3188
-0.1078;-0.3916;9.8459;9.8543;220.5726
-0.1030;-0.3868;9.8375;9.8457;220.8289
-0.1078;-0.3964;9.8507;9.8593;221.0855
-0.1078;-0.4036;9.8483;9.8572;221.3415
-0.0970;-0.3976;9.8507;9.8592;221.5971
-0.1066;-0.3988;9.8555;9.8641;221.8551
-0.1102;-0.3928;9.8411;9.8496;222.1112
-0.1006;-0.3988;9.8459;9.8545;222.3667
-0.1078;-0.3856;9.8567;9.8648;222.6221
-0.1126;-0.4000;9.8507;9.8595;222.8773
-0.1018;-0.3940;9.8627;9.8711;223.1308
-0.1054;-0.3892;9.8555;9.8637;223.3842
-0.0994;-0.3928;9.8531;9.8614;223.6383
-0.1114;-0.3916;9.8519;9.8603;223.8944
-0.1042;-0.3940;9.8531;9.8615;224.1502
-0.0970;-0.3976;9.8447;9.8532;224.4056
-0.1102;-0.4000;9.8459;9.8547;224.6590
-0.1030;-0.3940;9.8435;9.8519;224.9126
-0.1054;-0.3916;9.8423;9.8507;225.1686
-0.1006;-0.4060;9.8567;9.8656;225.4244
-0.1138;-0.3964;9.8543;9.8629;225.6778
-0.1054;-0.4000;9.8435;9.8522;225.9312
-0.1018;-0.3880;9.8387;9.8469;226.1850
-0.1090;-0.3940;9.8411;9.8496;226.4407
-0.1114;-0.4012;9.8471;9.8559;226.6961
-0.1030;-0.3988;9.8411;9.8497;226.9496
-0.1114;-0.3964;9.8483;9.8569;227.2029
-0.1006;-0.4000;9.8531;9.8617;227.4567
-0.1030;-0.3940;9.8447;9.8531;227.7124
-0.1006;-0.3988;9.8411;9.8497;227.9681
-0.0994;-0.3940;9.8471;9.8555;228.2237
-0.1090;-0.4036;9.8543;9.8632;228.4792
-0.1054;-0.3964;9.8351;9.8437;228.7326
-0.1126;-0.4012;9.8603;9.8691;228.9861
-0.1078;-0.4048;9.8603;9.8692;229.2418
-0.1018;-0.4036;9.8531;9.8619;229.4958
-0.1054;-0.4000;9.8435;9.8522;229.7492
-0.1042;-0.3904;9.8555;9.8638;230.0040
-0.1078;-0.3988;9.8495;9.8582;230.2577
-0.1054;-0.4012;9.8423;9.8511;230.5122
-0.1018;-0.4036;9.8435;9.8523;230.7660
-0.1066;-0.3976;9.8615;9.8701;231.0194
-0.0982;-0.3964;9.8543;9.8628;231.2728
-0.1078;-0.3964;9.8507;9.8593;231.5266
-0.1018;-0.3904;9.8483;9.8566;231.7825
-0.1042;-0.4000;9.8399;9.8486;232.0362
-0.1090;-0.4060;9.8507;9.8597;232.2927
-0.1114;-0.3964;9.8495;9.8581;232.5486
-0.0970;-0.3964;9.8447;9.8532;232.8047
-0.0934;-0.3940;9.8531;9.8614;233.0602
-0.1126;-0.3964;9.8399;9.8486;233.3154
-0.1054;-0.4060;9.8531;9.8620;233.5689
-0.0946;-0.3880;9.8459;9.8540;233.8224
-0.1030;-0.3928;9.8483;9.8567;234.0761
-0.1042;-0.3976;9.8375;9.8461;234.3295
-0.1030;-0.3952;9.8328;9.8412;234.5829
-0.1078;-0.3952;9.8495;9.8580;234.8366
-0.1078;-0.3952;9.8280;9.8365;235.0927
-0.1042;-0.3940;9.8555;9.8639;235.3515
-0.1042;-0.3964;9.8495;9.8580;235.6069
-0.1138;-0.3880;9.8387;9.8470;235.8622
-0.0994;-0.3928;9.8411;9.8495;236.1176
-0.1078;-0.3976;9.8459;9.8545;236.3728
-0.1006;-0.4012;9.8687;9.8773;236.6266
-0.0994;-0.4000;9.8435;9.8522;236.8805
-0.1054;-0.4000;9.8519;9.8606;237.1340
-0.0934;-0.4084;9.8483;9.8572;237.3877
-0.1066;-0.4000;9.8399;9.8486;237.6411
-0.1102;-0.3940;9.8519;9.8604;237.8947
-0.1102;-0.4036;9.8543;9.8632;238.1487
-0.0958;-0.3964;9.8471;9.8556;238.4026
-0.1102;-0.4024;9.8519;9.8607;238.6561
-0.1006;-0.3928;9.8483;9.8567;238.9097
-0.1054;-0.4012;9.8447;9.8535;239.1639
-0.1066;-0.4048;9.8387;9.8476;239.4183
-0.1030;-0.4048;9.8351;9.8440;239.6725
-0.0922;-0.3940;9.8435;9.8518;239.9261
