ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1078;-0.4036;9.8459;9.8548;30.2273
-0.1006;-0.4036;9.8507;9.8595;30.4807
-0.1066;-0.4000;9.8447;9.8534;30.7343
-0.1102;-0.4000;9.8519;9.8606;30.9876
-0.1042;-0.3904;9.8328;9.8411;31.2411
-0.1066;-0.3928;9.8292;9.8376;31.4945
-0.1090;-0.4000;9.8555;9.8642;31.7480
-0.1078;-0.4048;9.8495;9.8584;32.0015
-0.1018;-0.3928;9.8591;9.8674;32.2549
-0.1018;-0.3964;9.8411;9.8496;32.5084
-0.1006;-0.4048;9.8399;9.8488;32.7620
-0.1054;-0.4012;9.8423;9.8511;33.0155
-0.1138;-0.4012;9.8304;9.8392;33.2689
-0.1042;-0.4024;9.8447;9.8535;33.5224
-0.1162;-0.3916;9.8471;9.8556;33.7758
-0.1102;-0.3976;9.8435;9.8522;34.0292
-0.1054;-0.3964;9.8471;9.8557;34.2828
-0.1054;-0.4024;9.8447;9.8535;34.5363
-0.1054;-0.4036;9.8447;9.8536;34.7954
-0.1102;-0.3916;9.8387;9.8471;35.0488
-0.1042;-0.4036;9.8495;9.8583;35.3023
-0.1102;-0.3988;9.8399;9.8486;35.5556
-0.1030;-0.3976;9.8543;9.8629;35.8090
-0.1102;-0.3940;9.8531;9.8616;36.0626
-0.1042;-0.3940;9.8375;9.8460;36.3179
-0.0994;-0.4012;9.8483;9.8570;36.5735
-0.1066;-0.3928;9.8435;9.8519;36.8288
-0.1066;-0.4048;9.8435;9.8524;37.0841
-0.1078;-0.3916;9.8447;9.8531;37.3393
-0.0982;-0.3928;9.8411;9.8495;37.5947
-0.0970;-0.4084;9.8519;9.8608;37.8502
-0.1090;-0.3988;9.8459;9.8546;38.1054
-0.1006;-0.3988;9.8459;9.8545;38.3607
-0.1102;-0.3940;9.8435;9.8520;38.6160
-0.1054;-0.3952;9.8351;9.8436;38.8712
-0.1126;-0.3916;9.8519;9.8603;39.1269
-0.1102;-0.3940;9.8399;9.8484;39.3824
-0.1006;-0.3976;9.8507;9.8592;39.6381
-0.1018;-0.3988;9.8591;9.8677;39.8936
