ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0520;-0.0103;0.0122;0.0544;0.0000
-0.0461;-0.0112;0.0090;0.0483;0.0031
-0.0488;-0.0081;0.0098;0.0504;0.0049
-0.0474;-0.0083;0.0059;0.0484;0.0064
-0.0491;-0.0105;0.0020;0.0502;0.0081
-0.0566;-0.0066;0.0122;0.0583;0.0096
-0.0508;-0.0046;0.0127;0.0525;0.0112
-0.0444;-0.0098;0.0002;0.0455;0.0130
-0.0442;-0.0105;0.0181;0.0489;0.0151
-0.0537;-0.0120;0.0203;0.0586;0.0172
-0.0503;-0.0151;0.0176;0.0554;0.0189
-0.0508;-0.0198;0.0103;0.0555;0.0207
-0.0461;-0.0139;0.0078;0.0488;0.0222
-0.0444;-0.0115;0.0054;0.0462;0.0238
-0.0481;-0.0054;0.0208;0.0527;0.0254
-0.0544;-0.0081;0.0144;0.0569;0.0270
-0.0471;-0.0125;0.0081;0.0494;0.0287
-0.0454;-0.0186;0.0027;0.0491;0.0302
-0.0486;-0.0168;0.0046;0.0516;0.0318
-0.0486;-0.0125;-0.0039;0.0503;0.0335
-0.0540;-0.0073;-0.0049;0.0547;0.0352
-0.0505;-0.0081;0.0166;0.0538;0.0368
-0.0483;-0.0176;0.0120;0.0528;0.0391
-0.0432;-0.0198;0.0142;0.0496;0.0409
-0.0466;-0.0205;0.0178;0.0540;0.0424
-0.0459;-0.0188;0.0061;0.0500;0.0439
-0.0479;-0.0034;0.0166;0.0508;0.0454
-0.0444;-0.0098;0.0154;0.0480;0.0467
-0.0400;-0.0129;0.0066;0.0426;0.0480
-0.0400;-0.0154;0.0017;0.0429;0.0492
-0.0432;-0.0168;0.0112;0.0477;0.0504
-0.0457;-0.0132;0.0056;0.0479;0.0517
-0.0481;-0.0151;0.0120;0.0518;0.0529
-0.0530;-0.0137;0.0098;0.0556;0.0540
-0.0508;-0.0120;0.0093;0.0530;0.0552
-0.0508;-0.0093;0.0042;0.0518;0.0564
-0.0532;-0.0027;0.0134;0.0550;0.0577
-0.0508;-0.0059;0.0093;0.0520;0.0589
-0.0547;-0.0095;0.0173;0.0582;0.0601
-0.0474;-0.0164;0.0105;0.0512;0.0613
-0.0505;-0.0225;0.0044;0.0555;0.0625
-0.0449;-0.0190;0.0044;0.0490;0.0637
-0.0461;-0.0139;0.0020;0.0482;0.0649
-0.0432;-0.0144;0.0037;0.0457;0.0661
-0.0464;-0.0112;0.0149;0.0500;0.0674
-0.0505;-0.0149;0.0002;0.0527;0.0687
-0.0518;-0.0146;0.0115;0.0550;0.0699
-0.0471;-0.0137;0.0120;0.0505;0.0711
-0.0461;-0.0159;0.0159;0.0513;0.0724
-0.0498;-0.0210;0.0105;0.0551;0.0736
-0.0464;-0.0120;0.0059;0.0483;0.0748
-0.0474;-0.0098;0.0095;0.0493;0.0760
-0.0486;-0.0073;0.0120;0.0506;0.0772
-0.0498;-0.0132;0.0022;0.0516;0.0784
-0.0544;-0.0166;-0.0029;0.0570;0.0796
-0.0510;-0.0107;-0.0007;0.0521;0.0808
-0.0461;-0.0115;0.0103;0.0486;0.0820
-0.0522;-0.0125;0.0132;0.0553;0.0832
-0.0498;-0.0164;0.0134;0.0541;0.0844
-0.0522;-0.0132;-0.0005;0.0539;0.0855
-0.0486;-0.0166;-0.0017;0.0514;0.0866
-0.0483;-0.0142;0.0059;0.0507;0.0878
-0.0437;-0.0125;0.0029;0.0455;0.0889
-0.0430;-0.0125;-0.0032;0.0448;0.0900
-0.0464;-0.0073;-0.0007;0.0470;0.0912
-0.0447;-0.0061;0.0017;0.0451;0.0923
-0.0469;-0.0095;0.0049;0.0481;0.0934
-0.0466;-0.0166;0.0083;0.0502;0.0945
-0.0457;-0.0178;0.0090;0.0498;0.0956
-0.0510;-0.0154;0.0142;0.0551;0.0968
-0.0449;-0.0164;0.0090;0.0487;0.0979
-0.0510;-0.0081;0.0046;0.0519;0.1018
-0.0503;-0.0049;0.0056;0.0508;0.1030
-0.0522;-0.0129;0.0156;0.0560;0.1045
-0.0552;-0.0198;0.0222;0.0627;0.1056
-0.0493;-0.0271;0.0115;0.0574;0.1067
-0.0452;-0.0151;0.0244;0.0535;0.1080
-0.0479;-0.0215;0.0134;0.0541;0.1091
-0.0527;-0.0159;0.0017;0.0551;0.1102
-0.0493;-0.0146;0.0054;0.0517;0.1113
-0.0498;-0.0103;0.0046;0.0511;0.1125
