ax(g);ay(g);az(g);accRMS(g);time(s)
ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0204;-0.0421;0.9825;0.9837;0.1000
-0.0210;-0.0424;0.9819;0.9831;0.1007
-0.0210;-0.0424;0.9819;0.9831;0.1015
-0.0215;-0.0424;0.9825;0.9837;0.1022
-0.0216;-0.0416;0.9834;0.9845;0.1030
-0.0209;-0.0414;0.9832;0.9842;0.1038
-0.0209;-0.0414;0.9832;0.9842;0.1045
-0.0199;-0.0410;0.9832;0.9842;0.1053
-0.0195;-0.0403;0.9835;0.9845;0.1060
-0.0194;-0.0399;0.9834;0.9844;0.1068
-0.0194;-0.0399;0.9834;0.9844;0.1075
-0.0198;-0.0394;0.9836;0.9846;0.1083
-0.0217;-0.0385;0.9845;0.9855;0.1091
-0.0234;-0.0377;0.9854;0.9864;0.1098
-0.0234;-0.0377;0.9854;0.9864;0.1106
-0.0231;-0.0383;0.9855;0.9865;0.1113
-0.0225;-0.0392;0.9855;0.9865;0.1121
-0.0216;-0.0399;0.9857;0.9868;0.1128
-0.0216;-0.0399;0.9857;0.9868;0.1136
-0.0205;-0.0402;0.9869;0.9880;0.1145
-0.0193;-0.0404;0.9883;0.9893;0.1154
-0.0184;-0.0408;0.9879;0.9889;0.1162
-0.0184;-0.0405;0.9860;0.9870;0.1169
-0.0184;-0.0405;0.9860;0.9870;0.1177
-0.0184;-0.0408;0.9843;0.9853;0.1184
-0.0179;-0.0411;0.9830;0.9841;0.1192
-0.0181;-0.0413;0.9823;0.9833;0.1200
-0.0181;-0.0413;0.9823;0.9833;0.1207
-0.0189;-0.0422;0.9822;0.9833;0.1215
-0.0193;-0.0426;0.9825;0.9837;0.1222
-0.0189;-0.0426;0.9835;0.9846;0.1231
-0.0189;-0.0428;0.9839;0.9850;0.1239
-0.0189;-0.0428;0.9839;0.9850;0.1246
-0.0193;-0.0430;0.9843;0.9854;0.1254
-0.0192;-0.0426;0.9856;0.9867;0.1265
-0.0186;-0.0421;0.9863;0.9874;0.1274
-0.0190;-0.0424;0.9860;0.9871;0.1282
-0.0194;-0.0422;0.9850;0.9861;0.1289
-0.0194;-0.0422;0.9850;0.9861;0.1297
-0.0190;-0.0414;0.9843;0.9853;0.1305
-0.0189;-0.0405;0.9839;0.9849;0.1313
-0.0200;-0.0404;0.9839;0.9849;0.1320
-0.0203;-0.0404;0.9835;0.9846;0.1328
-0.0203;-0.0404;0.9835;0.9846;0.1337
-0.0192;-0.0404;0.9832;0.9842;0.1345
-0.0186;-0.0402;0.9828;0.9838;0.1352
-0.0184;-0.0396;0.9827;0.9836;0.1360
-0.0182;-0.0391;0.9829;0.9839;0.1368
-0.0182;-0.0391;0.9829;0.9839;0.1375
-0.0179;-0.0392;0.9840;0.9850;0.1385
-0.0182;-0.0400;0.9847;0.9857;0.1394
-0.0182;-0.0406;0.9839;0.9849;0.1404
-0.0176;-0.0409;0.9828;0.9838;0.1413
-0.0167;-0.0408;0.9827;0.9837;0.1423
-0.0159;-0.0408;0.9832;0.9841;0.1433
-0.0156;-0.0411;0.9828;0.9838;0.1444
-0.0162;-0.0415;0.9823;0.9833;0.1453
-0.0173;-0.0416;0.9823;0.9833;0.1463
-0.0183;-0.0421;0.9818;0.9829;0.1473
-0.0187;-0.0422;0.9817;0.9828;0.1483
-0.0187;-0.0416;0.9821;0.9831;0.1493
-0.0188;-0.0406;0.9822;0.9832;0.1503
-0.0188;-0.0405;0.9824;0.9834;0.1513
-0.0190;-0.0414;0.9819;0.9830;0.1523
-0.0194;-0.0419;0.9812;0.9823;0.1531
-0.0194;-0.0424;0.9812;0.9823;0.1539
-0.0190;-0.0431;0.9828;0.9839;0.1548
-0.0190;-0.0431;0.9828;0.9839;0.1556
-0.0161;-0.0422;0.9854;0.9864;0.1574
-0.0157;-0.0419;0.9855;0.9865;0.1582
-0.0165;-0.0413;0.9856;0.9866;0.1590
-0.0167;-0.0403;0.9851;0.9861;0.1599
-0.0167;-0.0403;0.9851;0.9861;0.1607
-0.0166;-0.0397;0.9845;0.9854;0.1615
-0.0171;-0.0396;0.9846;0.9856;0.1622
-0.0179;-0.0398;0.9852;0.9862;0.1631
-0.0184;-0.0397;0.9856;0.9866;0.1638
-0.0184;-0.0397;0.9856;0.9866;0.1646
-0.0192;-0.0397;0.9845;0.9855;0.1654
-0.0197;-0.0398;0.9825;0.9835;0.1661
-0.0197;-0.0399;0.9822;0.9832;0.1669
-0.0197;-0.0399;0.9822;0.9832;0.1676
-0.0200;-0.0410;0.9828;0.9838;0.1684
-0.0206;-0.0416;0.9829;0.9840;0.1691
-0.0217;-0.0414;0.9838;0.9849;0.1726
-0.0215;-0.0402;0.9845;0.9856;0.1744
-0.0208;-0.0400;0.9857;0.9867;0.1757
-0.0200;-0.0410;0.9865;0.9875;0.1766
-0.0194;-0.0413;0.9862;0.9873;0.1775
-0.0186;-0.0415;0.9861;0.9871;0.1783
-0.0183;-0.0420;0.9861;0.9871;0.1792
-0.0183;-0.0421;0.9852;0.9863;0.1801
-0.0179;-0.0428;0.9852;0.9863;0.1811
-0.0181;-0.0433;0.9867;0.9878;0.1821
-0.0183;-0.0424;0.9871;0.9881;0.1832
-0.0182;-0.0416;0.9857;0.9868;0.1842
-0.0181;-0.0413;0.9857;0.9867;0.1852
-0.0187;-0.0404;0.9861;0.9871;0.1860
-0.0193;-0.0405;0.9844;0.9854;0.1868
-0.0193;-0.0405;0.9844;0.9854;0.1875
-0.0195;-0.0421;0.9825;0.9836;0.1883
-0.0198;-0.0426;0.9832;0.9843;0.1890
-0.0198;-0.0416;0.9849;0.9859;0.1898
-0.0198;-0.0416;0.9849;0.9859;0.1905
-0.0194;-0.0406;0.9861;0.9871;0.1913
-0.0194;-0.0402;0.9868;0.9878;0.1921
-0.0195;-0.0400;0.9874;0.9884;0.1929
-0.0195;-0.0400;0.9874;0.9884;0.1937
-0.0198;-0.0404;0.9879;0.9889;0.1944
-0.0205;-0.0409;0.9879;0.9890;0.1952
-0.0208;-0.0415;0.9878;0.9889;0.1959
-0.0208;-0.0415;0.9878;0.9889;0.1967
-0.0204;-0.0421;0.9886;0.9898;0.1974
-0.0200;-0.0420;0.9891;0.9902;0.1982
-0.0200;-0.0414;0.9879;0.9890;0.1990
-0.0200;-0.0414;0.9879;0.9890;0.1997
-0.0203;-0.0408;0.9873;0.9884;0.2005
-0.0203;-0.0406;0.9877;0.9887;0.2012
-0.0200;-0.0409;0.9880;0.9891;0.2020
-0.0200;-0.0409;0.9880;0.9891;0.2027
-0.0192;-0.0410;0.9879;0.9890;0.2035
-0.0184;-0.0414;0.9883;0.9893;0.2043
-0.0186;-0.0417;0.9889;0.9899;0.2050
-0.0186;-0.0417;0.9889;0.9899;0.2058
-0.0188;-0.0417;0.9883;0.9893;0.2065
-0.0188;-0.0414;0.9869;0.9880;0.2073
-0.0188;-0.0409;0.9861;0.9871;0.2080
-0.0188;-0.0409;0.9861;0.9871;0.2088
-0.0197;-0.0413;0.9865;0.9875;0.2096
-0.0201;-0.0420;0.9878;0.9889;0.2104
-0.0198;-0.0420;0.9883;0.9894;0.2112
-0.0189;-0.0410;0.9885;0.9896;0.2120
-0.0183;-0.0408;0.9883;0.9893;0.2128
-0.0183;-0.0408;0.9883;0.9893;0.2137
-0.0182;-0.0411;0.9869;0.9880;0.2145
-0.0183;-0.0409;0.9865;0.9875;0.2153
-0.0188;-0.0405;0.9867;0.9877;0.2161
-0.0188;-0.0410;0.9871;0.9881;0.2168
-0.0188;-0.0410;0.9871;0.9881;0.2176
-0.0187;-0.0414;0.9882;0.9892;0.2183
-0.0186;-0.0409;0.9880;0.9891;0.2191
-0.0182;-0.0406;0.9861;0.9871;0.2198
-0.0182;-0.0406;0.9861;0.9871;0.2207
-0.0178;-0.0409;0.9850;0.9860;0.2215
-0.0177;-0.0406;0.9846;0.9856;0.2224
-0.0177;-0.0399;0.9844;0.9853;0.2233
-0.0183;-0.0392;0.9833;0.9842;0.2241
-0.0184;-0.0389;0.9835;0.9845;0.2249
-0.0184;-0.0389;0.9835;0.9845;0.2257
-0.0187;-0.0394;0.9851;0.9861;0.2265
-0.0190;-0.0406;0.9845;0.9855;0.2273
-0.0187;-0.0413;0.9821;0.9831;0.2282
-0.0184;-0.0411;0.9807;0.9817;0.2291
-0.0188;-0.0416;0.9818;0.9829;0.2299
-0.0188;-0.0416;0.9818;0.9829;0.2307
-0.0197;-0.0422;0.9834;0.9845;0.2315
-0.0203;-0.0417;0.9829;0.9840;0.2323
-0.0201;-0.0410;0.9813;0.9824;0.2332
-0.0195;-0.0408;0.9801;0.9811;0.2341
-0.0198;-0.0408;0.9802;0.9813;0.2351
