ax(g);ay(g);az(g);accRMS(g);time(s)
0.0005;-0.0305;0.9751;0.9756;0.0017
0.0005;-0.0305;0.9751;0.9756;0.0029
-0.0109;-0.0278;0.9409;0.9414;0.0040
-0.0120;-0.0281;0.9498;0.9503;0.0052
-0.0122;-0.0281;0.9608;0.9613;0.0063
-0.0107;-0.0273;0.9642;0.9647;0.0073
-0.0088;-0.0275;0.9675;0.9680;0.0084
-0.0074;-0.0283;0.9716;0.9720;0.0095
-0.0067;-0.0289;0.9734;0.9738;0.0106
-0.0071;-0.0284;0.9733;0.9737;0.0117
-0.0076;-0.0276;0.9742;0.9747;0.0128
-0.0063;-0.0275;0.9760;0.9764;0.0139
-0.0056;-0.0280;0.9772;0.9776;0.0151
-0.0056;-0.0288;0.9779;0.9783;0.0163
-0.0046;-0.0288;0.9784;0.9788;0.0175
-0.0051;-0.0289;0.9794;0.9798;0.0186
-0.0056;-0.0294;0.9808;0.9813;0.0197
-0.0049;-0.0305;0.9811;0.9816;0.0208
-0.0040;-0.0319;0.9795;0.9800;0.0219
-0.0037;-0.0327;0.9794;0.9799;0.0230
-0.0039;-0.0332;0.9790;0.9796;0.0241
-0.0050;-0.0330;0.9778;0.9784;0.0252
-0.0066;-0.0326;0.9777;0.9782;0.0263
-0.0066;-0.0323;0.9789;0.9794;0.0274
-0.0060;-0.0308;0.9789;0.9794;0.0285
-0.0054;-0.0292;0.9781;0.9786;0.0296
-0.0051;-0.0288;0.9780;0.9785;0.0307
-0.0043;-0.0287;0.9778;0.9782;0.0318
-0.0034;-0.0282;0.9779;0.9783;0.0328
-0.0035;-0.0282;0.9777;0.9781;0.0339
-0.0044;-0.0283;0.9777;0.9781;0.0351
-0.0044;-0.0266;0.9761;0.9764;0.0364
-0.0040;-0.0266;0.9741;0.9745;0.0375
-0.0040;-0.0264;0.9728;0.9731;0.0385
-0.0038;-0.0258;0.9724;0.9728;0.0396
-0.0034;-0.0261;0.9722;0.9725;0.0407
-0.0029;-0.0269;0.9724;0.9728;0.0418
-0.0027;-0.0275;0.9734;0.9738;0.0429
-0.0031;-0.0273;0.9744;0.9748;0.0440
-0.0037;-0.0272;0.9761;0.9765;0.0451
-0.0046;-0.0278;0.9784;0.9788;0.0462
-0.0046;-0.0280;0.9802;0.9806;0.0473
-0.0050;-0.0278;0.9794;0.9798;0.0484
