Frecuencia(Hz);%Magnitud_X(g);%Magnitud_Y(g);%Magnitud_Z(g);%Magnitud_RMS(g)
0.0;0.0388857424259;0.0820865780115;1.9702206701;1.9723172146
0.030517578125;6.27768470179e-05;1.35187450955e-05;0.000127130540256;0.000126290811801
0.06103515625;3.84637639792e-05;4.93842988516e-05;4.26255149421e-05;4.48289097584e-05
0.091552734375;7.39065345239e-05;3.81483085669e-05;3.06826810299e-05;2.9392162453e-05
0.1220703125;5.86558498959e-05;2.52293385829e-05;0.000145668190941;0.000143889933972
0.152587890625;2.75033900666e-05;8.03362719728e-05;8.49492122146e-05;8.401175956e-05
0.18310546875;6.32759890918e-05;4.31970511515e-05;0.000117615566678;0.000115652249296
0.213623046875;1.82857534902e-05;2.99302734429e-05;5.13708681431e-05;5.06197148286e-05
0.244140625;5.23021143364e-05;8.75695950885e-05;7.8615484485e-05;7.64333934634e-05
0.274658203125;3.01585364698e-05;2.61705153313e-05;1.93246611089e-05;1.97032504e-05
0.30517578125;3.58835896693e-05;2.58171126113e-05;2.53253230879e-05;2.49191534123e-05
0.335693359375;6.14683663194e-05;5.20294706242e-05;5.28862835398e-05;5.2407834796e-05
0.3662109375;5.1603027013e-05;4.66082922589e-05;2.72309810924e-05;2.58388250995e-05
0.396728515625;1.99520251197e-05;4.95711353268e-05;0.000109205438503;0.00011004364006
0.42724609375;6.4234713599e-05;8.15959658138e-05;5.73090783914e-05;6.11801220967e-05
0.457763671875;9.69057545398e-05;1.6119541981e-05;2.95040919727e-05;2.97786678082e-05
0.48828125;2.93354091353e-05;8.30492662069e-05;7.46047045229e-05;7.2772774541e-05
0.518798828125;5.3754688245e-05;1.80851958252e-05;2.92770332238e-05;2.9983288196e-05
0.54931640625;3.6438760344e-05;5.54445441916e-05;7.76979411067e-05;7.95865955864e-05
0.579833984375;7.05891844377e-06;9.47488243312e-06;5.32652154522e-05;5.36002607323e-05
0.6103515625;2.83927819216e-05;6.0244872305e-05;3.13651810534e-05;2.87688067304e-05
0.640869140625;5.51829013676e-05;6.85626835972e-05;3.96010092609e-05;4.21411237654e-05
0.67138671875;1.15100605357e-05;3.32832620318e-05;6.84554372012e-05;6.70248102539e-05
0.701904296875;5.77169741334e-05;2.04471604528e-05;9.86820541515e-05;9.96983307189e-05
0.732421875;1.64930873834e-05;4.244853709e-05;6.32987702268e-05;6.40208360811e-05
0.762939453125;4.16926936452e-05;9.45542149858e-06;8.08554477737e-05;8.05645684822e-05
0.79345703125;3.17159586025e-05;3.34820157087e-05;7.6985633454e-05;7.53236592898e-05
0.823974609375;4.53621702644e-05;5.86890120371e-05;8.97110993129e-05;8.80763129669e-05
0.8544921875;1.37008135395e-05;3.08844327739e-05;8.13269654133e-05;8.26364171731e-05
0.885009765625;3.16169380938e-05;5.86612662039e-05;7.77117949172e-05;7.58610038781e-05
0.91552734375;2.68425216123e-05;9.66279127172e-06;4.98071778481e-05;5.00029248032e-05
0.946044921875;6.91927872161e-05;8.53910615252e-05;1.8733277823e-05;1.79675104367e-05
0.9765625;7.84697570348e-05;6.24940212848e-05;0.000128805681261;0.000128456654197
1.00708007812;2.12394706806e-05;4.31327505683e-05;9.20674965074e-05;9.39159077887e-05
1.03759765625;2.30860514569e-05;3.88481352562e-05;5.73704113674e-05;5.63911481369e-05
1.06811523438;3.48231623331e-05;3.4939374347e-05;5.19659730714e-05;5.00252251817e-05
1.0986328125;4.4336253878e-05;1.84397855719e-05;2.72993011228e-05;2.83721384254e-05
1.12915039062;5.10849539468e-05;5.03129782011e-05;5.95849928332e-05;5.77484954229e-05
1.15966796875;7.88091808184e-05;5.27749697973e-05;6.71873505722e-05;6.75234258374e-05
1.19018554688;4.27686992046e-05;3.61207143792e-05;6.86231027618e-05;6.84072771655e-05
1.220703125;2.77975065738e-05;5.0695858078e-05;9.02603611055e-06;1.0811929369e-05
1.25122070312;7.24107147714e-05;5.35897863524e-05;6.23675280959e-05;6.30518110359e-05
1.28173828125;9.29111104587e-05;7.09739239898e-06;9.21258622575e-05;9.36575118313e-05
1.31225585938;5.32360619704e-05;1.21403478585e-05;8.16150062419e-05;8.14768675972e-05
1.3427734375;2.38577791514e-05;4.36085318914e-05;0.000105087638617;0.000103094161781
1.37329101562;4.11314719506e-05;7.70239987799e-06;6.09540193886e-05;5.99784134666e-05
1.40380859375;6.96211466953e-05;2.7680558109e-05;4.4421278581e-05;4.50254355731e-05
1.43432617188;6.04185985432e-05;4.44219789875e-05;3.15178005946e-05;3.17539961507e-05
1.46484375;4.68030308265e-05;5.91675149338e-05;4.22415919207e-05;4.53328807577e-05
1.49536132812;4.62488879547e-05;4.44630639163e-05;8.75188975899e-05;8.53183829826e-05
1.52587890625;0.000103390660916;4.32538704519e-05;1.6802116604e-05;1.70149437361e-05
1.55639648438;4.35578902922e-05;4.47689387974e-05;6.26962829983e-05;6.36411035907e-05
1.5869140625;3.35567621963e-05;8.08010903693e-05;2.58805509359e-05;2.42921355647e-05
1.61743164062;5.74714774491e-05;3.64596938529e-05;8.49592334755e-05;8.74046666117e-05
1.64794921875;4.22426474609e-05;7.44728553887e-05;0.000118804002197;0.000115957612872
1.67846679688;3.0251790679e-05;4.04851128407e-05;5.14138077224e-05;5.21232906283e-05
1.708984375;7.07459993599e-06;3.97985352162e-05;6.22727167035e-05;6.16104131922e-05
1.73950195312;1.79911064462e-05;7.30307788451e-06;0.00010221431174;0.000102753875489
1.77001953125;1.72596418923e-05;1.13125904671e-05;7.77627333211e-05;7.73670844796e-05
1.80053710938;6.21533088602e-05;4.49417212301e-05;4.14326430665e-06;4.06136294434e-06
1.8310546875;3.85221881548e-05;5.87957205572e-05;9.20156828517e-05;9.06985619602e-05
1.86157226562;5.97675316293e-05;7.45927388342e-05;2.41263454983e-05;2.44571436296e-05
1.89208984375;1.57060893734e-05;3.59983329256e-05;2.98535070777e-05;3.0651987485e-05
1.92260742188;2.42584652625e-05;3.6786463593e-05;5.475841206e-05;5.62603399495e-05
1.953125;3.37170839585e-05;3.10330596057e-05;6.89298367574e-05;6.815271026e-05
1.98364257812;2.06982369192e-05;4.46423313432e-05;0.000100006786386;9.99854260668e-05
2.01416015625;4.3194608528e-05;4.59662902376e-05;8.17417248084e-05;8.13758831496e-05
2.04467773438;6.24665238099e-05;2.73332273532e-05;7.53419154832e-05;7.31305416576e-05
2.0751953125;1.88512638784e-05;1.83024061385e-05;0.000134671442786;0.000134585361889
2.10571289062;4.41229161684e-05;1.88572557038e-05;2.96502139588e-05;3.1067063011e-05
2.13623046875;1.18560117382e-05;3.48249606452e-05;2.26140444375e-05;2.38214951058e-05
2.16674804688;4.32138787516e-05;1.59073977413e-05;3.03119285382e-05;3.04672898893e-05
2.197265625;6.58454751371e-05;8.01236894529e-05;7.24580726809e-05;7.56103000515e-05
2.22778320312;4.31923368964e-05;2.23820105101e-05;0.000152920293526;0.000152656655509
2.25830078125;3.27688183401e-05;3.11868585451e-05;7.08392631612e-05;7.01826243901e-05
2.28881835938;5.75704465524e-05;2.47306638635e-05;2.75772992557e-05;2.80099735499e-05
2.3193359375;1.55105987154e-05;3.06472607406e-05;4.14742261122e-05;4.19267065515e-05
2.34985351562;3.83569816696e-05;4.08820423733e-05;8.37015171134e-05;8.34002856555e-05
2.38037109375;3.06687708778e-05;4.76553067731e-05;6.95749597776e-05;6.75202155965e-05
2.41088867188;3.28658853686e-05;5.09281034438e-05;6.68644152e-05;6.56784484147e-05
2.44140625;7.06727222165e-05;5.20707671696e-05;8.44562669543e-05;8.54592819711e-05
2.47192382812;1.35330566415e-05;5.88199682118e-05;3.48219334425e-06;1.54248398815e-06
2.50244140625;5.47153135638e-05;1.82396672724e-05;3.46169712179e-05;3.54033508407e-05
2.53295898438;3.44582043485e-05;5.4521082903e-05;0.000106262891344;0.000106687991264
2.5634765625;3.91001722788e-05;1.52461557676e-05;7.18566332282e-05;7.18852864808e-05
2.59399414062;2.92883704901e-05;7.64602728815e-05;4.0766337674e-05;3.80513566172e-05
2.62451171875;3.11397076745e-05;8.3315027295e-05;5.68222122885e-05;5.42698418801e-05
2.65502929688;1.22871241386e-05;5.27266552615e-06;8.26052238379e-05;8.25578362867e-05
2.685546875;4.69260510397e-05;4.58390287274e-05;7.04810668981e-05;6.99594551304e-05
2.71606445312;4.48105423126e-05;2.94200873703e-05;5.55696899718e-05;5.44405646668e-05
2.74658203125;2.41415868148e-05;4.57191851841e-05;2.54083931811e-05;2.76475791689e-05
2.77709960938;2.73215619436e-05;2.67392093714e-05;5.50968394182e-05;5.50704827628e-05
2.8076171875;5.2692472772e-05;4.5873896865e-05;5.9371026582e-05;5.72327842635e-05
2.83813476562;5.68663622461e-05;2.10329889612e-05;4.69159097607e-05;4.60710761792e-05
2.86865234375;4.97298686206e-05;4.03779721189e-05;7.23347713191e-05;7.18303646e-05
2.89916992188;4.14651927964e-05;3.62116766725e-06;5.2867474777e-05;5.20452673343e-05
2.9296875;3.53003499651e-05;3.75202150958e-05;2.27785026068e-05;2.26787009722e-05
2.96020507812;1.79570537124e-05;2.12075046669e-05;6.69462197253e-05;6.73269214162e-05
2.99072265625;4.25309374978e-05;3.8778600558e-05;1.55055977899e-05;1.44516342828e-05
3.02124023438;4.84692900532e-05;8.58383576266e-06;1.73311180019e-05;1.78064075231e-05
3.0517578125;6.53666812792e-05;4.56075019752e-05;0.000143750147004;0.000141911144585
3.08227539062;3.83615442291e-05;2.30498202721e-05;8.07487590561e-05;8.09000125591e-05
3.11279296875;2.68976050466e-05;3.78480954197e-05;2.8595353079e-05;2.68196256965e-05
3.14331054688;2.45949047696e-05;2.46008481913e-05;6.0301804528e-05;5.87931936378e-05
3.173828125;3.19274010457e-05;4.77133828767e-05;0.000100432435121;9.96669580814e-05
3.20434570312;6.07296461608e-05;5.58097394849e-05;7.94275955649e-05;8.24259633645e-05
3.23486328125;3.64578823219e-05;4.3609927892e-05;0.000152004379758;0.000150626794636
3.26538085938;2.35370693377e-05;2.41193503059e-05;3.73828955533e-05;3.6450187331e-05
3.2958984375;1.70136083552e-05;4.34636051698e-05;0.000173395635683;0.000173539122048
3.32641601562;7.57733120781e-06;6.66136835326e-05;4.21143303525e-05;3.94768821201e-05
3.35693359375;2.28869548146e-05;4.05951882681e-05;2.91855266599e-05;2.77199742328e-05
3.38745117188;8.66819837581e-05;3.58452885014e-05;1.02753320331e-05;1.02954961496e-05
3.41796875;4.4444274692e-05;1.61887091848e-05;3.10491411137e-05;3.01784156856e-05
3.44848632812;6.04243484699e-05;5.22707541389e-05;6.71646494321e-05;7.03990205929e-05
3.47900390625;4.70113504449e-05;1.65408896297e-05;5.00053556953e-05;5.10959268588e-05
3.50952148438;1.39213893585e-05;1.50815882271e-05;7.74303471543e-05;7.72183056562e-05
3.5400390625;2.10574952617e-05;6.56982242914e-05;2.78753203518e-05;2.8085028463e-05
3.57055664062;6.82280128586e-05;4.89508893995e-05;7.99751438755e-05;7.97969709819e-05
3.60107421875;4.59112314653e-05;6.15031379318e-05;2.38276596907e-05;2.17969582099e-05
3.63159179688;6.10887287452e-06;0.000120470225339;5.01403404886e-05;4.69413258511e-05
3.662109375;6.20065246272e-05;3.03365891332e-05;5.17560545598e-05;5.19894102632e-05
3.69262695312;1.52375455597e-05;6.84699513867e-05;7.92789684937e-05;8.12421902592e-05
3.72314453125;3.6163014439e-05;7.12010421673e-05;0.000152122300586;0.00015095871613
3.75366210938;3.5510707901e-05;1.46159185409e-05;5.0508734774e-05;5.07335039518e-05
3.7841796875;1.9782018295e-05;2.37593270192e-05;3.49041015734e-05;3.51735926172e-05
3.81469726562;4.94735987876e-05;5.89598441432e-05;2.21818027848e-05;1.97828053847e-05
3.84521484375;2.72165917631e-05;2.78240645803e-05;0.000125916326002;0.000127058633963
3.87573242188;4.39308140995e-05;4.72894371971e-05;7.1690414495e-05;7.21771274353e-05
3.90625;5.88278471004e-05;2.43947179003e-05;0.000118528790518;0.000120132464413
3.93676757812;3.6215952374e-05;2.62995318506e-05;5.75347054533e-05;5.64604996705e-05
3.96728515625;3.71474428549e-05;2.73464409286e-05;2.9411058316e-05;2.97784720893e-05
3.99780273438;3.56703878057e-05;3.02253909769e-05;1.61351489056e-05;1.55110592233e-05
4.0283203125;4.97501658162e-05;1.42554239585e-05;7.22293537651e-05;7.06570283537e-05
4.05883789062;8.64800321736e-06;6.92749598858e-05;3.45102573278e-05;3.20678100877e-05
4.08935546875;3.40111826754e-05;1.93911832108e-05;2.64633001054e-05;2.6439637319e-05
4.11987304688;3.24406354304e-05;2.01456658567e-05;4.02593475209e-05;4.07249192394e-05
4.150390625;3.12123223211e-05;3.909870995e-05;1.98013689199e-05;2.15013901041e-05
4.18090820312;4.54457981399e-05;3.89526761239e-05;1.72140901681e-05;1.56530200105e-05
4.21142578125;3.55752125419e-05;2.57331042331e-05;2.07329655312e-05;2.17862043349e-05
4.24194335938;1.87954268645e-05;3.21132702592e-05;0.00010614613905;0.000107020553148
4.2724609375;5.83174986761e-05;4.96404055576e-05;3.05387191797e-05;3.23155087365e-05
4.30297851562;1.21611114685e-05;8.96997142548e-05;4.33134383678e-05;3.98378978922e-05
4.33349609375;1.80964155396e-05;5.17052415155e-05;3.03680335167e-05;3.0076122962e-05
4.36401367188;6.52395387967e-05;3.63429422605e-05;2.04083933507e-05;2.10698439915e-05
4.39453125;9.21671925382e-06;2.3525210906e-05;9.23558852777e-05;9.32673486942e-05
4.42504882812;3.35253900413e-05;1.75111083419e-05;4.43381343505e-05;4.44269803835e-05
4.45556640625;4.44458625972e-05;6.78586698897e-05;4.94010509363e-05;4.82505875501e-05
4.48608398438;2.17214642885e-05;9.14829476117e-05;7.06221828257e-05;6.99517320252e-05
4.5166015625;4.54162756425e-05;3.91384501743e-05;0.000105233129098;0.00010440956394
4.54711914062;3.95731369057e-05;1.21719810408e-05;6.88419964016e-05;6.8249063364e-05
4.57763671875;6.65451822569e-05;2.27243811855e-05;2.53689301197e-05;2.5053062949e-05
4.60815429688;2.42165314958e-05;1.40873617124e-05;7.67393463164e-05;7.7529681018e-05
4.638671875;1.51079247702e-05;1.42569225393e-05;6.53118528189e-05;6.59890875857e-05
4.66918945312;2.95386430391e-05;5.34989047967e-05;8.19923803282e-05;8.09036032454e-05
4.69970703125;6.71517084176e-06;2.37859065675e-05;3.6174605852e-05;3.54007480961e-05
4.73022460938;3.3872276794e-05;6.40979856378e-05;4.59471072213e-05;4.33265415967e-05
4.7607421875;8.79323169204e-05;3.27692839848e-05;0.000138266644452;0.000139448652014
4.79125976562;4.02998469447e-05;6.00734773976e-05;0.000153980516999;0.000152583978532
4.82177734375;3.67439832534e-05;3.38117777512e-05;3.12598712625e-05;3.06542351375e-05
4.85229492188;9.49679058655e-05;7.0485359547e-05;1.29644575747e-05;1.67503899441e-05
4.8828125;1.3554712727e-05;5.65299425084e-05;4.88110713332e-05;4.70501083324e-05
4.91333007812;6.29133335277e-05;6.32010575833e-05;7.01002052511e-05;7.30267620811e-05
4.94384765625;3.40694532832e-05;4.99397215886e-05;7.88283331755e-05;8.06308391135e-05
4.97436523438;5.86782842633e-05;4.27288857185e-05;3.68629273831e-05;3.56129279154e-05
5.0048828125;2.06768320427e-05;3.91465438901e-05;9.23220065686e-05;9.42832342992e-05
5.03540039062;2.5972583412e-05;5.87974575739e-06;4.53282225959e-05;4.47876991635e-05
5.06591796875;4.7917042051e-05;7.493635937e-06;3.86057111228e-05;3.87879964735e-05
5.09643554688;9.78080488681e-05;6.36896377053e-05;7.88449698248e-05;8.24815013236e-05
5.126953125;3.50801186023e-05;2.26615580945e-05;9.35632185638e-05;9.48607775739e-05
5.15747070312;2.42263182585e-05;4.64025935346e-05;6.6406280188e-05;6.76946275369e-05
5.18798828125;1.86046995217e-05;2.5558583744e-05;3.619971317e-05;3.66782303583e-05
5.21850585938;2.91801727527e-05;3.67843631227e-05;7.4105963595e-05;7.46109128227e-05
5.2490234375;7.79405313609e-05;3.19717504711e-05;0.000141789558521;0.000140114398605
5.27954101562;1.69098434422e-05;4.31449688353e-05;1.80162002173e-05;1.72326312752e-05
5.31005859375;3.74371450483e-05;9.5541803947e-06;6.00458516014e-05;6.04225744907e-05
5.34057617188;5.98709846693e-05;4.42302737109e-05;4.61708753746e-05;4.81676566016e-05
5.37109375;5.74178811517e-05;4.14354841743e-05;3.28497432633e-05;3.19173858177e-05
5.40161132812;3.98305252799e-05;8.03363090254e-06;5.49652690274e-05;5.47368741826e-05
5.43212890625;2.26370859229e-05;6.8636138494e-05;4.65908248481e-05;4.58126961277e-05
5.46264648438;3.57801047647e-05;5.91468513296e-05;5.02418749498e-05;5.0998524733e-05
5.4931640625;2.01706463799e-05;5.4479179768e-05;7.32379581707e-05;7.0699904407e-05
5.52368164062;3.24618231951e-05;3.11101545629e-05;3.10800889758e-05;2.92542808587e-05
5.55419921875;1.32528498668e-05;2.52035203877e-05;3.62606555834e-05;3.74286504894e-05
5.58471679688;8.57966668677e-06;3.27363954922e-05;8.61460017423e-05;8.75216579373e-05
5.615234375;1.36261862377e-05;7.62299237887e-05;7.62696682041e-05;7.90173597422e-05
5.64575195312;2.59756872254e-05;4.32533920346e-05;6.55752535778e-05;6.77015636029e-05
5.67626953125;3.21716732428e-05;3.56107372818e-05;9.33768461361e-05;9.29816362128e-05
5.70678710938;3.52695507708e-05;7.07079239813e-05;0.000113286490795;0.000110168354063
5.7373046875;8.13267003151e-05;5.48458786085e-05;7.91361010509e-05;8.10540828631e-05
5.76782226562;1.74376853054e-05;4.40919483163e-05;0.000105836519475;0.000106769640697
5.79833984375;4.17691910739e-05;5.08522294519e-05;8.14601110411e-05;8.36622868028e-05
5.82885742188;2.95140342515e-05;2.50429213757e-05;4.28170200353e-05;4.25324829178e-05
5.859375;4.54588111805e-05;1.305531588e-05;9.41831467543e-05;9.50547994019e-05
5.88989257812;2.66628646961e-05;5.35368881856e-05;1.52758299287e-05;1.68648438558e-05
5.92041015625;4.27483267256e-05;0.000147971366434;6.37360133116e-05;6.16423083243e-05
5.95092773438;2.52397608208e-05;4.01374446862e-05;8.35698359448e-05;8.50423614712e-05
5.9814453125;2.13534201224e-05;6.64118546574e-05;9.75014426508e-05;9.91932653699e-05
6.01196289062;1.70699843592e-05;2.42267850653e-05;3.18996440855e-06;3.51061272591e-06
6.04248046875;2.19022037031e-05;2.44051020585e-05;4.56173116211e-05;4.49621312109e-05
6.07299804688;5.94118098058e-05;5.97684496984e-05;5.67966902733e-05;5.52763657416e-05
6.103515625;1.16021365193e-05;5.0767363297e-06;7.04638564543e-05;7.0240322175e-05
6.13403320312;3.82472069801e-05;2.85318312349e-05;3.828851537e-05;3.79833879977e-05
6.16455078125;1.34165101964e-05;1.70134746676e-05;7.7702053462e-05;7.7900900183e-05
6.19506835938;5.6388891711e-05;2.97273231541e-05;2.62588607651e-05;2.51252507031e-05
6.2255859375;2.60460542436e-05;1.21976949408e-05;4.74173151847e-05;4.78921850417e-05
6.25610351562;5.70204618503e-05;6.48488172583e-05;6.73177356648e-05;6.44973130905e-05
6.28662109375;6.08215750828e-05;2.44130246027e-05;8.84128241507e-05;8.8901514407e-05
6.31713867188;1.9651408447e-05;2.77187265073e-05;3.21747715546e-05;3.14407947659e-05
6.34765625;3.27982761735e-05;2.2300313043e-05;6.73642005984e-05;6.74404804006e-05
6.37817382812;3.66701531384e-05;6.44174547983e-05;7.4288724828e-05;7.1827693023e-05
6.40869140625;1.11549007495e-05;4.37820444046e-05;9.51579267712e-05;9.59958624984e-05
6.43920898438;1.69233769163e-05;1.87663259993e-05;0.000107700955628;0.000107593151927
6.4697265625;4.8838335937e-05;2.79880646879e-05;3.464615051e-05;3.26165775769e-05
6.50024414062;3.45417553103e-05;3.3442421205e-05;5.45220829444e-05;5.34140713968e-05
6.53076171875;3.65775866395e-05;5.72953469104e-05;8.43543488849e-05;8.32990069929e-05
6.56127929688;5.60048073201e-05;3.86136177954e-05;4.34056400403e-05;4.07612528671e-05
6.591796875;8.60449487703e-06;5.7420417235e-05;8.43605468149e-05;8.34652439524e-05
6.62231445312;1.82127310578e-05;2.6543420914e-05;3.79089384161e-05;3.66922768902e-05
6.65283203125;1.71067353383e-05;7.31359372372e-06;9.41952100604e-05;9.39872717636e-05
6.68334960938;2.55988456344e-05;6.53740148912e-05;5.76543544221e-05;5.88326469706e-05
6.7138671875;4.385723845e-05;6.06912103566e-05;6.54582664557e-06;9.65200185336e-06
6.74438476562;4.00522224621e-05;4.16969511224e-05;6.10550604724e-05;6.18933910455e-05
6.77490234375;2.0019030413e-05;4.74039057805e-05;6.67987208528e-05;6.84971041298e-05
6.80541992188;1.90449392745e-05;3.93586423677e-05;6.88498804253e-05;6.72622475434e-05
6.8359375;4.23785214671e-05;4.1775221586e-05;3.48868937542e-05;3.4992148187e-05
6.86645507812;5.42495124317e-05;2.97018006207e-05;8.48283273866e-05;8.53163807342e-05
6.89697265625;6.00485340991e-05;8.17408480335e-05;5.06131641281e-05;4.98249007326e-05
6.92749023438;2.41365319723e-05;3.24616904822e-05;7.99360438457e-05;8.01799283562e-05
6.9580078125;5.76074250431e-05;4.64148109941e-05;0.000110700075887;0.000109901259982
6.98852539062;1.64273743156e-05;3.10811187328e-05;1.80961067912e-05;1.72313365723e-05
7.01904296875;2.13670797218e-05;7.19888999856e-06;6.1919352097e-05;6.18241042094e-05
7.04956054688;1.98053785759e-05;8.14363075037e-05;7.90870972204e-05;8.04056365606e-05
7.080078125;3.79217454579e-05;3.22261463935e-05;7.68457495565e-06;8.03856341782e-06
7.11059570312;2.60961025387e-05;2.43638511781e-05;0.000141949346627;0.00014276054825
7.14111328125;9.70394873376e-05;4.44722645308e-05;7.07374251177e-05;6.780080091e-05
7.17163085938;6.77648294943e-05;1.32435510483e-05;3.32329917201e-05;3.36008014786e-05
7.2021484375;4.05620672029e-05;5.41882058589e-05;0.000106720157086;0.000105254597796
7.23266601562;2.11239630559e-05;5.72154341014e-05;7.65200470859e-05;7.87697040377e-05
7.26318359375;1.96860258322e-05;2.30986880861e-05;5.87890983876e-05;5.91366542396e-05
7.29370117188;5.33128222016e-05;2.27684433708e-05;1.59421320873e-05;1.45642270552e-05
7.32421875;2.14061757273e-05;4.74659188289e-05;8.79152778717e-05;8.62229093996e-05
7.35473632812;5.85658857005e-05;3.18230551211e-05;5.86710958439e-05;5.90286504231e-05
7.38525390625;1.13607324615e-05;3.97274832537e-05;0.000104026912112;0.000104660983892
7.41577148438;3.32184455029e-05;3.69700959738e-05;4.25521772801e-05;4.45842681896e-05
7.4462890625;2.44157982831e-05;3.21904452327e-05;9.63877189435e-05;9.7561633153e-05
7.47680664062;3.92834806707e-05;7.03834382899e-05;4.66523689311e-05;4.91922833697e-05
7.50732421875;2.44557953405e-05;2.21354407303e-05;5.11683940397e-05;5.17264871379e-05
7.53784179688;4.51064778639e-05;3.81036751677e-05;2.61825242005e-05;2.77331305467e-05
7.568359375;7.72668914377e-05;2.33020009455e-05;4.42578206383e-05;4.52658415875e-05
7.59887695312;6.40052864137e-05;4.77141136934e-05;8.04298944507e-05;7.84106746467e-05
