ax(g);ay(g);az(g);accRMS(g);time(s)
0.0015;0.0020;-0.0010;0.0026;0.1322
-0.0012;-0.0012;0.0059;0.0061;0.1331
-0.0083;-0.0034;0.0068;0.0113;0.1339
-0.0090;-0.0024;0.0061;0.0112;0.1351
-0.0024;-0.0007;0.0059;0.0064;0.1363
-0.0007;0.0005;0.0027;0.0028;0.1373
0.0005;0.0054;0.0073;0.0091;0.1382
0.0032;0.0010;0.0032;0.0046;0.1391
0.0029;-0.0049;0.0037;0.0068;0.1399
0.0032;0.0005;0.0024;0.0040;0.1408
0.0002;0.0027;-0.0046;0.0054;0.1417
-0.0005;-0.0007;-0.0042;0.0042;0.1434
0.0010;0.0034;-0.0068;0.0077;0.1446
0.0027;-0.0002;0.0078;0.0083;0.1455
0.0022;-0.0012;0.0071;0.0075;0.1464
0.0054;-0.0017;0.0002;0.0056;0.1473
0.0017;-0.0022;-0.0039;0.0048;0.1481
-0.0017;0.0002;-0.0061;0.0063;0.1490
0.0024;-0.0032;0.0051;0.0065;0.1499
0.0061;0.0061;0.0081;0.0118;0.1508
0.0024;0.0007;0.0037;0.0045;0.1517
0.0037;-0.0012;0.0046;0.0060;0.1533
0.0020;0.0044;0.0068;0.0084;0.1542
-0.0034;0.0051;-0.0015;0.0063;0.1551
-0.0010;-0.0027;-0.0044;0.0052;0.1559
-0.0046;-0.0046;0.0017;0.0068;0.1568
-0.0049;-0.0010;0.0017;0.0053;0.1577
-0.0044;0.0005;0.0027;0.0052;0.1593
-0.0037;-0.0027;-0.0007;0.0046;0.1602
0.0015;-0.0068;-0.0024;0.0074;0.1611
0.0051;-0.0056;0.0022;0.0079;0.1620
0.0010;-0.0051;-0.0007;0.0053;0.1629
0.0017;-0.0010;0.0005;0.0020;0.1637
0.0051;0.0034;-0.0051;0.0080;0.1646
0.0000;0.0010;-0.0061;0.0062;0.1663
0.0002;0.0010;0.0002;0.0010;0.1679
0.0007;-0.0032;0.0088;0.0094;0.1688
0.0046;-0.0017;0.0061;0.0079;0.1697
0.0039;0.0046;0.0007;0.0061;0.1713
0.0039;0.0078;-0.0054;0.0103;0.1722
0.0046;0.0034;-0.0015;0.0059;0.1730
0.0005;-0.0005;-0.0034;0.0035;0.1739
-0.0037;0.0046;-0.0088;0.0106;0.1748
-0.0005;0.0027;-0.0032;0.0042;0.1757
-0.0007;-0.0015;-0.0039;0.0042;0.1774
-0.0015;0.0037;0.0017;0.0043;0.1783
-0.0020;0.0020;0.0032;0.0042;0.1792
-0.0029;-0.0024;0.0056;0.0068;0.1801
-0.0044;-0.0061;0.0120;0.0141;0.1810
-0.0005;-0.0073;0.0010;0.0074;0.1819
0.0017;-0.0039;-0.0015;0.0045;0.1828
-0.0010;-0.0049;0.0051;0.0071;0.1837
0.0002;0.0002;0.0059;0.0059;0.1847
-0.0046;0.0017;0.0081;0.0095;0.1863
0.0015;0.0051;0.0061;0.0081;0.1872
0.0056;0.0044;0.0059;0.0092;0.1881
0.0010;-0.0005;0.0059;0.0060;0.1890
0.0029;0.0027;-0.0017;0.0043;0.1899
0.0020;0.0012;-0.0046;0.0052;0.1908
0.0000;-0.0010;-0.0044;0.0045;0.1916
-0.0007;0.0002;-0.0051;0.0052;0.1933
0.0083;-0.0017;-0.0037;0.0092;0.1964
0.0000;0.0020;-0.0054;0.0057;0.1976
-0.0034;0.0000;0.0063;0.0072;0.1988
0.0000;0.0037;0.0000;0.0037;0.2001
0.0017;0.0039;0.0071;0.0083;0.2011
0.0020;0.0000;0.0024;0.0031;0.2022
0.0051;0.0027;0.0027;0.0064;0.2032
-0.0007;0.0002;0.0032;0.0033;0.2043
0.0012;0.0027;-0.0032;0.0043;0.2054
0.0010;0.0015;0.0015;0.0023;0.2067
0.0015;-0.0049;-0.0002;0.0051;0.2082
-0.0007;-0.0054;0.0029;0.0062;0.2098
-0.0024;-0.0007;-0.0032;0.0041;0.2110
0.0020;-0.0049;0.0034;0.0063;0.2120
-0.0034;-0.0024;0.0037;0.0056;0.2131
0.0012;-0.0002;0.0039;0.0041;0.2141
0.0017;0.0005;-0.0007;0.0019;0.2151
-0.0049;-0.0054;-0.0007;0.0073;0.2161
-0.0044;0.0005;0.0010;0.0045;0.2171
-0.0010;0.0029;0.0032;0.0044;0.2181
-0.0012;0.0032;0.0105;0.0110;0.2191
-0.0022;-0.0012;-0.0066;0.0071;0.2201
-0.0020;-0.0034;-0.0054;0.0067;0.2211
-0.0020;-0.0015;0.0022;0.0033;0.2228
-0.0005;-0.0024;0.0029;0.0038;0.2250
0.0007;-0.0024;-0.0039;0.0047;0.2263
0.0044;0.0039;0.0029;0.0066;0.2273
0.0032;0.0012;0.0037;0.0050;0.2285
-0.0020;0.0029;-0.0061;0.0070;0.2298
0.0005;-0.0012;0.0000;0.0013;0.2311
0.0017;-0.0010;0.0007;0.0021;0.2323
0.0037;0.0051;-0.0017;0.0065;0.2336
-0.0029;-0.0020;0.0024;0.0043;0.2348
0.0015;0.0020;-0.0002;0.0025;0.2359
0.0044;0.0044;-0.0042;0.0075;0.2369
0.0059;0.0039;0.0042;0.0082;0.2379
0.0000;0.0017;0.0044;0.0047;0.2388
0.0029;0.0051;0.0012;0.0060;0.2398
-0.0005;-0.0007;0.0024;0.0026;0.2409
-0.0010;-0.0024;-0.0017;0.0031;0.2424
-0.0015;0.0012;-0.0046;0.0050;0.2439
-0.0034;0.0002;0.0032;0.0047;0.2455
0.0010;0.0034;0.0044;0.0057;0.2468
0.0054;0.0042;-0.0032;0.0075;0.2478
0.0017;0.0034;-0.0049;0.0062;0.2489
0.0002;0.0010;0.0024;0.0026;0.2499
0.0007;0.0015;0.0000;0.0016;0.2509
0.0012;0.0005;-0.0051;0.0053;0.2519
0.0107;0.0046;0.0039;0.0123;0.2529
0.0020;0.0029;-0.0002;0.0035;0.2539
0.0002;-0.0012;-0.0034;0.0036;0.2549
0.0042;-0.0044;-0.0029;0.0067;0.2559
-0.0010;0.0017;0.0056;0.0060;0.2569
-0.0044;0.0005;0.0068;0.0081;0.2585
0.0015;-0.0032;0.0125;0.0129;0.2605
-0.0022;0.0037;0.0098;0.0107;0.2616
-0.0042;0.0071;0.0046;0.0094;0.2625
-0.0049;0.0034;-0.0017;0.0062;0.2634
0.0005;-0.0012;-0.0010;0.0016;0.2643
-0.0015;-0.0056;0.0076;0.0095;0.2652
-0.0046;-0.0059;0.0000;0.0075;0.2663
0.0029;-0.0024;-0.0044;0.0058;0.2674
0.0039;-0.0020;-0.0012;0.0045;0.2685
-0.0066;-0.0015;-0.0010;0.0068;0.2695
-0.0049;-0.0007;0.0000;0.0049;0.2704
-0.0081;0.0015;-0.0042;0.0092;0.2714
-0.0015;0.0012;-0.0042;0.0046;0.2723
-0.0037;0.0010;0.0081;0.0089;0.2732
0.0000;0.0068;-0.0010;0.0069;0.2741
0.0027;0.0034;0.0002;0.0044;0.2751
-0.0010;0.0000;0.0059;0.0059;0.2760
0.0032;0.0010;0.0032;0.0046;0.2771
-0.0022;0.0000;0.0029;0.0037;0.2782
-0.0010;-0.0007;0.0015;0.0019;0.2793
0.0046;-0.0024;0.0000;0.0052;0.2805
0.0042;0.0000;-0.0032;0.0052;0.2817
0.0039;-0.0042;0.0046;0.0073;0.2829
0.0012;-0.0034;0.0017;0.0040;0.2840
0.0012;0.0059;-0.0012;0.0061;0.2850
0.0012;-0.0017;-0.0098;0.0100;0.2859
-0.0076;-0.0029;0.0000;0.0081;0.2868
-0.0017;0.0061;0.0088;0.0108;0.2885
0.0010;0.0039;0.0044;0.0060;0.2894
0.0007;-0.0012;0.0081;0.0082;0.2903
0.0002;-0.0039;0.0039;0.0055;0.2912
-0.0042;0.0007;-0.0005;0.0042;0.2920
-0.0037;-0.0022;-0.0034;0.0055;0.2929
-0.0032;0.0039;0.0068;0.0085;0.2938
-0.0061;-0.0049;0.0051;0.0093;0.2950
-0.0007;-0.0027;0.0054;0.0060;0.2959
-0.0012;0.0010;0.0037;0.0040;0.2968
0.0002;0.0042;0.0020;0.0046;0.2984
0.0000;0.0088;0.0002;0.0088;0.2993
0.0034;0.0005;-0.0049;0.0060;0.3002
0.0012;-0.0051;-0.0039;0.0066;0.3010
0.0049;-0.0032;-0.0007;0.0059;0.3019
-0.0044;-0.0034;-0.0029;0.0063;0.3029
0.0037;0.0029;0.0024;0.0053;0.3039
0.0027;0.0012;0.0042;0.0051;0.3049
-0.0017;-0.0049;0.0088;0.0102;0.3058
-0.0059;0.0034;0.0017;0.0070;0.3074
-0.0042;0.0022;0.0007;0.0048;0.3083
-0.0051;-0.0002;0.0000;0.0051;0.3092
-0.0024;0.0044;0.0039;0.0064;0.3101
-0.0039;0.0005;0.0073;0.0083;0.3109
-0.0066;0.0000;0.0005;0.0066;0.3118
-0.0007;-0.0017;0.0073;0.0076;0.3135
