ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0007;-0.0015;0.0073;0.0075;0.0000
0.0015;0.0012;-0.0017;0.0026;0.0571
0.0012;0.0024;-0.0015;0.0031;0.0649
0.0015;0.0054;0.0076;0.0094;0.0726
-0.0002;-0.0024;0.0017;0.0030;0.0804
-0.0007;-0.0024;0.0120;0.0122;0.0884
0.0017;-0.0046;-0.0054;0.0073;0.0967
0.0032;-0.0078;0.0017;0.0086;0.1030
0.0000;-0.0059;0.0007;0.0059;0.1090
-0.0020;-0.0027;0.0063;0.0072;0.1150
-0.0046;-0.0007;0.0010;0.0048;0.1207
0.0032;-0.0012;0.0059;0.0068;0.1267
-0.0017;-0.0056;-0.0081;0.0100;0.1324
-0.0017;0.0015;-0.0002;0.0023;0.1381
0.0022;-0.0010;-0.0061;0.0066;0.1439
-0.0002;-0.0076;0.0010;0.0076;0.1496
0.0007;-0.0007;-0.0015;0.0018;0.1552
0.0000;0.0022;-0.0034;0.0041;0.1608
0.0005;-0.0012;0.0051;0.0053;0.1664
0.0068;0.0007;0.0073;0.0100;0.1720
-0.0017;0.0103;-0.0054;0.0117;0.1777
0.0027;0.0054;0.0010;0.0061;0.1834
0.0037;0.0056;-0.0012;0.0068;0.1891
0.0034;0.0010;-0.0017;0.0039;0.1948
0.0007;0.0034;-0.0076;0.0083;0.2010
-0.0002;0.0093;-0.0034;0.0099;0.2071
-0.0017;0.0010;-0.0029;0.0035;0.2131
-0.0037;0.0002;0.0027;0.0045;0.2188
-0.0037;0.0017;0.0151;0.0157;0.2244
0.0024;0.0027;-0.0042;0.0055;0.2301
0.0037;-0.0002;0.0042;0.0055;0.2357
0.0012;0.0017;-0.0046;0.0051;0.2413
0.0017;-0.0027;0.0017;0.0036;0.2471
0.0015;-0.0012;-0.0046;0.0050;0.2528
0.0056;-0.0037;0.0017;0.0069;0.2586
-0.0046;-0.0024;0.0029;0.0060;0.2642
-0.0024;0.0002;0.0054;0.0059;0.2698
-0.0034;0.0000;-0.0044;0.0056;0.2755
0.0024;0.0020;0.0005;0.0032;0.2811
0.0017;-0.0020;-0.0012;0.0029;0.2867
0.0020;0.0002;0.0027;0.0033;0.2925
-0.0032;-0.0015;-0.0024;0.0043;0.2984
0.0068;0.0012;0.0059;0.0091;0.3041
0.0024;0.0010;0.0034;0.0043;0.3097
0.0042;0.0054;0.0022;0.0071;0.3153
0.0024;0.0034;0.0007;0.0043;0.3209
0.0005;-0.0012;0.0044;0.0046;0.3265
-0.0029;0.0022;0.0005;0.0037;0.3321
-0.0015;0.0034;-0.0051;0.0063;0.3377
0.0022;-0.0020;-0.0010;0.0031;0.3434
0.0022;0.0024;0.0029;0.0044;0.3492
0.0107;0.0046;-0.0073;0.0138;0.3548
0.0032;-0.0007;0.0002;0.0033;0.3604
0.0010;-0.0029;-0.0020;0.0037;0.3660
0.0005;0.0012;-0.0015;0.0020;0.3716
0.0037;-0.0024;0.0039;0.0059;0.3773
0.0000;0.0002;0.0020;0.0020;0.3829
0.0032;-0.0032;0.0002;0.0045;0.3885
0.0002;0.0015;0.0083;0.0084;0.3942
-0.0007;0.0015;0.0032;0.0036;0.4001
-0.0005;0.0059;0.0034;0.0068;0.4057
-0.0015;-0.0017;-0.0020;0.0030;0.4114
0.0027;-0.0012;0.0017;0.0034;0.4170
-0.0042;-0.0005;-0.0005;0.0042;0.4226
-0.0010;0.0039;0.0054;0.0067;0.4282
0.0020;0.0042;0.0042;0.0062;0.4338
-0.0017;0.0015;-0.0002;0.0023;0.4394
-0.0012;0.0073;0.0005;0.0074;0.4450
0.0007;0.0071;0.0039;0.0081;0.4508
0.0010;-0.0012;0.0020;0.0025;0.4564
