ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0107;-0.0397;1.0032;1.0040;0.0000
-0.0112;-0.0393;1.0037;1.0045;0.5083
-0.0107;-0.0398;1.0046;1.0055;0.7616
-0.0100;-0.0409;1.0040;1.0049;1.0149
-0.0110;-0.0409;1.0039;1.0048;1.2683
-0.0111;-0.0406;1.0044;1.0053;1.5216
-0.0109;-0.0400;1.0044;1.0053;1.7750
-0.0106;-0.0399;1.0044;1.0052;2.0283
-0.0112;-0.0402;1.0056;1.0065;2.2816
-0.0112;-0.0409;1.0044;1.0053;2.5350
-0.0110;-0.0400;1.0060;1.0068;2.7884
-0.0101;-0.0398;1.0049;1.0057;3.0418
-0.0112;-0.0399;1.0052;1.0061;3.2952
-0.0110;-0.0403;1.0055;1.0064;3.5486
-0.0111;-0.0408;1.0049;1.0058;3.8019
-0.0103;-0.0409;1.0049;1.0058;4.0553
-0.0111;-0.0405;1.0043;1.0052;4.3087
-0.0115;-0.0400;1.0062;1.0071;4.5620
-0.0114;-0.0396;1.0043;1.0051;4.8154
-0.0105;-0.0406;1.0048;1.0056;5.0687
-0.0115;-0.0398;1.0040;1.0049;5.3221
-0.0115;-0.0408;1.0044;1.0053;5.5754
-0.0110;-0.0409;1.0061;1.0070;5.8288
-0.0106;-0.0398;1.0046;1.0055;6.0822
-0.0104;-0.0404;1.0050;1.0059;6.3355
-0.0106;-0.0405;1.0024;1.0033;6.5889
-0.0107;-0.0394;1.0054;1.0062;6.8422
-0.0101;-0.0405;1.0051;1.0060;7.0956
-0.0112;-0.0409;1.0035;1.0044;7.3489
-0.0114;-0.0406;1.0044;1.0053;7.6022
-0.0103;-0.0413;1.0052;1.0061;7.8556
-0.0109;-0.0405;1.0027;1.0036;8.1090
-0.0110;-0.0411;1.0049;1.0058;8.3623
-0.0111;-0.0403;1.0056;1.0065;8.6158
-0.0110;-0.0402;1.0045;1.0054;8.8692
-0.0103;-0.0402;1.0051;1.0060;9.1226
-0.0110;-0.0402;1.0048;1.0056;9.3760
-0.0105;-0.0406;1.0045;1.0054;9.6293
-0.0121;-0.0398;1.0043;1.0051;9.8827
-0.0109;-0.0405;1.0043;1.0051;10.1360
-0.0099;-0.0399;1.0059;1.0067;10.3895
-0.0114;-0.0404;1.0048;1.0056;10.6430
-0.0099;-0.0404;1.0048;1.0056;10.8963
-0.0114;-0.0404;1.0042;1.0050;11.1497
-0.0114;-0.0388;1.0048;1.0056;11.4030
-0.0103;-0.0400;1.0048;1.0056;11.6829
-0.0112;-0.0414;1.0049;1.0058;11.9364
-0.0111;-0.0389;1.0042;1.0050;12.1898
-0.0104;-0.0403;1.0044;1.0053;12.4435
-0.0118;-0.0411;1.0038;1.0047;12.6969
-0.0100;-0.0416;1.0050;1.0059;12.9503
-0.0110;-0.0398;1.0054;1.0062;13.2039
-0.0112;-0.0405;1.0037;1.0045;13.4574
-0.0115;-0.0400;1.0040;1.0049;13.7109
-0.0111;-0.0404;1.0039;1.0048;13.9645
-0.0106;-0.0399;1.0038;1.0046;14.2180
-0.0103;-0.0403;1.0048;1.0056;14.4715
-0.0107;-0.0392;1.0043;1.0051;14.7249
-0.0107;-0.0402;1.0039;1.0048;14.9785
-0.0110;-0.0402;1.0040;1.0049;15.2322
-0.0109;-0.0400;1.0059;1.0067;15.4857
-0.0111;-0.0400;1.0051;1.0060;15.7392
-0.0106;-0.0406;1.0040;1.0049;15.9927
-0.0109;-0.0398;1.0045;1.0054;16.2460
-0.0115;-0.0408;1.0043;1.0052;16.4995
-0.0105;-0.0399;1.0051;1.0060;16.7530
-0.0107;-0.0404;1.0043;1.0051;17.0064
-0.0107;-0.0397;1.0054;1.0062;17.2600
-0.0123;-0.0409;1.0044;1.0053;17.5150
-0.0116;-0.0404;1.0051;1.0060;17.7696
