ax(g);ay(g);az(g);accRMS(g);time(s)
0.1428;0.1870;0.9196;0.9492;0.0000
0.1433;0.1866;0.9192;0.9488;0.5037
0.1434;0.1868;0.9198;0.9495;0.7556
0.1425;0.1870;0.9186;0.9482;1.0076
0.1427;0.1881;0.9191;0.9489;1.2596
0.1427;0.1879;0.9208;0.9505;1.5116
0.1432;0.1875;0.9191;0.9489;1.7636
0.1433;0.1873;0.9196;0.9493;2.0156
0.1434;0.1875;0.9193;0.9491;2.2676
0.1437;0.1877;0.9189;0.9489;2.5196
0.1431;0.1875;0.9202;0.9499;2.7715
0.1431;0.1876;0.9207;0.9504;3.0235
0.1422;0.1876;0.9199;0.9496;3.2755
0.1436;0.1870;0.9182;0.9480;3.5275
0.1433;0.1871;0.9188;0.9486;3.7795
0.1434;0.1874;0.9189;0.9488;4.0315
0.1433;0.1884;0.9187;0.9487;4.2834
0.1443;0.1875;0.9199;0.9499;4.5354
0.1431;0.1885;0.9193;0.9493;4.7875
0.1440;0.1870;0.9189;0.9488;5.0395
0.1443;0.1870;0.9188;0.9487;5.2914
0.1438;0.1866;0.9185;0.9482;5.5434
0.1429;0.1876;0.9188;0.9486;5.7954
0.1444;0.1869;0.9191;0.9489;6.0475
0.1438;0.1870;0.9189;0.9487;6.2995
0.1434;0.1870;0.9204;0.9501;6.5516
0.1438;0.1874;0.9186;0.9485;6.8036
0.1448;0.1871;0.9187;0.9487;7.0552
0.1429;0.1863;0.9185;0.9480;7.3070
0.1443;0.1880;0.9182;0.9483;7.5592
0.1425;0.1873;0.9209;0.9505;7.8112
0.1426;0.1875;0.9194;0.9491;8.0632
0.1432;0.1880;0.9182;0.9481;8.3153
0.1437;0.1860;0.9181;0.9477;8.5673
0.1433;0.1881;0.9203;0.9502;8.8192
0.1428;0.1885;0.9198;0.9497;9.0709
0.1428;0.1880;0.9196;0.9494;9.3225
0.1421;0.1874;0.9200;0.9496;9.5743
0.1438;0.1876;0.9189;0.9489;9.8262
0.1434;0.1875;0.9205;0.9503;10.0783
0.1434;0.1874;0.9186;0.9484;10.3303
0.1436;0.1873;0.9197;0.9495;10.5823
0.1434;0.1868;0.9198;0.9495;10.8343
0.1439;0.1881;0.9185;0.9485;11.0864
0.1439;0.1869;0.9176;0.9474;11.3384
0.1429;0.1879;0.9211;0.9509;11.5904
0.1439;0.1873;0.9192;0.9490;11.8425
0.1427;0.1876;0.9189;0.9487;12.0944
0.1432;0.1877;0.9202;0.9500;12.3461
0.1434;0.1870;0.9186;0.9483;12.5980
0.1433;0.1882;0.9189;0.9489;12.8498
0.1433;0.1871;0.9183;0.9481;13.1018
0.1428;0.1876;0.9188;0.9486;13.3538
0.1438;0.1876;0.9181;0.9480;13.6057
0.1429;0.1887;0.9203;0.9503;13.8577
0.1437;0.1869;0.9182;0.9480;14.1097
0.1428;0.1887;0.9188;0.9488;14.3617
0.1439;0.1869;0.9191;0.9489;14.6137
0.1426;0.1871;0.9197;0.9493;14.8656
0.1436;0.1869;0.9186;0.9483;15.1177
