ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0115;-0.0411;1.0063;1.0073;30.1139
-0.0110;-0.0400;1.0039;1.0048;30.3672
-0.0116;-0.0397;1.0032;1.0040;30.6208
-0.0110;-0.0406;1.0043;1.0052;30.8764
-0.0104;-0.0405;1.0038;1.0047;31.1317
-0.0106;-0.0403;1.0054;1.0062;31.3869
-0.0100;-0.0409;1.0043;1.0052;31.6422
-0.0118;-0.0405;1.0048;1.0056;31.8978
-0.0106;-0.0400;1.0055;1.0063;32.1530
-0.0109;-0.0415;1.0038;1.0047;32.4083
-0.0106;-0.0396;1.0054;1.0062;32.6636
-0.0112;-0.0422;1.0056;1.0066;32.9188
-0.0105;-0.0403;1.0038;1.0046;33.1741
-0.0116;-0.0414;1.0034;1.0043;33.4293
-0.0105;-0.0413;1.0051;1.0060;33.6846
-0.0101;-0.0400;1.0037;1.0045;33.9399
-0.0109;-0.0409;1.0040;1.0049;34.1951
-0.0111;-0.0402;1.0029;1.0038;34.4504
-0.0106;-0.0406;1.0048;1.0056;34.7057
-0.0110;-0.0413;1.0042;1.0051;34.9610
-0.0106;-0.0399;1.0049;1.0057;35.2163
-0.0109;-0.0403;1.0043;1.0051;35.4715
-0.0095;-0.0406;1.0049;1.0057;35.7267
-0.0107;-0.0402;1.0042;1.0050;35.9820
-0.0101;-0.0410;1.0051;1.0060;36.2373
-0.0110;-0.0403;1.0043;1.0051;36.4926
-0.0103;-0.0408;1.0043;1.0052;36.7479
-0.0107;-0.0400;1.0066;1.0074;37.0032
-0.0112;-0.0416;1.0048;1.0057;37.2585
-0.0104;-0.0400;1.0043;1.0051;37.5138
-0.0103;-0.0405;1.0046;1.0055;37.7691
-0.0107;-0.0397;1.0049;1.0057;38.0243
-0.0107;-0.0398;1.0048;1.0056;38.2796
-0.0109;-0.0404;1.0051;1.0060;38.5349
-0.0107;-0.0414;1.0042;1.0051;38.7901
-0.0110;-0.0398;1.0042;1.0050;39.0455
-0.0105;-0.0404;1.0044;1.0053;39.3008
-0.0109;-0.0403;1.0037;1.0045;39.5562
-0.0106;-0.0398;1.0052;1.0061;39.8115
-0.0101;-0.0405;1.0048;1.0056;40.0669
-0.0112;-0.0408;1.0029;1.0038;40.3224
-0.0105;-0.0403;1.0046;1.0055;40.5780
-0.0105;-0.0409;1.0049;1.0058;40.8334
-0.0105;-0.0408;1.0048;1.0056;41.0887
-0.0101;-0.0405;1.0043;1.0051;41.3440
-0.0110;-0.0410;1.0042;1.0050;41.5992
-0.0104;-0.0400;1.0052;1.0061;41.8545
-0.0096;-0.0411;1.0044;1.0053;42.1098
-0.0099;-0.0402;1.0044;1.0052;42.3652
-0.0111;-0.0404;1.0042;1.0050;42.6206
-0.0100;-0.0414;1.0043;1.0052;42.8760
