ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.0982;-0.3976;9.8507;9.8592;0.0000
-0.0958;-0.4000;9.8591;9.8677;0.0119
-0.1006;-0.4000;9.8615;9.8701;0.0158
-0.1018;-0.4000;9.8615;9.8701;0.0197
-0.1030;-0.4000;9.8627;9.8713;0.0239
-0.1042;-0.3964;9.8651;9.8736;0.0277
-0.1030;-0.3916;9.8603;9.8686;0.0315
-0.1054;-0.3916;9.8591;9.8674;0.0352
-0.1006;-0.3880;9.8567;9.8648;0.0390
-0.0982;-0.3892;9.8543;9.8625;0.0427
-0.0982;-0.3892;9.8531;9.8613;0.0464
-0.0994;-0.3904;9.8507;9.8589;0.0509
-0.0958;-0.3892;9.8435;9.8517;0.0547
-0.0934;-0.3916;9.8423;9.8506;0.0585
-0.0922;-0.3952;9.8447;9.8531;0.0622
-0.0946;-0.3952;9.8435;9.8519;0.0659
-0.0958;-0.3904;9.8399;9.8481;0.0707
-0.0994;-0.3892;9.8375;9.8457;0.0745
-0.1018;-0.3856;9.8363;9.8444;0.0783
-0.1006;-0.3868;9.8351;9.8433;0.0821
-0.0982;-0.3868;9.8351;9.8432;0.0858
-0.0982;-0.3868;9.8387;9.8468;0.0895
-0.0970;-0.3868;9.8375;9.8456;0.0933
-0.0958;-0.3904;9.8387;9.8469;0.0970
-0.0982;-0.3904;9.8387;9.8470;0.1008
-0.1018;-0.3928;9.8435;9.8519;0.1046
-0.0994;-0.3904;9.8411;9.8494;0.1084
-0.0994;-0.3892;9.8411;9.8493;0.1159
-0.0994;-0.3916;9.8507;9.8590;0.1196
-0.0994;-0.3928;9.8531;9.8614;0.1235
-0.1042;-0.3952;9.8507;9.8592;0.1273
-0.1078;-0.3988;9.8471;9.8558;0.1311
-0.1066;-0.4000;9.8483;9.8570;0.1384
-0.1042;-0.4024;9.8507;9.8595;0.1422
-0.1006;-0.4036;9.8555;9.8643;0.1459
-0.0958;-0.4060;9.8483;9.8571;0.1504
-0.0970;-0.4036;9.8459;9.8547;0.1543
-0.0994;-0.4036;9.8459;9.8547;0.1580
-0.0982;-0.4036;9.8495;9.8583;0.1618
-0.0994;-0.4024;9.8459;9.8546;0.1655
-0.0994;-0.4000;9.8447;9.8534;0.1694
-0.1006;-0.3976;9.8459;9.8545;0.1732
-0.1006;-0.3940;9.8423;9.8507;0.1770
-0.0994;-0.3964;9.8411;9.8496;0.1808
-0.0982;-0.3940;9.8411;9.8495;0.1845
-0.1006;-0.3928;9.8423;9.8507;0.1882
-0.1006;-0.3928;9.8375;9.8459;0.1920
-0.1006;-0.3892;9.8387;9.8469;0.1957
-0.0982;-0.3940;9.8411;9.8495;0.1994
-0.0994;-0.3976;9.8471;9.8556;0.2036
-0.1006;-0.4000;9.8507;9.8593;0.2074
-0.0994;-0.4000;9.8531;9.8617;0.2112
-0.0970;-0.3988;9.8555;9.8640;0.2149
-0.0946;-0.3964;9.8579;9.8663;0.2187
-0.0934;-0.3940;9.8543;9.8626;0.2224
-0.0946;-0.3940;9.8531;9.8614;0.2262
-0.0958;-0.3976;9.8531;9.8616;0.2299
-0.0970;-0.3964;9.8543;9.8628;0.2336
-0.0994;-0.3964;9.8531;9.8616;0.2373
-0.0994;-0.3952;9.8579;9.8663;0.2411
-0.0970;-0.3940;9.8627;9.8710;0.2449
-0.0994;-0.3952;9.8699;9.8783;0.2486
-0.1006;-0.3976;9.8639;9.8724;0.2527
-0.0970;-0.3988;9.8603;9.8688;0.2564
-0.0958;-0.3988;9.8591;9.8676;0.2602
-0.0970;-0.4000;9.8555;9.8641;0.2639
-0.0958;-0.3976;9.8591;9.8676;0.2677
-0.0994;-0.4012;9.8555;9.8642;0.2715
-0.1006;-0.4024;9.8603;9.8690;0.2753
-0.1042;-0.4036;9.8567;9.8655;0.2791
-0.1054;-0.4012;9.8531;9.8618;0.2828
-0.1030;-0.3952;9.8507;9.8592;0.2865
-0.1030;-0.3928;9.8483;9.8567;0.2903
-0.0994;-0.3952;9.8495;9.8579;0.2940
-0.0970;-0.3928;9.8495;9.8578;0.2977
-0.0958;-0.3916;9.8507;9.8590;0.3017
-0.0970;-0.3892;9.8483;9.8565;0.3055
-0.0970;-0.3880;9.8435;9.8517;0.3093
-0.0946;-0.3856;9.8471;9.8551;0.3130
-0.0958;-0.3832;9.8411;9.8491;0.3167
-0.0994;-0.3856;9.8399;9.8480;0.3205
-0.1030;-0.3856;9.8387;9.8468;0.3242
-0.1018;-0.3832;9.8459;9.8539;0.3279
-0.0994;-0.3844;9.8519;9.8599;0.3317
-0.1018;-0.3856;9.8519;9.8600;0.3354
-0.1066;-0.3832;9.8471;9.8552;0.3391
-0.1078;-0.3844;9.8483;9.8564;0.3429
-0.1066;-0.3844;9.8459;9.8540;0.3466
-0.1090;-0.3868;9.8495;9.8577;0.3503
-0.1066;-0.3868;9.8567;9.8649;0.3544
-0.1030;-0.3868;9.8531;9.8612;0.3582
-0.1030;-0.3868;9.8483;9.8565;0.3620
-0.1018;-0.3868;9.8459;9.8540;0.3657
-0.1018;-0.3868;9.8423;9.8505;0.3694
-0.1018;-0.3892;9.8459;9.8541;0.3733
-0.1042;-0.3868;9.8495;9.8577;0.3771
-0.1054;-0.3892;9.8519;9.8602;0.3808
-0.1042;-0.3880;9.8495;9.8577;0.3846
-0.1054;-0.3868;9.8495;9.8577;0.3883
-0.1054;-0.3868;9.8471;9.8553;0.3920
-0.1066;-0.3904;9.8471;9.8554;0.3958
-0.1006;-0.3916;9.8495;9.8578;0.3995
-0.1018;-0.3940;9.8459;9.8543;0.4035
-0.1018;-0.3952;9.8507;9.8592;0.4073
-0.1030;-0.3916;9.8495;9.8578;0.4111
-0.1054;-0.3928;9.8459;9.8543;0.4148
-0.1018;-0.3940;9.8435;9.8519;0.4186
-0.1018;-0.3916;9.8435;9.8518;0.4223
-0.1018;-0.3952;9.8495;9.8580;0.4260
-0.0982;-0.3964;9.8531;9.8616;0.4298
-0.0982;-0.3940;9.8483;9.8567;0.4335
-0.1006;-0.3964;9.8411;9.8496;0.4373
-0.0994;-0.3964;9.8375;9.8460;0.4411
-0.0982;-0.3964;9.8316;9.8400;0.4448
-0.0994;-0.3952;9.8316;9.8400;0.4485
-0.1006;-0.3952;9.8292;9.8376;0.4524
-0.1030;-0.3964;9.8363;9.8449;0.4564
-0.1030;-0.3928;9.8363;9.8447;0.4602
-0.1042;-0.3964;9.8387;9.8473;0.4640
-0.1042;-0.3976;9.8375;9.8461;0.4677
-0.1030;-0.4000;9.8375;9.8462;0.4716
-0.1042;-0.4012;9.8363;9.8451;0.4754
-0.1018;-0.4060;9.8363;9.8452;0.4791
-0.0994;-0.4072;9.8328;9.8417;0.4829
-0.1006;-0.4036;9.8351;9.8439;0.4866
-0.1006;-0.4024;9.8363;9.8451;0.4903
-0.0982;-0.4060;9.8411;9.8500;0.4941
-0.0982;-0.4012;9.8423;9.8510;0.4978
-0.1006;-0.4024;9.8363;9.8451;0.5015
-0.0994;-0.4024;9.8363;9.8451;0.5055
-0.0982;-0.4024;9.8399;9.8487;0.5093
-0.0982;-0.4000;9.8435;9.8521;0.5131
-0.0994;-0.4000;9.8495;9.8581;0.5168
-0.0994;-0.4012;9.8471;9.8558;0.5206
-0.1006;-0.3988;9.8519;9.8605;0.5243
-0.1030;-0.4000;9.8543;9.8630;0.5280
-0.1006;-0.3988;9.8507;9.8593;0.5318
-0.1030;-0.3964;9.8471;9.8556;0.5355
-0.1054;-0.3964;9.8411;9.8497;0.5392
-0.1042;-0.3964;9.8387;9.8473;0.5430
-0.1042;-0.3904;9.8447;9.8530;0.5467
-0.1078;-0.3904;9.8447;9.8531;0.5504
-0.1126;-0.3928;9.8471;9.8556;0.5543
-0.1138;-0.3916;9.8459;9.8544;0.5582
-0.1162;-0.3928;9.8447;9.8532;0.5620
-0.1162;-0.3952;9.8411;9.8498;0.5672
-0.1150;-0.4012;9.8423;9.8512;0.5729
-0.1114;-0.4024;9.8447;9.8536;0.5784
-0.1102;-0.4024;9.8471;9.8560;0.5840
-0.1078;-0.4048;9.8411;9.8500;0.5895
-0.1078;-0.4072;9.8351;9.8442;0.5950
-0.1114;-0.4107;9.8328;9.8420;0.6006
-0.1102;-0.4072;9.8363;9.8454;0.6062
-0.1102;-0.4107;9.8411;9.8503;0.6121
-0.1066;-0.4060;9.8351;9.8441;0.6176
-0.1030;-0.3988;9.8363;9.8450;0.6231
-0.0994;-0.4000;9.8423;9.8510;0.6286
-0.0982;-0.4000;9.8483;9.8569;0.6342
-0.1018;-0.4000;9.8471;9.8558;0.6397
-0.1030;-0.4000;9.8471;9.8558;0.6452
-0.1018;-0.4024;9.8459;9.8547;0.6507
-0.0994;-0.4024;9.8495;9.8582;0.6563
-0.0982;-0.3988;9.8483;9.8569;0.6622
-0.1030;-0.4012;9.8459;9.8546;0.6677
-0.1018;-0.4000;9.8471;9.8558;0.6734
-0.1030;-0.3976;9.8483;9.8569;0.6790
-0.0994;-0.3964;9.8411;9.8496;0.6845
-0.1006;-0.4012;9.8411;9.8498;0.6900
-0.1018;-0.4024;9.8459;9.8547;0.6955
-0.0982;-0.4012;9.8435;9.8522;0.7018
-0.0994;-0.3976;9.8495;9.8580;0.7076
-0.1030;-0.3964;9.8507;9.8592;0.7135
-0.1018;-0.3916;9.8447;9.8530;0.7191
-0.1018;-0.3916;9.8399;9.8483;0.7246
-0.1030;-0.3892;9.8411;9.8494;0.7301
-0.1054;-0.3916;9.8447;9.8531;0.7356
-0.1054;-0.3892;9.8483;9.8566;0.7412
-0.1054;-0.3904;9.8519;9.8602;0.7467
-0.1066;-0.3916;9.8507;9.8591;0.7522
-0.1030;-0.3928;9.8507;9.8591;0.7578
-0.1018;-0.3868;9.8483;9.8564;0.7637
-0.1066;-0.3820;9.8483;9.8563;0.7693
-0.1030;-0.3856;9.8555;9.8636;0.7749
-0.1018;-0.3820;9.8531;9.8610;0.7806
-0.1030;-0.3844;9.8555;9.8635;0.7861
-0.1018;-0.3892;9.8555;9.8637;0.7916
-0.0970;-0.3832;9.8555;9.8634;0.7971
-0.0922;-0.3844;9.8519;9.8598;0.8026
-0.0934;-0.3892;9.8543;9.8624;0.8082
-0.0958;-0.3916;9.8483;9.8566;0.8141
-0.0994;-0.3964;9.8411;9.8496;0.8196
-0.0994;-0.4000;9.8340;9.8426;0.8251
-0.1018;-0.4000;9.8316;9.8402;0.8307
-0.0994;-0.3988;9.8363;9.8449;0.8363
-0.1018;-0.3952;9.8423;9.8508;0.8418
-0.1042;-0.3964;9.8459;9.8545;0.8473
-0.0994;-0.4012;9.8471;9.8558;0.8528
-0.0994;-0.4000;9.8483;9.8569;0.8585
-0.1090;-0.4024;9.8495;9.8583;0.8644
-0.1066;-0.4012;9.8507;9.8595;0.8700
-0.1030;-0.4036;9.8543;9.8631;0.8757
-0.1006;-0.4036;9.8507;9.8595;0.8814
-0.1042;-0.4107;9.8471;9.8562;0.8869
-0.1054;-0.4095;9.8483;9.8574;0.8925
-0.1090;-0.4048;9.8447;9.8536;0.8980
-0.1126;-0.4060;9.8471;9.8561;0.9035
-0.1126;-0.4060;9.8483;9.8573;0.9091
-0.1102;-0.4024;9.8471;9.8560;0.9149
-0.1102;-0.4024;9.8459;9.8548;0.9204
-0.1102;-0.4012;9.8483;9.8571;0.9259
-0.1126;-0.3976;9.8435;9.8522;0.9315
-0.1090;-0.3940;9.8471;9.8556;0.9370
-0.1102;-0.3964;9.8435;9.8521;0.9425
-0.1066;-0.3940;9.8447;9.8532;0.9480
-0.1090;-0.3952;9.8447;9.8533;0.9535
-0.1102;-0.3976;9.8459;9.8546;0.9592
-0.1078;-0.4000;9.8435;9.8522;0.9648
-0.1090;-0.4024;9.8483;9.8571;0.9704
-0.1066;-0.4036;9.8591;9.8679;0.9761
-0.1090;-0.4024;9.8639;9.8727;0.9817
-0.1078;-0.4072;9.8579;9.8669;0.9872
-0.1078;-0.4048;9.8519;9.8608;0.9928
-0.1042;-0.4060;9.8495;9.8584;0.9983
-0.1030;-0.4084;9.8531;9.8621;1.0038
-0.1066;-0.4084;9.8471;9.8562;1.0095
-0.1054;-0.4024;9.8483;9.8571;1.0151
-0.1066;-0.4036;9.8531;9.8619;1.0208
-0.1066;-0.4048;9.8531;9.8620;1.0267
-0.1102;-0.4048;9.8543;9.8632;1.0322
-0.1162;-0.4036;9.8555;9.8644;1.0377
-0.1186;-0.4012;9.8507;9.8596;1.0433
-0.1150;-0.4024;9.8459;9.8548;1.0489
-0.1162;-0.4012;9.8459;9.8548;1.0544
-0.1174;-0.4000;9.8375;9.8464;1.0601
-0.1138;-0.3976;9.8471;9.8558;1.0660
-0.1102;-0.3952;9.8483;9.8569;1.0715
-0.1102;-0.3976;9.8411;9.8498;1.0772
-0.1102;-0.3976;9.8447;9.8534;1.0829
-0.1114;-0.3964;9.8471;9.8557;1.0884
-0.1090;-0.3976;9.8423;9.8510;1.0939
-0.1114;-0.4012;9.8459;9.8547;1.0994
-0.1090;-0.3976;9.8435;9.8522;1.1049
-0.1054;-0.3964;9.8435;9.8521;1.1105
-0.1066;-0.3976;9.8447;9.8533;1.1164
-0.1102;-0.4012;9.8603;9.8691;1.1220
-0.1114;-0.4012;9.8555;9.8643;1.1275
-0.1090;-0.4000;9.8495;9.8582;1.1330
-0.1066;-0.3952;9.8471;9.8556;1.1385
-0.1054;-0.3940;9.8459;9.8544;1.1440
-0.1042;-0.3904;9.8483;9.8566;1.1495
-0.1054;-0.3916;9.8483;9.8567;1.1550
-0.1078;-0.3940;9.8507;9.8592;1.1606
-0.1090;-0.3904;9.8471;9.8555;1.1662
-0.1066;-0.3928;9.8519;9.8603;1.1718
-0.1078;-0.3916;9.8603;9.8687;1.1775
-0.1066;-0.3868;9.8507;9.8589;1.1831
-0.1066;-0.3904;9.8543;9.8626;1.1887
-0.1054;-0.3892;9.8543;9.8626;1.1946
-0.1102;-0.3952;9.8399;9.8485;1.2007
-0.1114;-0.3952;9.8328;9.8413;1.2066
-0.1090;-0.3952;9.8363;9.8449;1.2123
-0.1030;-0.3964;9.8399;9.8485;1.2191
-0.1054;-0.4000;9.8495;9.8582;1.2249
-0.1018;-0.3988;9.8507;9.8593;1.2308
-0.1006;-0.3964;9.8495;9.8580;1.2365
-0.1066;-0.3964;9.8555;9.8640;1.2478
-0.1006;-0.3952;9.8507;9.8592;1.2536
-0.0970;-0.3988;9.8507;9.8593;1.2595
-0.0922;-0.3928;9.8495;9.8578;1.2660
-0.0874;-0.3904;9.8507;9.8588;1.2716
-0.0922;-0.3928;9.8507;9.8590;1.2786
-0.0970;-0.3904;9.8495;9.8577;1.2844
-0.0922;-0.3892;9.8483;9.8564;1.2900
-0.0958;-0.3940;9.8435;9.8519;1.2955
-0.1006;-0.3928;9.8495;9.8579;1.3010
-0.0982;-0.3928;9.8495;9.8578;1.3070
-0.0994;-0.3892;9.8495;9.8577;1.3130
-0.0994;-0.3868;9.8471;9.8552;1.3190
-0.1006;-0.3892;9.8423;9.8505;1.3246
-0.1030;-0.3868;9.8387;9.8469;1.3305
-0.0982;-0.3868;9.8375;9.8456;1.3363
-0.1006;-0.3844;9.8447;9.8527;1.3419
-0.1018;-0.3832;9.8435;9.8515;1.3474
-0.1042;-0.3916;9.8495;9.8578;1.3530
-0.1090;-0.3904;9.8423;9.8507;1.3585
-0.1042;-0.3916;9.8423;9.8507;1.3655
-0.1054;-0.3928;9.8375;9.8459;1.3711
-0.1066;-0.3928;9.8363;9.8448;1.3777
-0.1030;-0.3928;9.8375;9.8459;1.3836
-0.1018;-0.3928;9.8387;9.8471;1.3893
-0.1006;-0.3892;9.8435;9.8517;1.3948
-0.1042;-0.3928;9.8483;9.8567;1.4003
-0.1018;-0.3904;9.8495;9.8578;1.4058
-0.0982;-0.3940;9.8531;9.8615;1.4120
-0.0994;-0.3952;9.8543;9.8627;1.4175
-0.1030;-0.3940;9.8471;9.8555;1.4231
-0.1054;-0.3880;9.8435;9.8517;1.4287
-0.1054;-0.3892;9.8387;9.8470;1.4342
-0.1018;-0.3928;9.8459;9.8543;1.4397
-0.1030;-0.3952;9.8459;9.8544;1.4452
-0.1030;-0.3964;9.8483;9.8568;1.4508
-0.1042;-0.3976;9.8483;9.8569;1.4562
-0.1006;-0.3952;9.8519;9.8603;1.4624
-0.1054;-0.4000;9.8531;9.8618;1.4685
-0.1054;-0.3928;9.8591;9.8675;1.4745
-0.1066;-0.3904;9.8591;9.8674;1.4803
-0.1078;-0.3880;9.8615;9.8697;1.4859
-0.1030;-0.3868;9.8591;9.8672;1.4915
-0.1054;-0.3928;9.8579;9.8663;1.4975
-0.1006;-0.3928;9.8567;9.8650;1.5034
-0.1030;-0.3976;9.8555;9.8641;1.5093
-0.1054;-0.3964;9.8447;9.8533;1.5152
-0.1054;-0.3976;9.8387;9.8473;1.5211
-0.0982;-0.4000;9.8375;9.8462;1.5271
-0.1018;-0.3964;9.8340;9.8425;1.5333
-0.1030;-0.3952;9.8375;9.8460;1.5395
-0.1054;-0.3988;9.8387;9.8474;1.5451
-0.1054;-0.4000;9.8363;9.8450;1.5512
-0.1078;-0.4000;9.8399;9.8487;1.5568
-0.1054;-0.3964;9.8447;9.8533;1.5624
-0.1030;-0.4000;9.8579;9.8665;1.5681
-0.0994;-0.4012;9.8663;9.8749;1.5737
-0.0946;-0.3976;9.8699;9.8783;1.5795
-0.0946;-0.3976;9.8663;9.8747;1.5852
