ax(g);ay(g);az(g);accRMS(g);time(s)
0.0005;-0.0006;0.0004;0.0009;0.0000
0.0004;-0.0007;0.0004;0.0009;0.0036
0.0002;-0.0007;0.0005;0.0009;0.0049
0.0002;-0.0006;0.0005;0.0008;0.0061
0.0004;-0.0006;0.0006;0.0009;0.0074
0.0005;-0.0005;0.0007;0.0010;0.0087
0.0006;-0.0006;0.0005;0.0010;0.0100
0.0009;-0.0006;0.0004;0.0011;0.0113
0.0009;-0.0005;0.0006;0.0012;0.0125
0.0010;-0.0004;0.0005;0.0012;0.0149
0.0010;-0.0002;0.0006;0.0012;0.0164
0.0011;-0.0001;0.0005;0.0012;0.0180
0.0012;0.0000;0.0007;0.0014;0.0194
0.0011;0.0000;0.0006;0.0013;0.0217
0.0010;0.0005;0.0002;0.0011;0.0230
0.0011;0.0006;0.0002;0.0013;0.0243
0.0012;0.0007;0.0002;0.0014;0.0255
0.0012;0.0006;0.0002;0.0014;0.0268
0.0013;0.0005;0.0001;0.0014;0.0287
0.0015;0.0002;0.0001;0.0015;0.0302
0.0015;0.0001;0.0000;0.0015;0.0315
0.0013;-0.0001;-0.0002;0.0014;0.0349
0.0013;-0.0002;0.0002;0.0014;0.0383
0.0015;-0.0002;0.0004;0.0015;0.0396
0.0015;-0.0002;0.0005;0.0016;0.0408
0.0012;-0.0002;0.0004;0.0013;0.0421
0.0011;-0.0001;0.0002;0.0011;0.0434
0.0011;-0.0001;0.0004;0.0012;0.0447
0.0010;-0.0002;0.0005;0.0011;0.0459
0.0010;-0.0005;0.0006;0.0013;0.0472
0.0011;-0.0006;0.0007;0.0015;0.0485
0.0009;-0.0007;0.0009;0.0014;0.0498
0.0009;-0.0009;0.0009;0.0015;0.0510
0.0009;-0.0010;0.0009;0.0016;0.0523
0.0010;-0.0011;0.0012;0.0019;0.0535
0.0010;-0.0010;0.0012;0.0018;0.0548
0.0009;-0.0009;0.0013;0.0018;0.0561
0.0007;-0.0006;0.0013;0.0016;0.0573
0.0007;-0.0005;0.0013;0.0016;0.0587
0.0007;-0.0005;0.0015;0.0017;0.0602
0.0007;-0.0004;0.0015;0.0017;0.0616
0.0007;-0.0002;0.0013;0.0015;0.0634
0.0009;-0.0002;0.0012;0.0015;0.0651
0.0009;-0.0002;0.0013;0.0016;0.0666
0.0009;-0.0002;0.0012;0.0015;0.0679
0.0010;-0.0001;0.0012;0.0016;0.0692
0.0011;0.0000;0.0011;0.0016;0.0706
0.0012;0.0001;0.0007;0.0014;0.0719
0.0012;0.0001;0.0006;0.0014;0.0732
0.0012;0.0002;0.0006;0.0014;0.0744
0.0011;0.0001;0.0004;0.0012;0.0768
0.0009;0.0004;0.0004;0.0010;0.0780
0.0007;0.0004;0.0004;0.0009;0.0793
0.0005;0.0004;0.0005;0.0008;0.0806
0.0005;0.0005;0.0005;0.0008;0.0818
0.0004;0.0005;0.0002;0.0007;0.0831
0.0004;0.0005;0.0000;0.0006;0.0844
0.0004;0.0005;-0.0002;0.0007;0.0856
0.0004;0.0004;-0.0004;0.0006;0.0869
0.0002;0.0005;-0.0007;0.0009;0.0882
0.0004;0.0005;-0.0007;0.0010;0.0895
0.0005;0.0005;-0.0007;0.0010;0.0918
0.0006;0.0006;-0.0006;0.0011;0.0931
0.0007;0.0006;-0.0005;0.0011;0.0943
0.0007;0.0006;-0.0006;0.0011;0.0967
0.0007;0.0005;-0.0005;0.0010;0.0979
0.0007;0.0004;-0.0004;0.0009;0.0993
0.0009;0.0004;-0.0004;0.0010;0.1006
0.0010;0.0004;0.0000;0.0010;0.1019
0.0013;0.0005;0.0002;0.0014;0.1031
0.0013;0.0004;0.0002;0.0014;0.1055
