ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0106;-0.0413;1.0051;1.0060;0.0000
-0.0107;-0.0396;1.0059;1.0067;0.5107
-0.0105;-0.0399;1.0044;1.0052;0.7659
-0.0107;-0.0400;1.0046;1.0055;1.0213
-0.0106;-0.0394;1.0050;1.0058;1.2766
-0.0110;-0.0408;1.0038;1.0047;1.5317
-0.0112;-0.0393;1.0035;1.0044;1.7870
-0.0110;-0.0397;1.0042;1.0050;2.0422
-0.0109;-0.0393;1.0044;1.0052;2.2974
-0.0101;-0.0410;1.0046;1.0055;2.5527
-0.0105;-0.0403;1.0046;1.0055;2.8079
-0.0106;-0.0403;1.0052;1.0061;3.0632
-0.0109;-0.0394;1.0038;1.0046;3.3185
-0.0114;-0.0402;1.0042;1.0050;3.5737
-0.0114;-0.0394;1.0065;1.0073;3.8291
-0.0111;-0.0405;1.0044;1.0053;4.0842
-0.0104;-0.0411;1.0054;1.0063;4.3377
-0.0109;-0.0397;1.0049;1.0057;4.5912
-0.0100;-0.0404;1.0046;1.0055;4.8447
-0.0106;-0.0403;1.0046;1.0055;5.1003
-0.0104;-0.0403;1.0050;1.0059;5.3556
-0.0106;-0.0409;1.0048;1.0056;5.6109
-0.0110;-0.0415;1.0055;1.0064;5.8661
-0.0111;-0.0415;1.0039;1.0048;6.1195
-0.0114;-0.0406;1.0054;1.0063;6.3729
-0.0107;-0.0400;1.0045;1.0054;6.6264
-0.0110;-0.0400;1.0054;1.0062;6.8817
-0.0111;-0.0403;1.0033;1.0042;7.1370
-0.0112;-0.0399;1.0048;1.0056;7.3921
-0.0112;-0.0398;1.0031;1.0039;7.6456
-0.0118;-0.0398;1.0063;1.0072;7.8990
-0.0112;-0.0398;1.0045;1.0054;8.1523
-0.0105;-0.0396;1.0044;1.0052;8.4058
-0.0106;-0.0398;1.0038;1.0046;8.6591
-0.0107;-0.0400;1.0056;1.0065;8.9127
-0.0110;-0.0408;1.0062;1.0071;9.1679
-0.0106;-0.0402;1.0045;1.0054;9.4233
-0.0109;-0.0399;1.0034;1.0043;9.6786
-0.0107;-0.0396;1.0050;1.0058;9.9338
-0.0111;-0.0402;1.0033;1.0042;10.1872
-0.0112;-0.0394;1.0056;1.0065;10.4409
-0.0111;-0.0398;1.0044;1.0052;10.6963
-0.0107;-0.0409;1.0057;1.0066;10.9515
-0.0111;-0.0398;1.0054;1.0062;11.2049
-0.0106;-0.0411;1.0057;1.0066;11.4584
-0.0114;-0.0413;1.0052;1.0062;11.7119
-0.0111;-0.0394;1.0060;1.0068;11.9655
-0.0098;-0.0406;1.0052;1.0061;12.2192
-0.0116;-0.0405;1.0070;1.0078;12.4726
-0.0111;-0.0404;1.0059;1.0067;12.7260
-0.0099;-0.0402;1.0044;1.0052;12.9796
-0.0106;-0.0406;1.0029;1.0038;13.2330
-0.0112;-0.0404;1.0049;1.0058;13.4865
-0.0110;-0.0396;1.0046;1.0055;13.7400
-0.0103;-0.0405;1.0035;1.0044;13.9935
-0.0107;-0.0405;1.0044;1.0053;14.2469
-0.0105;-0.0410;1.0063;1.0072;14.5004
-0.0110;-0.0409;1.0046;1.0055;14.7538
-0.0114;-0.0409;1.0061;1.0070;15.0073
-0.0111;-0.0405;1.0055;1.0064;15.2608
-0.0109;-0.0414;1.0050;1.0059;15.5143
-0.0107;-0.0404;1.0042;1.0050;15.7679
-0.0104;-0.0399;1.0043;1.0051;16.0232
-0.0109;-0.0408;1.0054;1.0063;16.2783
-0.0110;-0.0405;1.0044;1.0053;16.5317
-0.0107;-0.0400;1.0049;1.0057;16.7852
-0.0103;-0.0403;1.0050;1.0059;17.0390
-0.0110;-0.0403;1.0038;1.0047;17.2927
-0.0112;-0.0403;1.0037;1.0045;17.5463
-0.0110;-0.0394;1.0050;1.0058;17.7999
-0.0103;-0.0406;1.0050;1.0059;18.0536
-0.0112;-0.0405;1.0048;1.0056;18.3074
